politicianId,name_str,latest_pos
11000009,Konrad Adenauer (CDU/CSU),CDU/CSU
11000093,Sabine Bard (Grüne),Grüne
11000102,Rainer Barzel (CDU/CSU),CDU/CSU
11000130,Max Becker (FDP),FDP
11000234,Annemarie Borgmann (Grüne),Grüne
11000246,Willy Brandt (SPD),SPD
11000263,Heinrich Brentano (CDU/CSU),CDU/CSU
11000305,Edelgard Bulmahn (SPD),SPD
11000321,Karl Carstens (CDU/CSU),CDU/CSU
11000347,Herta Däubler-Gmelin (SPD),SPD
11000364,Thomas Dehler (FDP),FDP
11000365,Jörg Diether Dehm-Desoi (DIE LINKE.),DIE LINKE.
11000418,Alfred Dregger (CDU/CSU),CDU/CSU
11000486,Ludwig Erhard (CDU/CSU),CDU/CSU
11000488,Fritz Erler (SPD),SPD
11000552,Joschka Fischer (Grüne),Grüne
11000691,Michael Glos (CDU/CSU),CDU/CSU
11000756,Gregor Gysi (DIE LINKE.),DIE LINKE.
11000924,Hannegret Hönes (Grüne),Grüne
11000952,Birgit Homburger (FDP),FDP
11000964,Willi Hoss (Grüne),Grüne
11001023,Ulla Jelpke (DIE LINKE.),DIE LINKE.
11001074,Volker Kauder (CDU/CSU),CDU/CSU
11001081,Petra Karin Kelly (Grüne),Grüne
11001096,Kurt Georg Kiesinger (CDU/CSU),CDU/CSU
11001136,Hans Ulrich Klose (SPD),SPD
11001165,Helmut Kohl (CDU/CSU),CDU/CSU
11001225,Heinrich Krone (CDU/CSU),CDU/CSU
11001336,Sabine Leutheusser-Schnarrenberger (FDP),FDP
11001352,Helmut Lippelt (Grüne),Grüne
11001478,Angela Merkel (CDU/CSU),CDU/CSU
11001512,Wolfgang Mischnick (FDP),FDP
11001570,Franz Müntefering (SPD),SPD
11001637,Jutta Oesterle-Schwerin (Grüne),Grüne
11001646,Erich Ollenhauer (SPD),SPD
11001772,Peter Ramsauer (CDU/CSU),CDU/CSU
11001933,Hermann Schäfer (FDP),FDP
11001938,Wolfgang Schäuble (CDU/CSU),CDU/CSU
11002003,Christian Schmidt (CDU/CSU),CDU/CSU
11002007,Helmut Schmidt (SPD),SPD
11002016,Renate Schmidt (SPD),SPD
11002019,Ulla Schmidt (SPD),SPD
11002065,Waltraud Schoppe (Grüne),Grüne
11002078,Gerhard Schröder (SPD),SPD
11002140,Horst Seehofer (CDU/CSU),CDU/CSU
11002190,Hermann Otto Solms (FDP),FDP
11002365,Christa Vennegerts (Grüne),Grüne
11002379,Hans Jochen Vogel (SPD),SPD
11002391,Antje Vollmer (Grüne),Grüne
11002393,Ludger Volmer (Grüne),Grüne
11002444,Herbert Wehner (SPD),SPD
11002503,Heidemarie Wieczorek-Zeul (SPD),SPD
11002617,Peter Altmaier (CDU/CSU),CDU/CSU
11002624,Marieluise Beck-Oberdorf (Grüne),Grüne
11002652,Andrea Fischer (Grüne),Grüne
11002659,Wolfgang Gerhardt (FDP),FDP
11002666,Hermann Gröhe (CDU/CSU),CDU/CSU
11002672,Barbara Hendricks (SPD),SPD
11002715,Oskar Lafontaine (DIE LINKE.),DIE LINKE.
