,Word Value
steuerreform,10946.06249999979
finanzpolit,9615.06249999949
aufschwung,6774.062499999738
steuererhoh,6336.666327429807
haushaltsplan,6240.0624999996135
arbeitsmarktpolit,5823.062499999739
arbeitslosengeld,5375.062499999819
haushaltsjahr,5278.263534043448
mehrwertsteu,5265.06249999976
steuersenk,5202.062499999665
haushaltspolit,4462.062499999524
steuereinnahm,4263.484339073298
langzeitarbeitslos,4201.062499999846
steuersatz,4193.682730666702
einkommensteu,4163.443583223067
neuverschuld,4010.062499999763
umsatzsteu,3986.3495878409412
inflation,3966.0624999996676
haushaltsentwurf,3904.0624999997017
vermogensteu,3731.0624999998586
steuerrecht,3509.7466567938714
nachtragshaushalt,3465.062499999665
arbeitsamt,3454.06249999984
bruttosozialprodukt,3261.695839747393
zonenrandgebiet,3231.06249999993
jahreswirtschaftsbericht,3216.062499999799
strukturpolit,3012.626272210662
rechnungsjahr,2991.221844048639
gemeinschaftsaufgab,2920.645090477868
volkerrecht,2832.8328005516955
korperschaftsteu,2799.1491209826804
finanzamt,2684.062499999852
grundsicher,2597.1743375275355
stahlindustri,2596.4930095504988
nettokreditaufnahm,2348.062499999849
arbeitslosenzahl,2318.0624999995916
vollbeschaft,2306.0624999996016
mehrwertsteuererhoh,2234.062499999755
steuerpflicht,2226.493601306197
haushaltsgesetz,2224.293380059298
vermogensbild,2129.0624999998786
arbeitsforderungsgesetz,2123.7339675912767
steuerentlast,2048.062499999705
spitzensteuersatz,2043.0624999998065
konjunkturpolit,2043.062499999768
erbschaftsteu,2040.0624999998554
mehrausgab,2016.0618259718242
steuerausfall,1979.8917093423895
freibetrag,1939.1130828355708
arbeitsvermittl,1939.062499999839
zentralbank,1905.062499999884
osterweiter,1844.0624999998472
steuerschatz,1832.0573547444542
steuervergunst,1831.0624999996223
bemessungsgrundlag,1820.4000667588853
wirtschaftsstruktur,1808.0624999997483
minderausgab,1807.2557733039584
finanzverwalt,1780.0624999998483
bundesarbeitsminist,1735.8900149159053
haushaltsansatz,1724.787189290157
staatsfinanz,1709.2057102578472
lohnsteu,1621.0285546152616
staatsverschuld,1616.414060187744
steuerbelast,1608.0624999996246
steuersyst,1597.2953637915643
investitionszulag,1588.0624999998513
subventionsabbau,1585.0624999998713
progression,1579.0624999998195
unternehmensteuerreform,1550.0624999998165
billion,1542.2978366437906
jobcent,1508.0624999999231
preisstabilitat,1501.8549653735286
gewerbekapitalsteu,1467.062499999912
steuergesetz,1447.3882133962072
stabilitatspakt,1386.8699958202556
kapitalgesellschaft,1383.4264594161525
wirtschaftsforder,1381.0624999997647
gewerbesteu,1365.584689620273
kreditaufnahm,1328.454317956664
verbrauchsteu,1292.0624999996944
umschul,1280.4873044466772
ausgabenseit,1252.2930944467446
stabilitatspolit,1229.6336591387108
anleih,1229.4550278768152
steueraufkomm,1226.5150557933973
kaffe,1225.062499999901
steuerfrag,1215.0624999997528
jahressteuergesetz,1212.0624999998663
steuermehreinnahm,1165.1161849533555
gegenfinanzier,1158.0624999997822
erganzungsabgab,1143.0624999996885
grundfreibetrag,1103.5169543161128
altschuld,1095.0891783700974
arbeitsverwalt,1074.0624999998283
stabilitatsgesetz,1061.0624999998704
liquiditat,1059.6616963977244
binnennachfrag,1056.2658494595976
sparpaket,1049.0624999998
haushaltsrecht,1037.400299022059
konvent,1033.062499999875
