,Word Value
rent,31122.03999999966
rentenversicher,19667.039999999684
rentn,14099.03999999988
pfleg,11178.039999999786
armut,9969.039999999733
angestellt,9337.039999999804
kindergeld,9294.03999999985
sozialhilf,7913.039999999792
pflegeversicher,5371.0399999998435
unfall,3936.700225152167
kriegsopf,3673.0399999999017
beitragszahl,3543.2718813537663
unfallversicher,2915.8127293117914
rentenreform,2866.4474397869753
altersvorsorg,2839.2631105002733
riest,2618.3231487277694
rentnerinn,2597.0399999998817
massenarbeitslos,2508.0399999996193
existenzminimum,2444.650583258858
kriegsopferversorg,2444.278183215631
alleinerzieh,2434.865808839156
bundeszuschuss,2400.6393824469956
beitragssatz,2388.2431484353842
witw,2386.039999999796
arbeitslosenhilf,2347.7902232381916
pflegebedurft,2336.0399999999017
einkommensgrenz,2284.039999999872
rucklag,2283.1215067505063
jugendhilf,2232.0399999999363
regelsatz,2182.039999999911
sozialhilfeempfang,2142.6828690298275
rentenversicherungstrag,1986.6746613725413
altersarmut,1966.0784779647997
bundesversorgungsgesetz,1934.0399999999015
kinderfreibetrag,1922.5780721902288
familienlastenausgleich,1865.0399999998076
freibetrag,1838.1780587168416
alterssicher,1773.8095361080823
rentenanpass,1736.0399999998529
berufsgenossenschaft,1734.039999999921
reichtum,1606.0399999997353
grundrent,1558.961198841721
pflegekraft,1490.6921551507198
rentenpolit,1478.289053330118
versich,1475.1064519173087
rentenniveau,1413.039999999865
arbeitsschutz,1410.4189532892694
rentenerhoh,1397.0399999998142
familienpolit,1375.887546929836
rentenrecht,1295.8085308577072
rentenanspruch,1275.7557055265656
jugendamt,1262.135347897862
versicherungstrag,1257.0399999998813
jugendarbeit,1229.0399999999058
grundsicher,1221.928162472265
leistungsverbesser,1174.0399999997387
jugendpolit,1159.0399999999163
hinterblieb,1158.9442046949025
burgerversicher,1134.0399999999108
angestelltenversicher,1119.0399999999224
bundessozialhilfegesetz,1108.596565040443
kinderarmut,1104.039999999916
rentenkass,1093.532296789755
abschlag,1090.9694176059297
weltbank,1054.2366229926358
erwerbslos,1041.039999999843
zusatzbeitrag,1040.039999999956
dynamisier,1038.935433755039
versicherungspflicht,1019.0399999998681
gesundheitsfond,1018.0399999999281
sozialamt,1017.0399999997857
bundesarbeitsminist,1010.7239568881575
sozialversicherungstrag,979.6503780400309
rentenanpassungsgesetz,938.0399999998759
altenpfleg,936.0399999998858
krankenversicherungsbeitrag,916.1258545529324
anpassungsgesetz,890.4630155058671
beitragserhoh,882.9066359197169
sozialabbau,881.039999999558
beschad,878.0399999997858
kindererziehungszeit,866.0344353206197
lebenserwart,862.3092170861978
bundesjugendplan,856.0399999999216
sozialreform,853.0399999997234
praxisgebuhr,852.0399999999555
rentensyst,838.0399999997811
wirtschaftsrat,826.396588187265
abwert,819.3562677243767
sozialbeirat,812.0399999999078
rentenformel,809.0399999998233
jugendbericht,799.039999999951
abfind,783.2466474541482
erwerbsminderungsrent,779.990140667985
renteneintrittsalt,778.0399999998323
kriegsbeschadigt,760.039999999881
schwerbeschadigt,740.333541263516
pflegeheim,736.7535346640649
wohlfahrtsverband,735.3008571247228
erwerbsleb,727.8623768022835
rentenkurz,722.0399999997867
