,Word Value
wohnung,22607.022499999446
miet,17095.022499999664
wohnungsbau,12072.022499999734
grundstuck,4771.022499999877
wohngeld,4603.022499999897
selbstverwalt,4371.622095057115
raumordn,4122.022499999912
stadtebau,3970.022499999896
vermiet,3831.105459025022
wohnraum,3807.7522894252747
wohnungswes,3405.0224999999014
bauwirtschaft,3185.0224999998277
wohnungsmarkt,2712.0224999998127
bauwes,2569.0224999999364
wohnungsbaus,2425.0224999997795
mietrecht,2418.6467530200243
wohnungspolit,2153.02249999981
kommunalpolit,2089.142587529782
enteign,1998.022499999805
ratsprasidentschaft,1926.0224999998247
stadtebauforder,1794.0224999998668
sozialwohn,1764.022499999836
verausser,1690.5189501649893
wohnungswirtschaft,1546.8263022831102
mieterhoh,1497.022499999864
bauarbeit,1462.0224999998695
eigenheim,1447.0224999998024
mieterinn,1437.022499999915
wohnungsnot,1408.0224999996647
eigenheimzulag,1394.022499999798
wohnungsbaugesetz,1370.2651912377141
quadratmet,1326.8841011490051
mietwohn,1311.022499999836
wohnungsunternehm,1295.6128966264744
architekt,1245.0224999998313
wohneigentum,1185.7946064760724
ruckgab,1073.3494691538267
baugewerb,1063.0224999998597
bundesbaugesetz,1021.0224999999261
eigentumswohn,1019.569346891318
baugesetzbuch,981.0224999999188
bauvorhab,945.545527120133
bauland,941.0224999998395
baut,923.7644717367009
wohnungsbestand,886.0224999998052
wohnungsbaupolit,837.1518716643191
gemeind,829.9385919165288
wohnungseigentum,818.0224999997866
bauherr,796.282253330695
wohngeldgesetz,785.0224999999218
vermogenswert,768.6445501785875
mieterschutz,756.3751013591041
baukost,748.7928546385959
mietwohnungsbau,718.0224999997765
bauindustri,713.9692299271162
schlechtwettergeld,710.0224999999112
einkommensentwickl,697.6984721084141
baurecht,676.6796953382146
stadtebauforderungsgesetz,639.0224999998863
pacht,632.4024945060441
stadtetag,629.7239806545945
bauminist,626.0224999997639
bebauungsplan,624.0224999999003
hausbesitz,619.6532641975505
wohnungsbauminist,611.0224999997814
baubereich,610.0224999997766
grundbesitz,609.9023935115938
verkehrswert,582.0224999998837
mietverhaltnis,576.0224999999019
altschuldenhilf,570.0742248325178
qm,560.8081314969386
bundesvermog,545.6867788733325
bodenrecht,543.0224999998841
kaufpreis,534.0224999997866
mieterbund,530.0224999998532
baugenehm,525.9743406527109
vergleichsmiet,518.022499999945
verpacht,512.5738571821893
mietsteiger,503.022499999819
wohnungsversorg,501.02249999985156
wohnungsbauprogramm,501.022499999753
mietvertrag,481.75406606820576
aussenbereich,480.02249999991096
mietpreis,476.5770265907607
rathaus,459.4357537148416
familienheim,458.02249999993546
wohnungsbauforder,456.94472298606314
bauunternehm,455.02249999987157
spani,453.0294355142302
wohnungsbaugesellschaft,453.02249999967455
stadtentwickl,433.7343312361764
gemeinderat,432.7061837966424
eigentumsbild,430.23397292098815
bundesbauminist,418.9665165223697
vorkaufsrecht,411.0224999999033
mietspiegel,403.0208481559557
kappungsgrenz,401.86644021164875
bauwerk,401.81995755112206
bauleist,396.08079456688927
baumarkt,396.0224999997987
