,Word Value
bank,19012.039999999586
mittelstand,12452.039999999675
verbraucherschutz,8846.732401835834
aufsichtsrat,4382.514828535733
verbraucherinn,4294.039999999919
finanzmarkt,3925.4457899315294
kapitalmarkt,3426.474915504748
gmbh,2675.039999999893
akti,2658.0399999998945
existenzgrund,2193.039999999787
sparkass,2111.3367170338734
einzelhandel,2063.0399999998817
aktionar,1962.039999999862
aktiengesellschaft,1864.678983085823
glaubig,1835.0399999998488
urheberrecht,1792.039999999922
insolvenz,1766.0399999998465
anleg,1765.0399999998383
mittelstandl,1637.0399999997612
kreditinstitut,1617.0297359488911
patent,1606.039999999914
eigenkapital,1587.6654011846765
autor,1462.0399999997865
urheb,1458.0399999998872
anti,1457.0399999998642
beratungsstell,1455.6651529768662
bors,1397.0399999997576
verlag,1364.039999999889
rechtsform,1352.0399999998358
manag,1293.4889435721375
verbraucherpolit,1212.0399999999274
anmeld,1111.0621202436866
schuldn,1038.0399999999013
wertpapi,1014.0399999998231
mittelstandspolit,1010.0399999998525
doping,1006.0399999999681
immobili,948.3883877291444
drohn,947.0399999999244
patentamt,943.0399999999571
gen,942.0399999998377
innenstadt,926.2268180663135
bundesfinanzhof,899.0399999998925
kartell,896.8073915628808
gemeinnutz,884.8895275682394
finanztransaktionsteu,881.5156195689353
divid,854.2288175735516
bankenaufsicht,854.0399999999277
hauptversamml,846.0399999999045
handl,841.1465486726545
verbraucherzentral,841.0399999999373
vorstandsmitglied,823.9327508665633
volkswagenwerk,810.0399999998987
einkauf,793.5615272988028
landesbank,710.9866246340263
pann,699.039999999783
getrank,684.7793346835798
finanzplatz,669.0399999998648
reit,643.0399999997522
freiberufl,621.4093559033826
apfel,609.9289211389016
grossbank,603.9389806192852
anteilseign,600.526470402518
finanzmarktkris,594.0399999997721
rass,586.4587939136599
verbraucherinformationsgesetz,584.0399999999556
publizitat,575.7215164744191
neuorganisation,549.0479677859167
ratingagentur,535.0399999999211
wies,522.9713435932878
neugrund,520.8296770827859
insolvenzrecht,518.0399999999265
pleit,515.6161078728074
aktienrecht,513.0399999999072
promill,512.0399999998311
verbraucherverband,508.03999999986246
einzelhandl,507.0399999998519
lebensmittelsich,506.0971437067413
hedgefond,505.0399999998966
flasch,499.86200300747373
unternehmerinn,497.03999999972154
entgleis,494.03999999974724
kompromissvorschlag,490.03999999981727
vorwort,487.2809078430883
unternehmensgrund,479.26683840463846
supermarkt,479.0399999997037
ladenschlussgesetz,471.0399999999439
wasserversorg,468.6164177859927
verwertungsgesellschaft,466.03999999997006
finanzsektor,460.0399999998482
mittelstandsforder,458.11462809924797
bankenabgab,453.0399999999308
mert,449.27385573116385
bankensektor,446.0399999998773
offnungszeit,444.8452099228487
amtsfuhr,443.03999999976537
grosskonzern,439.7076396707625
anlegerschutz,432.039999999955
kreditwirtschaft,430.3853781266695
provision,420.0399999998584
opportunismus,415.3461792398829
