,Word Value
bundeswehr,44208.039999999586
soldat,34688.19531823122
waff,17140.165816849614
streitkraft,11138.170735083186
mandat,10947.999047399244
wehrpflicht,8724.039999999843
abrust,8290.039999999806
trupp,7864.677958180537
soldatinn,6998.039999999875
sicherheitspolit,6638.039999999789
verteidigungsminist,6145.039999999724
verteidigungsausschuss,5640.593153425437
wehrbeauftragt,5636.039999999914
export,5615.480582902512
arme,5313.572557409689
mission,4927.547357099211
pakt,4793.088320134709
atomwaff,4123.039999999905
militar,3124.6424964247176
general,2994.335103899806
offizi,2901.0399999997007
liefer,2835.538790477438
auss,2772.0399999998012
verteidigungsministerium,2739.0399999997603
zivildien,2717.039999999939
raket,2671.9630324058135
rustung,2555.1185051201824
wehrdien,2543.0399999998904
auslandseinsatz,2530.0399999997994
rustungsexport,2467.0399999999195
verteidigungspolit,2429.0399999997176
wiedergutmach,2428.0399999998444
rustungskontroll,2421.0399999998795
verteidigungshaushalt,2295.7657689892276
abschreck,2059.9340234944234
nachrichtendien,2057.0399999999036
weissbuch,2046.0399999997924
bundnispartn,1961.2108266749644
aufrust,1952.6725999168139
geheimdien,1947.0399999998915
verfassungsander,1922.0399999997937
stationier,1899.0399999997578
bundesverteidigungsminist,1787.03999999967
panz,1756.603269016999
luftwaff,1676.0399999998115
ausfahr,1512.8657356647977
kriegsgefang,1507.0399999999145
is,1497.9724654615322
unteroffizi,1465.0399999998813
saudi,1435.3158371697507
heer,1413.039999999649
bundesnachrichtendien,1407.039999999929
waffensystem,1304.0399999997135
uniform,1291.8542615564124
nuklearwaff,1250.0399999999104
sicherheitsinteress,1181.4568943795605
zivildienstleist,1177.0399999999279
kasern,1170.058263280535
landesverteid,1163.9876909013049
rustungsgut,1143.7843441573546
krisenpravention,1121.7690300945228
bewaffn,1112.3470184504197
bier,1100.039999999803
bundesverteidigungsministerium,1098.4545252070259
grundwehrdien,1084.0399999999354
bomb,1083.1487104993914
ss,1079.9558697688071
doppelbeschluss,1078.039999999875
vorgesetzt,1076.6580217242013
friedensbeweg,1066.0399999997785
kriegsdienstverweig,1045.0399999999197
verteidigungsetat,1032.520299678868
rehabilitier,994.0399999998888
berufssoldat,987.1961358551448
mittelstreckenraket,969.0399999999134
waffenliefer,945.039999999789
tiefflug,941.039999999932
generalinspekteur,937.0399999998642
einsatzbereitschaft,925.1213804901085
massenvernichtungswaff,922.0399999997475
wehrmacht,920.5581383708964
waffenexport,892.0399999998751
dienstzeit,879.7908438694454
stab,872.7347452037314
jem,870.0399999998252
division,863.1401228893982
diplomati,838.6209250383836
geheimhalt,829.0399999997913
pilot,813.5118661005732
reservist,808.0399999998524
befehl,803.088647628753
paritat,793.3604165907325
bundeswehrsoldat,767.189827942729
kriegsdienstverweiger,766.0399999998923
nichtverbreitungsvertrag,762.0399999999468
verteidigungsfah,755.8263933373554
grossmacht,751.0645721146582
rustungsindustri,741.4590677082285
truppenubungsplatz,740.740105122591
zeitsoldat,740.0399999998413
