,Word Value
fernseh,4741.219980899119
digitalisier,4693.009999999854
rundfunk,3818.009999999793
anstalt,2185.9143235304423
ratifizier,2132.098434562031
sendung,1870.0099999998304
raumfahrt,1316.0099999999193
rundfunkanstalt,1027.0099999999254
grossprojekt,991.5521992092453
liegenschaft,899.5172424040798
transformation,828.153513897901
it,816.0099999998823
breitbandausbau,601.0099999999234
satellit,587.0259673202552
japan,482.2597615951959
frequenz,480.00999999993064
radio,471.757192853134
tierarzt,467.618442041319
bildschirm,426.0099999996816
raumfahrtindustri,415.00999999992837
send,396.726252589828
weltraum,396.3233624642839
groko,389.0099999998495
fernsehprogramm,380.0099999998791
ratifikation,366.0264049529824
ausstrahl,364.5829281360789
versteiger,356.9568613024908
digitalpakt,309.00999999993644
fernsehanstalt,301.3089290424581
intellektuell,300.9051335478167
elektron,293.43225597945127
merkblatt,293.078759208935
intendant,278.0184894544345
vertragsentwurf,275.21206377429115
hausangestellt,271.94663769780414
ratifizierungsgesetz,269.96491373834306
steinbruch,269.6540765497735
automatisier,256.55619689207265
sicherheitsluck,245.84268881606732
mond,243.94168642207896
produktionsfaktor,243.10493436065
megabit,236.0099999999578
verschlussel,232.009999999903
rechtsstandpunkt,231.23269975032264
sicherheitsgesetz,231.2049421630063
modernitat,230.00999999978964
veranderungsprozess,229.8459963290616
smartphon,226.16043690202767
koloni,222.89728301882528
zukunftstechnologi,221.41991161638268
weiterbeschaft,219.17608915208945
ufer,216.6350912207793
einzelprojekt,216.4260349987068
aufsichtsgremi,211.6224801235571
robot,210.51590623841145
kolonialismus,209.74087679174357
horfunk,209.7000976343615
massenmedi,203.20787958970544
breitbandversorg,203.00999999993104
pfing,198.00999999980488
aktivist,196.8207236933112
formali,196.1837375412815
grenzkommission,188.7193488277393
arbeitspapi,185.00999999987968
ratifizierungsverfahr,182.21025822591963
raumstation,176.00999999995537
fernsehs,172.9087292506561
breitscheidplatz,171.00999999987263
synergi,171.00999999982878
forderkonzept,169.2412089114866
breitband,164.009999999922
hardwar,162.75846574151763
cebit,157.00869330667516
ortskraft,156.0391213913564
ratifikationsgesetz,154.52473347320313
umsteuer,153.0099999997254
klost,149.57683264200725
algorithm,148.87636366292136
rundfunkgebuhr,148.00999999993346
nachhinein,148.00999999977762
luftbruck,147.59995387649025
arbeitsverweiger,147.0099999997956
apps,142.9670022431249
zuhilfenahm,140.71970869100747
hauptberichterstatt,140.00999999975178
betret,139.59001613551322
hauptverhandlungshaft,138.00999999988412
breitbandanschluss,135.00999999995307
strukturier,132.2586321731993
steinzeit,130.45302620838012
einweih,129.97283746300678
experimentierfeld,129.89486870720074
forderschwerpunkt,129.8148748244186
bundestagskolleg,127.29178692380202
mbit,126.0099999999617
werbefernseh,126.00999999994755
internetanschluss,121.00999999986875
raumfahrtpolit,120.00999999997345
randbeding,119.00999999980937
vermeng,118.89312893927375
