,Word Value
zins,6207.007499999767
globalisier,3752.007499999752
weltwirtschaft,2652.4089142484145
welthandel,1622.9270930320959
export,1596.523662315899
inflationsrat,1530.9426958183706
protektionismus,1261.0344265570263
freihandelsabkomm,1072.0074999999276
handelspolit,928.1846697050779
ttip,926.0074999999473
zin,834.3687939771329
handelsabkomm,706.9761537974239
leistungsbilanz,673.9962660477782
wechselkurs,669.7664198544621
freihandel,646.0074999998948
schwerpunktsetz,632.0959998640552
wirtschaftsbezieh,606.9593718176554
handelspartn,586.8581611742189
weltwirtschaftsgipfel,575.819741379778
expo,550.0074999998859
wirtschaftssyst,540.900454855202
okonom,537.3609015518269
abschott,510.5859496852986
haushaltsdefizit,446.31471024551826
leistungsbilanzdefizit,438.0074999998698
direktinvestition,433.5238861723605
zinsniveau,433.0074999998199
zollunion,430.2626909336613
kapitalmarkt,426.5069025591044
zinssatz,426.0617301509133
club,410.5605089979421
exportwirtschaft,406.69678770747527
reallohn,394.4419321495308
aussenwirtschaft,391.5088220583434
wachstumskraft,372.4089706189981
zinssenk,363.00749999985334
zahlungsbilanz,355.6629658613081
multilateralismus,336.0074999998577
exportnation,335.1440698299645
strohfeu,328.0074999996573
gipfeltreff,327.515303173289
realeinkomm,318.7265593186477
wahrungsfond,313.63979501261497
atlant,305.9092579978229
zinslast,297.708357477097
gatt,296.2302656254111
weltwirtschaftskris,286.57507882572446
lokomotiv,285.17294335707334
handelshemmnis,284.9250116272965
zinszahl,280.08664034285533
inszenier,269.44409101627497
schwellenland,260.1443478501387
wechselkur,246.0074999997067
exportuberschuss,242.05603722132832
wirtschaftssystem,235.92523375319573
marktkraft,234.99829412670218
refinanzier,229.06664541600884
exportchanc,227.3790360185814
binnenwirtschaft,226.7763097257726
jungfernred,223.51058443001293
handelsbezieh,223.46592269966342
staatsverschuld,220.58809482267827
anleih,215.40187428283159
regierungsstell,209.39129030042423
verhandlungsmandat,209.35611723180867
schuldenpolit,204.50692432143902
olpreis,200.01634944191161
zufluss,196.01918060934696
heiligendamm,192.74622466051784
konsolidierungspolit,190.92430744810653
zinsbelast,189.53222927536825
warenaustausch,187.87229309356746
halbzeitbilanz,185.9892548876454
investitionsschutz,185.00749999994508
wachstumsprozess,184.80817314500175
leistungsbilanzuberschuss,184.68735149785846
karib,183.57469940649287
zinsentwickl,177.00749999979143
anpassungsfah,176.22498329771727
guerilla,171.0074999998717
zinspolit,168.3642196793165
wirtschaftsgipfel,167.90924227454752
beschaftigungsprogramm,165.61206557863906
wirtschaftspartnerschaftsabkomm,165.00749999995224
gastgeb,162.81567985403134
investitionshaushalt,162.81019725404022
miesmacherei,161.00749999966249
ausgabenprogramm,156.15337523830175
kooperationspartn,155.2870881283558
weltkonjunktur,154.05734539586365
zuruckfuhr,148.11441733937494
weltausstell,147.978870327185
kreditaufnahm,146.57443592760623
kreditmarkt,146.3208220242193
akp,145.41641818264893
kostenvorteil,142.77773950063178
sonderfond,142.26949622606946
standortwettbewerb,140.68371305785115
mercosur,139.00749999993843
franc,138.52730717575588
