,Word Value
entwicklungsland,13965.012499999915
entwicklungspolit,7842.012499999864
entwicklungshilf,6022.012499999788
entwicklungszusammenarbeit,5672.012499999884
wahrungsunion,4672.012499999843
sicherheitsrat,3410.4024922479966
hung,3075.012499999651
europapolit,2403.012499999784
soldat,2129.8571817684674
burgerkrieg,1759.3849839978993
partnerland,1566.6399097528601
zivilbevolker,1512.5641532211914
nichtregierungsorganisation,1496.3240735736363
staatengemeinschaft,1478.4657208050048
nationalstaat,1422.0603145578941
friedensprozess,1292.5917448475702
sudsudan,1290.0124999999355
vertief,1255.3665489556486
brit,1248.6321132891342
taliban,1174.3764054388691
regierungskonferenz,1173.0124999999239
kinderarbeit,1072.012499999867
us,1069.0124999997076
zivilist,969.6252854151251
eskalation,969.1791449031194
schwellenland,941.8138595795633
trupp,934.3745418191238
sicherheitskraft,929.972076298155
waffenstillstand,918.0124999997795
einigungsprozess,908.8471522591149
sicherheitslag,903.1391915325879
diktator,873.1928144550444
kongo,818.0124999998267
mazedoni,803.0124999998983
volkergemeinschaft,779.0531848468572
afghan,771.7492037188754
wertegemeinschaft,737.0124999997174
konfliktpartei,732.2097926553174
foderation,720.9080309710179
armutsbekampf,717.3202459357555
serb,716.0124999999413
regierungsfuhr,668.8902272727914
mission,660.5051429005823
friedensmission,658.9416601672032
weltbevolker,654.8752522520157
weltbank,646.8158770071585
subsidiaritatsprinzip,617.152867354196
uberfall,613.0543746623234
polizist,581.306311970793
osz,570.7029341394416
arme,561.4799425899519
weltgemeinschaft,557.3844636019683
isaf,522.5453070258244
miliz,513.5575152421075
integrationsprozess,512.5291081102927
weltwirtschaftsordn,490.5333714324303
unmiss,480.0124999999747
destabilisier,475.5335384198363
europaausschuss,475.01249999990597
volksgrupp,462.7022741985988
golfkrieg,461.5254933525558
geberland,460.35500283731136
alban,460.01249999992285
kleinbau,451.75910941168445
bruttosozialprodukt,436.3791602520571
budgethilf,435.0124999999465
afrikan,432.9044549817053
kommissionsprasident,422.0124999998523
entwicklungsfond,417.0438806662736
koharenz,413.42649402516827
kapitalhilf,409.02891051257313
entwicklungsprozess,408.0459516540644
planet,399.062135985468
entwicklungsminist,399.0124999998205
massak,391.97645896551546
lomé,391.00109762232034
weltordn,390.9730545353585
nahrungsmittelhilf,389.94908943569936
wirtschaftsunion,387.15073181288494
annexion,383.9194219314681
aufstand,383.63449522203996
friedensabkomm,377.0124999999184
militar,375.4100035750106
konvergenz,369.8847607548888
hilfsorganisation,363.872197174536
unamid,357.1578181310184
friedenstrupp,356.00529152380693
populist,352.0124999997127
blauhelm,348.8710489114894
kampfhandl,338.54456671260016
entwicklungsprojekt,333.5159278270342
afrikapolit,331.79539248332463
polizei,330.1565211607878
weltsicherheitsrat,329.79382811985795
grundbedurfnis,328.98077016698227
krisenregion,327.6221107408911
instabilitat,320.2461643769448
pluralismus,320.0413884084757
entwicklungsbank,308.87679932528715
mehrheitsentscheid,303.4829884546597
