,Word Value
gemeind,33043.11890808325
beamt,20981.034999999796
ag,5861.249436130703
okosteu,4743.034999999855
wahlrecht,4277.034999999885
bundespost,4219.034999999912
fernmeldewes,3535.5751103663156
lohnnebenkost,3486.0349999998043
gewerbesteu,2947.971876926804
foderalismus,2676.0797517893834
korruption,2661.05469112035
finanzausgleich,2576.03499999974
verwaltungsrat,2271.289017330553
ruhrgebiet,2157.7159153857924
versohn,1989.6537062512982
verfassungsrecht,1935.6803060006011
planstell,1612.034999999823
volksentscheid,1526.034999999942
zulag,1501.3590705455208
referat,1493.034999999846
volksrepubl,1467.0610193517566
finanzreform,1397.8660591974156
volkskamm,1307.03499999986
ruhestand,1252.6735590981455
volksabstimm,1241.034999999881
interessenvertret,1238.911117389212
beamtenrecht,1235.1620317764293
affar,1174.4911558978667
pension,1082.0349999998018
finanzausstatt,1009.7583744546586
finanzkraft,970.0349999996499
lobbyist,960.0349999998111
gramm,959.3146393269842
beamtinn,955.0349999998808
gebietskorperschaft,953.7982246136221
wahlgesetz,901.0349999999011
ansiedl,900.6037294777325
feiertag,892.2345186603297
landerfinanzausgleich,859.0349999998604
gebuhrenerhoh,834.0349999998882
personalpolit,831.2111820914411
sachfrag,815.0349999997242
neuglieder,785.0349999998953
bundespostminist,769.0349999999181
besoldungsgrupp,768.0349999998937
gemeindefinanzreform,749.0349999998265
minderjahr,740.2156356169403
bestech,739.0349999999053
volksbegehr,737.0349999999339
volksbefrag,733.034999999938
finanzverfass,732.4786668263296
oberfinanzdirektion,724.2201642022944
uberhangmandat,723.034999999989
dienstrecht,703.5517925271961
referendum,703.398958359638
berufsbeamtentum,668.0349999998828
versorgungsbezug,660.5034029999063
beamtenschaft,658.0349999998654
laufbahn,639.1070576627585
staatsgewalt,638.4920948961948
vorstandsvorsitz,632.0349999997254
weihnachtsgeld,628.7647228379454
demagogi,628.0349999996854
rentenversicherungsbeitrag,623.8074080073801
regulierungsbehord,619.0349999999129
biokraftstoff,613.034999999937
stellenplan,611.7374878102552
aussenhandelsfrag,606.0349999998899
gemeindefinanz,606.0349999997921
postminist,603.0349999998969
bevolkerungszahl,600.5666508505411
haushaltsstrukturgesetz,595.9635713788891
europawahl,595.5074403829261
ruhr,591.4838057371038
gemeindeverband,585.0349999998124
wirtschaftspruf,583.4669181107238
revi,566.2254885344566
finanzsituation,558.9553689146195
fursorgepflicht,550.0523539663099
halbsatz,549.0349999996938
bundeswahlgesetz,542.5574572284683
grundversorg,539.7005237795628
sozialunion,518.0349999998169
arbeitseinkomm,513.2171603007974
informationsfrei,511.6887859955646
biomass,503.5368644689328
haushaltsloch,497.1628539650312
versorgungsempfang,493.0349999999045
steuerberat,490.358434824985
zentralismus,485.0349999998105
misswirtschaft,481.9284326339035
verfehl,481.40746816060425
beamtengesetz,478.0349999999193
bundesbeamtengesetz,478.03499999989515
entfernungspauschal,476.6453506016259
zertifizier,473.8735012890515
stadtetag,469.63376803225304
beamtenverhaltnis,467.0349999998728
bundesbeamt,464.03499999981256
postreform,457.0349999998747
