,Word Value
sport,8534.00249999988
sportl,1453.0024999999084
sportverein,1153.2525523271165
stammzell,915.0024999999652
sportausschuss,824.8555258331567
fussball,734.0024999997801
spitzensport,712.0024999999639
sportbund,701.0024999999536
embryon,684.0024999999306
sportforder,679.0024999999049
sportstatt,569.0024999998627
mannschaft,553.7679319592874
breitensport,509.0024999999468
fussballweltmeisterschaft,493.6416174779483
klon,460.280303642782
athlet,433.0024999999626
zell,420.1436051132055
sportpolit,415.0024999999701
sportverband,412.9878546528324
leistungssport,404.0024999999663
sportlerinn,381.0024999999724
sportanlag,360.00012068867824
stammzellforsch,352.0024999999153
train,345.9775164174693
sportbericht,337.0024999999766
sportart,335.00249999991235
sportorganisation,313.002499999968
embryonenschutzgesetz,285.85393035931423
spitzensportl,284.0024999999051
embryo,280.0596600783077
stadi,272.134261906314
praimplantationsdiagnost,267.0024999999202
training,246.19438601941314
weltmeisterschaft,237.00249999984246
olympiad,229.25520254492469
schulsport,229.0024999999567
fussballspiel,221.71955171968813
ubungsleit,214.9317913341959
behindertensport,211.90360776005886
wettkampf,206.02230725887895
stammzelllini,200.00249999998098
forschungszweck,188.1871517496826
dosb,186.45408432911458
komite,177.15092581541953
stammzellgesetz,170.00249999995705
sportveranstalt,167.67759837295966
athletinn,160.0024999999759
sportgrossveranstalt,156.00249999998275
stadion,154.27286437306083
sporthilf,151.0024999999696
sportstattenbau,144.0024999999418
sportwissenschaft,141.00249999994938
sportplatz,137.31843234430255
winterspiel,135.00249999992835
sommerspiel,131.98061804911515
turn,131.69151634750884
hochleistungssport,130.0024999999586
fifa,123.00249999996383
embryos,121.84547105592867
ubungsleiterpauschal,114.75297708891281
embryonenforsch,112.00249999993602
grossereignis,107.49432891716953
paralympics,104.00249999996132
erbkrank,103.69036187864901
sportunterricht,100.93006765379091
sportminist,100.00249999993503
olympiastutzpunkt,98.00249999998037
sportbereich,97.00249999987744
stammzellenforsch,94.96006641145915
ehrenamt,92.34348152334704
nationalmannschaft,92.03057838385493
spitzensportforder,90.0024999999338
europameisterschaft,88.97892309587576
fussballverein,85.49354094235548
leistungszentr,85.00249999993025
fc,82.86895285572288
sportverkehr,82.72636971705114
wm,81.00249999991104
leistungssportl,79.64496685584552
leichtathlet,78.47132367350042
forschungsfrei,77.10147137667428
leibesub,75.84124141999499
grossveranstalt,75.19985837817313
sportmedizin,74.93486149961839
fussballmannschaft,73.92120443458941
biomedizin,73.46734295863718
amateur,71.33924084024589
bundesinstitut,71.3074008433871
sportereignis,67.00249999991924
sporthall,66.84449585267225
therapi,65.70148076362148
austrag,63.734347615102635
sporttreib,63.00249999997496
behindertensportverband,62.002499999976195
vereinsleb,61.02143248048562
freizeitsport,60.002499999900955
sportbezieh,59.43198896115472
bundesleistungszentr,59.002499999969864
leibeserzieh,59.00249999996227
sportgerat,55.8021523516024
