,Word Value
entspann,4919.28534189347
treuhandanstalt,2679.0074999999492
entspannungspolit,2587.0074999998733
einigungsvertrag,2526.007499999873
ostpolit,2011.0074999998412
auswart,1851.6285702801442
ostdeutsch,1474.0074999998876
schlussakt,1246.5605253675433
friedenspolit,1100.9593979961264
zusammenwachs,1073.0074999997712
grundvertrag,854.007499999919
isolier,841.1315736769249
viermachteabkomm,694.9199578452361
ostvertrag,645.0074999998432
formeln,618.3027977413569
weltmacht,561.1900262523515
korb,538.0335240990994
ostblockstaat,522.960711035855
beitrittsgebiet,516.0074999998507
westdeutsch,474.0074999998352
regierungsbild,457.00749999972436
investitionshemmnis,446.7465369990153
friedenssicher,444.23796228784136
einmarsch,421.24715094773825
weizsack,420.4261378614836
rahmenbeschluss,417.00749999990285
koexistenz,405.0440916394134
teilnehmerstaat,387.6231979691571
mauerfall,347.0074999998544
fachaufsicht,326.8749380040143
grossmacht,321.9396664792274
rechtsakt,299.95763187636976
aufbauleist,274.75023985190904
friedensordn,261.5143580307621
staatswirtschaft,261.03051267023665
volksvermog,260.4706821112017
rechtsein,258.88861417305503
staatschef,254.13767346879564
reorganisation,252.43601016432726
rechtsaufsicht,250.72501613830934
ausgleichsleist,246.68028604829476
eroffnungsbilanz,243.39202437891947
sanierungskonzept,240.00749999983282
volksrepubl,234.5809898830648
bundnispartn,216.83667332464262
weltpolit,216.27600267048223
parlamentsmehr,213.32065243334887
entspannungsprozess,213.00749999989347
neuaufbau,206.41623577406793
supermacht,203.58560070818828
sowjet,203.17869438879703
verantwortungsgemeinschaft,191.67669336188575
unterhandl,182.0412546703879
wahrungsumstell,180.10159252293593
controlling,178.08962379830606
freiheitskampf,175.66069911421664
einigungsprozess,174.17284774057987
gesellschaftssystem,173.97140371291076
kommandowirtschaft,173.0831825326283
anschrift,171.2019250556907
seilschaft,170.0074999998071
abarbeit,170.00749999976284
mbfr,169.46899201330308
trennungslini,167.57824975346696
schlussdokument,166.3604875611849
zitier,165.71524111499514
privatisierungspolit,161.00749999981508
privatschul,159.00749999985953
gewaltverzicht,158.7918322427587
feindsel,152.10741005937592
staatsrason,151.95391037868825
wiedererlang,151.18922804047344
volksaufstand,150.51749742810242
pamphlet,148.73307255151428
vertragspolit,148.68693572095398
einmisch,147.6693891693186
doktrin,147.44757082486265
grenzlini,142.4900104054103
deindustrialisier,138.5235706736986
treuhandunternehm,137.00749999990083
rustung,136.8997640008671
gipfelkonferenz,136.8323044831625
verwaltungsentscheid,135.26609390728376
beileid,133.96179445700622
nachbarvolk,132.88844525486226
werkbank,132.6712965839892
aggression,132.46767414376603
sonderaufgab,132.0102459347232
vereinigungsprozess,131.0074999998311
salt,129.77818188505273
fuhrungsmacht,129.7778015646293
sonntagszeit,128.27256934042188
stroph,126.00749999981049
selbstbehaupt,125.93137597694209
kombinat,123.84398224724752
interdependenz,123.76851797324261
staatsmann,123.21402971402861
blockfreiheit,123.00978028422682
zeugenvernehm,120.28996233894378
mauerbau,119.57882570430212
