,Word Value
menschenrecht,23199.92154780924
fluchtling,19014.065000000068
polizei,10783.9251551383
arzt,8040.822918995898
behinder,7125.064999999886
petition,6924.662915889367
datenschutz,6244.064999999916
staatsangehor,5494.064999999921
demonstration,5336.064999999618
petitionsausschuss,5066.457156311781
weiterbild,4590.486102524241
diktatur,4340.064999999694
behind,4310.064999999886
asylbewerb,3921.0649999999064
zuwander,3788.0649999998827
gerichtshof,3687.0649999998495
menschenrechtsverletz,3578.7173890936615
sozialismus,3243.0649999997613
gewalttat,3102.9420052538103
aussiedl,2960.0649999998986
kommunist,2955.075853005781
jud,2947.064999999874
rechtsextremismus,2936.0649999998527
polizist,2838.771188028921
asyl,2729.064999999879
asylrecht,2701.064999999907
todesstraf,2614.0182819968786
eingab,2536.063369690946
migration,2521.0649999998013
religion,2480.064999999861
polizeibeamt,2386.2909807948517
schwangerschaftsabbruch,2360.0649999999446
migrant,2307.0649999998436
petent,2152.0649999999687
abschieb,1994.0649999997665
pass,1925.0649999997574
schwerbehindert,1830.0649999999252
antisemitismus,1812.0649999998573
staatsburgerschaft,1809.0649999999118
schwangerschaft,1803.0398411391668
gedenk,1770.064999999728
rassismus,1766.223481787727
asylverfahr,1701.0649999999316
elterngeld,1661.388884928764
teilzeit,1635.0649999998739
ruckfuhr,1626.1141161345952
burgerinitiativ,1599.0649999998616
extremismus,1597.0649999997584
demonstrant,1563.0649999997618
kurd,1558.4578875601555
teilzeitarbeit,1524.0224145982766
abbruch,1508.2371775208103
werkstatt,1505.064999999865
menschenrechtspolit,1500.064999999921
einreis,1455.2348233728203
religionsfrei,1437.0649999999387
herkunftsland,1421.7189631608944
einburger,1369.0649999999596
abtreib,1363.0649999999298
sozialist,1349.178360968489
islam,1347.0649999999343
brud,1326.2849836754085
muslim,1311.064999999944
vorratsdatenspeicher,1287.064999999933
zuwand,1287.0649999998566
kommunismus,1271.5616905634201
denkmal,1267.0649999998534
nazis,1241.0649999997213
gedenkstatt,1207.0649999999364
datenschutzbeauftragt,1188.064999999947
brexit,1187.0649999997552
indikation,1153.064999999918
kontingent,1144.8637684045277
einwander,1119.0649999998686
fluchtursach,1117.2362440399238
lebenspartnerschaft,1095.0649999999682
schwang,1075.0649999998757
personalausweis,1068.0649999999332
datei,1067.0649999999368
asylantrag,1058.0649999999318
eingliederungshilf,1051.8548963257113
staatsangehorigkeitsrecht,1045.0649999999255
barrierefrei,1032.082355728171
turk,1029.0649999998445
schwest,1012.1465576181411
fuhrungsposition,1011.0649999998903
einstuf,1005.2333922572851
auslandergesetz,992.0649999998616
aufenthaltsrecht,976.064999999846
asylbewerberleistungsgesetz,972.4154853470387
einmisch,961.0646122647279
auslanderrecht,960.0649999998035
ubersiedl,958.0649999999023
hetz,935.4897408093956
sicherheitsbehord,930.3429062937053
migrantinn,926.0649999999146
petitionsrecht,914.0649999999739
menschenrechtskonvention,913.3137623222053
fachkraftemangel,909.0542586552156
beschneid,888.0649999998371
