,Word Value
steuerreform,10946.019999999788
mehrwertsteu,5265.01999999976
steuersenk,4608.09848006507
steuersatz,4193.640230666701
einkommensteu,4163.401083223069
umsatzsteu,3986.307087840941
vermogensteu,3731.0199999998586
steuerrecht,3509.704156793871
finanzamt,2684.019999999852
korperschaftsteu,2656.4879574662746
steuerpflicht,2226.4511013061965
spitzensteuersatz,2043.0199999998063
erbschaftsteu,2040.0199999998554
mehrwertsteuererhoh,2018.3353973444891
freibetrag,1939.0705828355708
steuerentlast,1897.4710169511445
bemessungsgrundlag,1820.3575667588852
finanzverwalt,1780.0199999998483
steuerausfall,1665.1372849012996
steuersyst,1597.2528637915643
lohnsteu,1595.7356103585307
steuerbelast,1595.5631045312646
progression,1579.0199999998192
steuererhoh,1578.4809672520144
unternehmensteuerreform,1550.0199999998165
steuervergunst,1482.1737323194443
gewerbekapitalsteu,1467.019999999912
steuergesetz,1447.3457133962072
kapitalgesellschaft,1383.3839594161523
gewerbesteu,1365.542189620273
kaffe,1225.0199999999008
steuerfrag,1215.0199999997528
jahressteuergesetz,1212.0199999998663
verbrauchsteu,1167.2834234417119
gegenfinanzier,1158.019999999782
grundfreibetrag,1103.4744543161125
erganzungsabgab,1055.7649558165235
konvent,1033.019999999875
steueraufkomm,1024.3943610959157
zigarett,1008.9947819919154
kg,1001.5380084935765
steuergesetzgeb,977.3500928935188
steuererleichter,938.7416399946353
steuerlast,937.5722326924696
liquiditat,929.7931658271402
mehrwertsteuersatz,891.7152019545184
umsatzsteuergesetz,883.4016194836806
steuergeschenk,824.3177993519176
personengesellschaft,786.4382963213433
notopf,769.4389067871481
steuersystem,768.5500202948025
eckwert,760.346171962875
steuereinnahm,750.2199949389003
steuerbefrei,739.556315752424
verheirat,732.0549535773213
steuervereinfach,729.7658994391904
vorzieh,717.4230672182531
steuergerecht,711.8172913952037
einkunft,698.0324492022985
besserverdien,686.4296439986186
lohnzusatzkost,685.2518887960987
kont,680.9274267372773
einheitswert,667.9391371712928
unternehmensbesteuer,659.0199999997319
ermass,652.2064387206585
tabak,646.027896581862
eingangssteuersatz,646.019999999836
spitzenverdi,644.4888979946617
steuerquot,636.6048176805031
erbschaft,635.0199999998265
nettoentlast,631.6513767190302
freigrenz,624.0199999997188
verbreiter,608.5005157205696
steuerpaket,608.3795440352282
betriebspruf,605.0199999999005
steuererklar,593.8441197041709
unternehmensteu,589.0199999997842
staatsquot,580.4497159122916
vermogensabgab,573.5475085849436
verzins,570.1360084750686
arbeitskost,566.1067593825647
betriebsvermog,563.4726491777903
jahreseinkomm,559.3474091316097
steueranderungsgesetz,552.9134844135909
wirtschaftsgut,545.0694858285592
einkommensteuertarif,542.0199999998144
sonderausgab,526.0023092797883
steuerverwalt,522.5678556527228
millionar,516.2446577068863
korperschaftsteuersatz,501.0199999998183
betriebsausgab,497.1770907634683
abzugsfah,497.01999999979597
tarif,495.26979302231655
abgabenlast,485.87737524580405
steuerentlastungsgesetz,485.2668977388282
steuertarif,468.0199999997713
steuervorteil,465.1589954060305
abgabenquot,463.01999999983195
steuerschuld,449.142625058225
investitionshilf,444.52086449152125
