,Word Value
finanzpolit,8872.2550276062
haushaltsplan,6240.009999999616
haushaltsjahr,5278.211034043451
steuererhoh,4758.152860177799
haushaltspolit,4462.009999999533
neuverschuld,4010.009999999762
haushaltsentwurf,3904.0099999997005
steuereinnahm,3513.231844134399
nachtragshaushalt,3465.0099999996637
rechnungsjahr,2991.169344048639
nettokreditaufnahm,2348.009999999848
haushaltsgesetz,2224.240880059298
mehrausgab,1982.9467451513137
minderausgab,1807.203273303958
steuerschatz,1765.3288283856962
haushaltsansatz,1724.7346892901564
staatsfinanz,1709.153210257846
staatsverschuld,1616.361560187743
billion,1542.24533664379
stabilitatspakt,1386.817495820255
kreditaufnahm,1328.4018179566629
ausgabenseit,1252.2405944467434
altschuld,1095.036678370097
anleih,1074.5249931149533
sparpaket,1049.0099999997994
haushaltsrecht,1034.066310671973
steuermehreinnahm,1018.3816079908007
haushaltsfuhr,973.9911329673844
wachstumspakt,922.0099999998886
soliditat,884.3456106229473
finanzrahm,787.9045453004554
einnahmeseit,783.1766870003144
gesamtausgab,781.7923905429271
bundesanteil,760.796118706498
investitionsquot,747.2510330770756
nettoneuverschuld,746.0099999997885
haushaltsred,734.8356182194157
bruttosozialprodukt,706.5810258032183
haushaltstitel,688.9841423683503
rettungsschirm,686.3167597590838
bundesbankgewinn,655.009999999839
staatsausgab,634.0898571023064
bindungsermacht,633.7257721861097
bond,623.0099999999185
verteidigungshaushalt,620.2842310103744
haushaltsvolum,616.4949617448314
steuersenk,593.931519934597
fehlbetrag,573.7754874758023
zahlenwerk,570.760466112233
mehrbedarf,566.0120881795523
wirtschaftsplan,563.9780003903097
schuldenstand,561.2102062618351
bundeshaushaltsplan,560.521491947412
pump,555.9901009743082
hilfsprogramm,536.3068040937928
fiskalpakt,525.0099999999435
gesamthaushalt,506.9756514130857
finanzwirtschaft,503.9432671234083
finanzplanungsrat,499.47102139218606
staatsschuld,496.009999999723
mindereinnahm,479.04602708566705
schuldenberg,474.61756190909125
reichshaushaltsordn,469.9483312114926
personalausgab,463.84279696069814
bundesfinanz,463.40931208545965
haushaltssicherungsgesetz,463.08427433539583
plafond,452.8721804657199
ruckfuhr,449.99816334181895
deckungsluck,447.88288935946736
einnahmenseit,433.25060986788725
jungsozialist,426.0923745120935
sparpolit,418.3905577484023
wirtschaftsleist,417.3004314953685
schattenhaushalt,415.78823744973903
investitionsausgab,412.7470265833054
staatsquot,408.63682038246145
sozialausgab,408.1190090580483
haushaltsausgleich,407.835421332299
urkund,404.08754127742947
ausgabenkurz,400.0099999997278
haushaltswahr,398.9253980181252
bip,398.14545251722643
bundesausgab,397.6295843740669
ausgabensteiger,396.17841428493665
budgetrecht,395.0099999995831
konsolidierungskur,386.7584588553112
bundesschuld,386.4314997764165
haushaltsklar,375.6645564778664
erblastentilgungsfond,371.0099999998399
jugendarbeitslos,364.61647433859747
staatsanteil,363.1298298537733
kapitalmarkt,358.075681935823
zinsausgab,355.00999999987306
sozialhaushalt,346.8606774734692
wachstumsimpuls,345.40174914611356
bundesratsmehr,343.5290087359053
kriegsfolgelast,341.5889426345355
voranschlag,324.1950532338811
sparprogramm,318.4105197000854
steuerausfall,314.7219244410897
