,Word Value
todesstraf,2127.3866761330946
elterngeld,1661.331384928763
teilzeit,1635.007499999873
teilzeitarbeit,1523.9649145982758
lebenspartnerschaft,1095.0074999999672
fuhrungsposition,1011.0074999998894
schwul,813.0074999999692
frauenforder,792.0074999999221
lesb,781.0074999999734
frauenquot,621.0074999998814
frauenanteil,611.6849745050041
teilzeitbeschaft,566.4570790525869
lebenspartn,560.0074999999296
gleichstellungspolit,547.0074999999158
elternzeit,534.0074999999263
vollzeit,532.6790861260557
todesurteil,461.5511472775971
vollstreck,431.93308047969265
schlusseltechnologi,423.00749999981423
quotier,392.0074999998844
arbeitszeit,380.2245762229993
frauentag,376.94284433067054
auskunftsanspruch,357.00749999989915
spitzenposition,318.84252785082253
wiedereinstieg,308.5456689528326
gleichstellungsgesetz,299.31716045930295
hinricht,291.03236547772497
frauenrecht,290.64440699616694
rechtsinstitut,270.3224520741274
entgeltgleich,267.00749999994747
teilzeitbeschaftigt,245.0277556127096
frauenbeauftragt,231.00749999995503
haushaltssperr,228.28359152422655
freitagnachmittag,225.7261096526418
gleichberechtigungsgesetz,217.903955544459
familienfreund,211.4443839727917
verhang,210.8583690285698
arbeitszeitmodell,210.62690634550262
hauptgeschaftsfuhr,196.82985710522138
homosexuell,193.08870456965138
halbherz,184.00749999976992
auszeit,182.29963872144882
flachentarifvertrag,179.08258566215207
lebensentwurf,178.62585323313363
privatrecht,178.55396242196477
ostteil,177.92171494420654
familienausschuss,174.90960861035924
standesamt,168.66639075413636
gegenred,166.592622077209
stiefkindadoption,166.0074999999784
aussenwirtschaftsrecht,165.0074999999054
fuhrungsetag,163.97616632037068
lebenspartnerschaftsgesetz,162.00749999996575
delegationsreis,161.9498566019113
zukunftsfeld,161.0074999997833
lohnersatzleist,153.12612054610608
gleichstellungsbeauftragt,151.00749999992084
offnungsklauseln,150.51386137871964
chefetag,150.0074999998279
wahlkampfgetos,149.00749999982142
titelgrupp,149.00749999981835
glock,149.00749999977356
reh,148.00749999983503
schimpfwort,146.82384955789706
machtfrag,144.60038670542056
adoptionsrecht,144.5278665181379
druckerei,141.0518173338021
stereotyp,137.63135673819394
denkmodell,136.90024258665264
horrorszenari,135.00749999979377
entwicklungslini,133.52561558861024
gewerkschaftsfunktionar,132.79059719114704
fuhrungseb,132.42285549808207
korrekturbedarf,132.0074999997971
erfolgschanc,131.9353770780097
rollenbild,131.37840115761918
steuerrecht,131.11600646050084
machtwort,130.92028105508246
familienhebamm,130.00749999991743
lohnunterschied,128.27528544167515
frauenwahlrecht,127.00749999989948
dienstweg,126.43109192661342
mannerberuf,122.00749999985207
aushandeln,121.31488139417264
westteil,121.00749999982163
alibifunktion,115.70603608440001
partnermonat,115.00749999996444
gesetzesregel,112.92028964648546
freundschaftsvertrag,112.39523720663976
familienarbeit,111.09774342280456
amtsperiod,110.87143198644195
ruckkoppl,110.8045665356107
quotenregel,110.80379838928368
erwerbsquot,109.63628846401862
freu,109.00749999976071
tarifho,108.92650341290874
homophobi,108.3991529171864
spannweit,108.39221306262364
landbevolker,108.38822544793581
frauenministerium,108.00749999983962
