,Word Value
datenschutz,6244.009999999919
gerichtshof,3687.0099999998492
burgerinitiativ,1599.0099999998604
brud,1326.2299836754082
vorratsdatenspeicher,1287.0099999999327
datenschutzbeauftragt,1188.0099999999468
personalausweis,1068.009999999932
datei,1067.0099999999368
schwest,1012.0915576181407
speicher,838.6900178860518
bundesbeauftragt,815.3575040482405
privatsphar,713.0099999997617
personlichkeitsrecht,674.8802876393056
bundesdatenschutzgesetz,666.0099999999684
informationstechn,639.4528240471537
tatigkeitsbericht,635.5208980699317
datenverarbeit,622.5412240521364
sicherheitsbehord,618.164547598477
report,616.0099999997951
datenbank,586.6329748701068
ubermittl,567.0099999998646
datenschutzrecht,425.0099999999567
datenaustausch,416.00999999988437
vertragsverletzungsverfahr,393.1071260726737
identifizier,391.009999999817
hilfskraft,390.93009837781614
abruf,376.300142294528
bundesdatenschutzbeauftragt,363.00999999993326
datenschutzgesetz,360.00999999994286
volkszahlungsurteil,350.0099999999527
grundverordn,334.0099999999401
telefonat,311.77638325965665
abschuss,293.0099999998339
polizeibehord,284.4157817981916
befreiungsbeweg,284.18174686112104
parlamentariergrupp,282.8646597104193
strafverfolgungsbehord,282.33626938981945
informationssyst,281.1302466699064
europarecht,275.0099999998296
bmas,261.034845349056
auskunftsrecht,257.80288701588586
tonlag,251.00999999982002
datensich,249.9772254682007
sonderbeauftragt,244.55926518832595
loschung,243.00692667300575
datenerheb,236.0099999998066
grundrechtsschutz,236.0030161507574
datensatz,220.00999999991646
lastenausgleichsbank,218.67324995490733
schadenersatzanspruch,210.66607305772598
umsetzungsgesetz,201.87644326388235
trennungsgebot,197.00999999994156
machwerk,192.01823603563122
informationssystem,191.85882246789512
datenubermittl,186.10987039416625
datensamml,186.00999999987158
meldewes,185.21356645476334
passgesetz,181.00999999992803
politikverstandnis,178.00999999977805
grundrechtseingriff,174.3271020715077
videouberwach,173.63914809686136
chen,172.62085787416748
datengrundlag,172.2946536065536
informationsfrei,172.21563435089502
erforder,161.57242016769175
huft,160.96034516067812
fehlsteuer,157.365188678188
informationsaustausch,157.05032106996669
journalistin,154.0099999998072
grunddat,151.6301751500306
datenbestand,148.71397093270997
auslanderzentralregist,148.54561933355038
konjunktiv,147.96239101834425
widerstandsrecht,147.8186227720136
fluggastdat,141.00999999992663
personlichkeitsschutz,140.83484572923274
kontrollbefugnis,139.43333117909523
verkehrsdat,137.00999999993908
verlog,137.00999999975676
personenkennzeich,135.00999999997097
verbindungsdat,133.77235458985243
arbeitnehmerdatenschutz,131.00999999995076
nichtberucksicht,130.46581751671232
mio,129.3542637794852
personalausweisgesetz,129.00999999994792
sicherheitsbereich,127.95740455427173
ausspah,127.37857705230977
einwill,125.65708111593204
intimsphar,125.40727333325222
amtshilf,125.12939017487747
verweildau,125.07331829834214
ausweispapi,124.96114299707776
datenschutzstandard,123.0099999999401
datenschutzniveau,122.00999999995878
wahlgebiet,119.85132470483408
scholl,119.54893210747888
stimmenmehr,118.50820680743324
datenmeng,118.00999999985423
hilfspaket,116.70944811803626
logopad,114.6025330174082
