,Word Value
fluchtling,19014.01750000007
staatsangehor,5494.017499999924
weiterbild,4590.438602524247
asylbewerb,3921.017499999906
zuwander,3788.0174999998826
aussiedl,2960.0174999998985
asyl,2729.0174999998785
asylrecht,2701.0174999999062
migration,2521.017499999801
migrant,2307.0174999998426
abschieb,1994.0174999997664
pass,1755.9690667399025
asylverfahr,1701.0174999999308
ruckfuhr,1626.0666161345953
einreis,1455.1873233728195
zuwand,1287.0174999998565
herkunftsland,1277.2417560659019
kontingent,1144.8162684045271
einwander,1119.0174999998685
fluchtursach,1117.188744039924
asylantrag,1058.017499999931
aufenthaltsrecht,976.0174999998452
asylbewerberleistungsgesetz,972.367985347038
ubersiedl,958.0174999999018
migrantinn,926.0174999999138
familiennachzug,870.0174999999047
asylsuch,869.0174999998792
auslandergesetz,861.3533445427452
migrationshintergrund,850.662160937479
integrationspolit,845.6327637777722
fachkraftemangel,832.7850204975732
auslanderrecht,817.6156549130471
auslanderbehord,778.0174999998964
zuwanderungsgesetz,755.0174999999033
integrationskurs,753.0174999999134
drittstaat,752.4235323046059
neid,747.7555483168269
aussengrenz,730.6046816336677
zuzug,727.681505975938
fluchtlingspolit,692.017499999857
nationalitat,682.8983531446601
loyalitat,660.6497296155817
spataussiedl,651.0174999999307
zuflucht,612.961075200245
bundesvertriebenengesetz,601.378527376283
gastarbeit,595.292860424378
fluchtlingskonvention,587.0174999999181
fluchtlingsstrom,578.5435281894308
einwanderungsland,571.8490911961475
zustrom,560.8110474629259
burgerkriegsfluchtling,559.0174999998517
landesminist,551.0455540381904
visum,545.0174999998778
visa,540.0174999998776
fluchtlingslag,526.6764557775562
auslanderpolit,513.093568473445
sprachkurs,510.82024101763096
bleiberecht,477.57837189963175
asylpolit,468.5021065195619
einwanderungsgesetz,453.01749999991
volljahr,439.24346880040036
bundesunternehm,424.4737164390494
anerkennungsverfahr,412.00048573100867
zwangslag,408.56071486017385
richtlinienvorschlag,395.89633546071224
frontex,377.0174999999084
asylkompromiss,374.72279031722684
aufenthaltstitel,370.0174999998873
migrationspolit,368.2790080182999
sachleist,366.38351883581157
wahlalt,361.88126820285044
aufenthaltsstatus,360.2268660297857
fluchtlingskris,354.017499999836
scheng,348.0174999998221
abschiebehaft,342.0174999998981
burgerkrieg,335.86286788007874
sozialcharta,334.01749999983684
syr,330.8574898573274
sprachforder,320.5656561694117
fluchtlingskommissar,316.01749999982275
volkszugehor,315.01749999992006
wahlentscheid,313.0174999997442
willkommenskultur,310.0174999998844
aufenthaltsgesetz,306.69783180633266
wanderungsbeweg,304.73480245297105
abschiebestopp,303.0174999998921
aufenthaltserlaubnis,299.3932513692258
herkunftsstaat,293.2536999657469
staatsangehorigkeitsgesetz,291.0174999999429
zentrumsfraktion,284.58612380101636
altfall,278.16747425023834
optionspflicht,276.01749999997196
schutzsuch,274.0174999999016
sprachkenntnis,273.4883083504551
staatsangehorigkeitsrecht,273.35379657665436
bleibeperspektiv,272.01749999991455
punktesyst,271.0174999999144
asylverfahrensgesetz,270.9351817516176
windel,268.6277092539424
nachzug,264.0174999999211
