,Word Value
pandemi,1271.0024999999514
kulturgut,1119.4737526364197
zuruckweis,899.2888311664556
coronakris,741.0024999999249
virus,724.1785253564734
coronapandemi,446.00249999993065
impfstoff,420.80846537448906
juristenausbild,330.0024999999322
poststell,264.9478840779752
kulturerb,229.0024999998925
lockdown,198.00249999995802
welterbestatt,156.0024999999704
hirn,153.38675151912335
personalaufwand,143.528453010204
schaustell,143.0024999998899
samml,135.98320225982215
stimmausweis,134.57893487609056
spitzenpolit,129.21459383217694
postversorg,121.00249999992388
masslos,113.82787358223513
weltkulturerb,109.20051440664037
schieflieg,107.2926959966255
coronazeit,107.00249999992313
schutzausrust,107.0024999998754
horensag,104.63119691883486
videokonferenz,99.89527453351722
quarantan,94.97502875222214
akzentverschieb,90.4328494990141
bundestagsgrupp,90.00249999980862
postschalt,82.82229554696455
infektionszahl,81.00249999995208
mask,77.63250411750157
ressortchef,76.80566619968755
shutdown,72.00249999995413
waldbrand,69.84179270321117
lieferkett,69.73937591403583
experimentierphas,65.00249999992494
schutzregel,63.93899618623624
aushilfskraft,60.62737961367719
olfeld,60.00249999984041
pandemiebekampf,59.002499999949954
justizetat,56.42834468769915
gesundheitsschutz,55.05245575185056
amtsstell,53.63822486257621
intensivbett,53.00249999997113
wiederaufbaufond,53.00249999993391
grundrechtseinschrank,52.92776675163439
idealzustand,52.1765147102347
kompensationszahl,51.968187525675155
infektionskett,50.00249999994559
gesetzgebungsinitiativ,48.93929466542284
schmarotz,48.002499999780895
durchring,47.78003344411515
rosa,46.88594305391192
vertragsbezieh,46.88198759622979
yasuní,46.00249999993997
arbeitnehmerschutz,45.96058541768594
uberbruckungshilf,44.573704355871705
schwachstellenanalys,43.788337246809895
leistungskontroll,43.15224289748122
kulturleist,42.8170223461681
flusslandschaft,42.75685218125414
olforder,42.09680192659341
granitindustri,42.002499999931814
erhebungszeitraum,40.697084717598315
wirtschaftseinbruch,39.581974465591884
effizienzpotenzial,38.29938248448047
burgerenergiegenossenschaft,38.00249999989224
trabant,37.983506916759886
wirtschaftsstabilisierungsfond,37.0024999999575
versund,36.02027183985859
drahtseilakt,36.00249999976367
unterstutzungsprogramm,35.983962855220405
fachanwalt,35.67515501197306
grundwahr,35.375939738105814
einheitsjurist,35.00249999998439
oberlausitz,34.90831091729521
itt,33.995021429059626
braunkohleregion,33.002499999781556
saub,32.787776288574634
waldumbau,32.49467976684409
pflasterstein,30.634347814661083
ouvertur,29.41465872139991
laptops,28.820721561517068
kulturgutschutzgesetz,28.002499999981453
zwischenpruf,27.95384040176999
mittelaufwand,27.6691408051514
moralitat,27.30055489676058
wahlstation,27.002499999972066
meinick,27.002499999807913
gebuhreneinnahm,26.009570998323394
landzustell,26.002499999973317
naherinn,25.722396934362422
hygieneregeln,25.002499999960236
bevolkerungsschutzgesetz,25.00249999993825
umweltforschungsprogramm,25.002499999814958
hotspot,24.833962857389817
baureih,23.968183691473172
ungnad,23.61771111248263
sudthuring,23.002499999859715
