,Word Value
lebensmittel,3764.002499999856
lebensmitteln,2032.3549096602535
kennzeichn,1998.0024999998038
nahrungsmittel,782.4268541712804
untersuchungsergebnis,499.822471441967
kennzeichnungspflicht,467.0024999998835
lebensmittelrecht,388.00249999985715
labor,380.05007763717356
futtermittel,358.60351941744216
futtermitteln,323.4359441301032
fett,312.34545112772906
lebensmittelgesetz,303.00249999991746
liquidation,278.990924665261
volksgesund,260.3218265313028
zuck,243.84299999011873
inhaltsstoff,220.46891588805178
reichsbank,219.00249999994972
lebensmitteluberwach,205.66647854660096
erzeugnis,205.54675996060791
verpack,199.97573472478462
zusatzstoff,167.6620582883061
patentschutz,160.92627503854223
anbauverbot,154.00249999992207
efsa,143.00249999994153
gesundheitsbehord,134.4832355626423
fondslos,133.56956640028937
ernahrungsministerium,128.80076658534807
lebensmittelwirtschaft,128.75498203322962
bestrahl,123.4654004891752
salz,120.87605281577054
aufpass,104.95441889672915
futter,104.52204669089929
bedarfsgegenstandegesetz,102.0024999999502
ampelkennzeichn,101.57580553867133
vitamin,98.37416956372721
inverkehrbring,96.58486038282463
verzehr,94.07916499469525
oberburgermeisterin,91.39469690105388
wasserkopf,90.91627091449247
altbundesland,89.77742881486715
dioxinskandal,89.00249999993163
testverfahr,88.95485731035635
gefahrdungspotenzial,87.90772266516223
krankheitserreg,86.35079434037107
milch,78.46595509390067
salmonell,77.00249999992666
ruckverfolgbar,76.98566933990217
verunrein,74.04950144145289
maislini,74.00249999994575
ole,73.07206170791741
futtermittelgesetz,70.60375429579449
gesundheitsschutz,70.37777452398525
unbedenk,70.16155366643169
ampel,68.90087638011342
neujahr,67.30894265322489
lebensmittelkontroll,65.14796192332614
diabet,63.897980968931996
packung,63.829586343881886
originalzitat,62.11145137406966
stimmenkauf,61.69956451811866
einkauf,61.48097270094676
infektionsschutz,59.00249999984483
bombodrom,58.00249999978384
lebensmittelkennzeichn,57.98014574305065
plenarberat,53.90674595901289
biobau,51.24242895561939
dezentralisation,50.95830020009664
fettsaur,50.00249999994895
lebensmittelbereich,49.53984539986289
kenntlichmach,45.980324714476396
leitungsbereich,45.78826159328055
palav,45.6550436362687
eruption,44.74418171449072
ernahrungsberat,43.1588875176863
kaufentscheid,42.321552376492015
zahlstell,42.30276668543
kennzeichnungsregel,42.00249999995088
gesundheitsgefahrd,39.6092836137612
golddiskontbank,39.00249999997945
gewurz,37.88119373181565
kaffeetrink,37.00249999977665
olen,37.00249999975835
out,36.930258718706256
futt,36.84167096557881
vermogensauseinandersetz,36.267656403491685
zugangsrecht,36.25007652959539
reichsbankanteil,35.00249999998342
genannt,34.80193446172592
spezifikation,32.00249999976448
befall,31.982032759920752
pharmakonzern,31.859720876151854
anlagensich,31.85628308164181
anbauzulass,31.00249999995727
nahrstoff,30.9603848372413
umsatzrendit,30.644907327539652
obligation,30.58114381153185
lampch,30.552808784985427
zubereit,30.387662925803568
sojabohn,30.05273931937483
gesamtmittel,30.002499999579154
