,Word Value
tier,6634.0024999998695
tierschutz,3035.002499999939
tierversuch,1291.002499999948
tierhalt,1286.758459796266
tierschutzgesetz,900.0024999999573
antibiotika,751.0024999999131
stall,542.8149412340828
parlamentsreform,486.37488593922166
massentierhalt,358.36367956439443
nutztierhalt,299.0024999999676
nutzti,258.0024999999243
tiertransport,254.00249999995472
tierwohl,245.842026833131
wohlbefind,222.44181268436301
unterhaus,212.86205156377648
sau,194.9234717335819
tierseuch,188.002499999886
tierschutzbericht,180.0024999999779
kaninch,177.03188307507114
versuchsti,153.00249999996726
bmel,140.0712157261856
mitgeschopf,139.00249999995995
haltungsbeding,132.00249999997598
tierart,127.83637644197202
wildti,127.00249999992454
tiergesund,124.00249999994035
antibiotikaeinsatz,120.00249999996953
schwein,118.04336293641536
schlachthof,110.2238412818174
tierqualerei,109.00249999992215
haltungssystem,100.00249999997476
staatsziel,99.77700908290656
tierbestand,96.10771197103438
betaub,92.76221910527308
zieg,87.95586704180342
ferkel,86.00249999993434
weltagrarbericht,85.43752830066708
vorricht,82.45780052145544
kastration,80.40251632897036
lebewes,79.11915346913574
zucht,77.82108538640536
freilandhalt,76.64962966340602
tierschutzrecht,75.00249999997025
schlachtti,73.54367521744216
schlachtung,72.33724185338636
erlaubnisvorbehalt,69.73635095911955
fleischproduktion,68.88430968605982
geschopf,67.43658064280474
tierschutzstandard,67.3660630256769
tierwohllabel,65.00249999995461
datenbank,58.74972365784406
ferkelkastration,58.00249999996787
totung,55.234681534088885
erganzungsmethod,54.00249999998612
lebensmittelkett,53.731966960997326
tierschutzpolit,53.00249999997258
tierseuchenbekampf,52.982386651733435
anlagenteil,49.55462021536328
huhn,47.311950625656614
geflugel,47.30305429548462
qualzucht,44.00249999998536
schenkelbrand,44.00249999996864
pflanz,42.681240095980556
weid,38.15018961626136
zebet,37.002499999985076
nutztierhaltungsverordn,37.00249999997248
arzneimittelgesetz,35.573609238944435
verhaltensforsch,35.38523165992907
bauernhof,35.32664051831006
zielort,34.81082975553773
agrarministerin,34.451891455873856
lebensmittelproduktion,34.00797161724453
agrarausschuss,33.277888312752395
fleischmarkt,32.763958659900325
pilotkonditionierungsanlag,32.070967923521415
mortalitatsrat,32.00249999987186
ferkeln,31.780144958399163
bundesgesellschaft,31.463090116607265
qual,30.127095603878146
schnabel,29.710375860667906
rut,29.403352167757653
tierschutzgedank,29.002499999932812
viruskrank,29.002499999869496
zwischenlagerkapazitat,29.002499999706895
futt,28.684048372881463
impfung,28.12812783440184
pflanzenwelt,27.85794832842831
zulassungsverfahr,27.266828143054905
antibiotikamissbrauch,27.002499999955006
fragezeit,27.002499999907716
dokumentationsstell,27.002499999764787
verfassungsgut,27.000118659611505
ernahrungsfrag,26.63207549934365
pelzti,26.002499999979534
tierfabr,25.98131422198679
anhorungstermin,25.240306387329586
menschenkett,25.002499999651224
vogelgripp,24.969124713759804
anzeigepflicht,24.026279764117362
heimti,24.002499999976024
