,Word Value
mitbestimm,7068.012499999865
betriebsrat,5458.012499999886
tarifvertrag,4124.50390888568
tarifpartn,2941.6792357907507
ig,2910.6658257983
kundigungsschutz,2671.012499999849
metall,2387.4983417009
betriebsverfassungsgesetz,2059.012499999851
tarifautonomi,1969.2366363025812
gewerkschaftsbund,1870.638852752077
belegschaft,1843.9292810329277
lohnfortzahl,1815.0124999999045
streik,1702.01249999979
mitbestimmungsrecht,1597.0124999998293
sozialpartn,1461.330879335334
tarifvertragspartei,1430.7758749401069
arbeitgeberverband,1328.5524460548131
krankheitsfall,1286.012499999878
montan,1037.0203589684775
arbeitnehmerschaft,1032.4832357244993
tarifpartei,1027.6050287921419
tarifverhandl,1018.7835512796173
arbeitskampf,900.0124999998953
konkur,863.1552852106377
sozialplan,798.9508095065029
sozialausschuss,708.4179056416675
kundigungsfrist,703.012499999904
kapitalismus,701.5295273401869
tarifpolit,656.5054167668426
arbeiterschaft,650.2120861629346
arbeitnehmerrecht,645.0124999998156
verfassungsvertrag,643.0124999998972
tarifabschluss,634.920226802804
airbus,627.0124999998313
arbeitnehmervertret,604.0729563866469
streikrecht,596.778544333297
nanotechnologi,519.0124999999148
aussperr,505.0124999999216
neueinstell,466.16137356352203
humanisier,464.66325695430464
betriebsverfass,453.0124999998698
unternehmensleit,416.3506778214484
jugendvertret,409.01249999995457
mitbestimmungsgesetz,379.01249999993155
kundigungsschutzgesetz,359.0124999998753
jahresabschluss,352.07418610635676
betriebsvereinbar,329.02733751141415
bundesanzeig,315.6951713685858
zwischenlos,312.30000608235383
lohnausgleich,312.01249999972555
arbeitgeberseit,311.09726589632874
gewerkschaftl,302.3466398570246
arbeitnehmerseit,301.18450049845876
koalitionsfrei,295.19929907352474
karenztag,286.01249999991524
betreuungsrecht,285.7115399010245
gewerkschaftsvertret,285.0124999997953
metallindustri,276.4088855331008
bundeshaus,273.5174192693641
tarifrund,270.4344766955924
bundesversamml,261.930053629085
arbeitnehmerin,259.00729781255734
krankenstand,252.01249999993323
paritat,247.8824529155889
konsulat,244.45839591366874
exempel,242.32756919154104
falschmeld,235.7504505820963
einheitsgewerkschaft,234.0124999998182
csfr,229.08343434304268
arbeitsdirektor,227.01249999993297
klassenkampf,226.48179325338884
lohnpolit,223.13133815320157
einigungsstell,220.01249999996645
kolonn,219.91624694694957
aufsichtsrat,219.53767146413244
bundesarbeitsgericht,219.1810603449269
interessengegensatz,213.0637485440033
tarifrecht,212.44054583912256
arbeitsablauf,210.13937758881852
arbeitszeitverkurz,210.07862018469123
kompetenzabgrenz,210.01249999981087
tarifauseinandersetz,207.0124999998149
tarifvertragsgesetz,206.1920223559998
probezeit,205.42392754915218
auszubildendenvertret,205.0124999999756
begleitforsch,202.06393355197778
sozialpartnerschaft,200.0393927540504
sprecherausschuss,200.01249999995346
personalplan,197.4161033381051
fremdbestimm,194.72982921802338
lohnkost,193.52479581426587
arbeitnehmerinteress,191.46977086246952
lohnerhoh,188.591015674047
lohnforder,185.85571161422567
unternehmensverfass,185.01249999990205
rahmenkompetenz,184.2933240561268
waffengleich,181.0697858743311
unternehmerverband,179.00461298569152
gewerkschaftsfuhr,175.32259411489903
zukunftsvorsorg,167.40147153607717
