,Word Value
mindestlohn,9292.002499999906
arbeitnehmerinn,6100.803179642629
beschaftigungsverhaltnis,2785.0024999997163
arbeitsbeschaffungsmassnahm,1285.9012742104965
entsendegesetz,1028.111072312099
minijob,853.3341053448873
niedriglohnsektor,850.0024999998367
tarifvertrag,760.7799979661535
tarifbind,629.9970294935763
tarifautonomi,570.7783636972316
tariflohn,494.8515514782102
stundenlohn,490.879203761432
lohndumping,476.6837797225076
niedriglohn,434.002499999854
niedriglohnbereich,416.0024999998303
lohnuntergrenz,311.70666854378027
arbeitsmarktreform,287.1333491060223
dumpinglohn,267.3578366958368
lohnniveau,256.787883057403
lohnfind,251.00249999981435
hungerlohn,220.6298188052088
arbeitsministerin,214.41083598363852
kombilohn,213.66230839678033
mindestlohnkommission,207.0024999999675
allgemeinverbind,204.0024999998503
allgemeinverbindlichkeitserklar,197.99713061268005
vollzeit,191.45733360925993
geringqualifiziert,190.50471560519838
untergrenz,188.35677834578163
vollzeitarbeitsplatz,180.76482578222587
grundeinkomm,170.13631393217432
minijobb,169.00249999987884
vollzeitbeschaft,164.00249999975188
sozialpartnerschaft,163.9756072456978
bundesarbeitsministerin,158.93875873045735
beschaftigungseffekt,157.1804047268392
arbeitsvolum,152.90110375128614
lohnhoh,152.72211731103067
tarifausschuss,151.00249999995364
vollzeitbeschaftigt,149.00249999983026
jugendarbeitslos,137.51825389278693
vollzeitarbeit,137.00249999975782
arbeitsgeleg,131.024921063473
arbeitnehmerfreizug,126.86551964619518
mindestarbeitsbedingungengesetz,123.00249999996389
gebauderein,122.67336443195371
uberbruckungsgeld,120.47720861415534
bruckenteilzeit,116.0024999998885
tarifpartei,114.40997120756757
vollzeitstell,111.39061237874805
erwerbstatigenquot,110.98917251242484
altersarmut,108.96402203497559
mindestlohnregel,107.00249999992658
uberbietungswettbewerb,104.4377515548657
befristungsgesetz,103.67240220551982
normalarbeitsverhaltnis,102.40759952610941
tarifflucht,102.23046191333607
armutslohn,102.00249999991061
arbeitgeberverband,100.73611612889256
branchenmindestlohn,99.00249999996068
mindestlohngesetz,98.99978508864976
fachkraftemangel,97.65703495324344
sozialversicherungssystem,97.51880106179415
durchschnittslohn,96.39483008916751
billiglohn,95.00249999978556
jobrotation,94.95850048352791
beschaftigungsform,94.75960684798653
arbeitsangebot,93.00249999961822
jobwund,91.80862418156107
mindesteinkomm,91.68148579769537
allgemeinverbindlicherklar,90.00249999991905
geringverdi,87.13988233772409
tarifvertragspartei,84.23912505968364
reinigungskraft,84.10484307598854
arbeitgeberseit,82.81672473002261
scheinselbststand,75.49869587217425
lohndruckerei,73.42949813115818
beschaftigt,73.02719214212654
arbeitgebervertret,70.02775866261258
flachentarifvertrag,68.9274143376739
lohnentwickl,68.76251157645781
vollzeitjob,67.00249999980782
lohngrupp,66.91289909052765
armutsrisiko,66.63979752398687
lohnkost,66.21213852767411
mindestarbeitsbeding,65.44885912509885
kombilohnmodell,65.00249999983252
arbeitsgesellschaft,64.10093553434638
progressivmodell,63.881703482954045
saisonarbeit,61.817811051124245
teilzeitfall,61.115612737489776
friseur,60.50279742067164
reallohn,59.539703378728944
berufsforsch,58.90889589316608
beschaftigungschanc,57.275298129818076
briefdienstleist,57.03566314862413
gebaudereinigerhandwerk,56.0024999998991
arbeitslosengeldbezug,56.002499999741794
weiterbildungsbranch,55.00249999996174
instrumentenreform,55.00249999979655
