,Word Value
krankenversicher,14079.01999999967
patient,10365.01999999989
krankenhaus,10329.0199999997
krankenkass,9404.019999999813
arzt,8166.2620810037815
gesundheitswes,7541.548193247959
versich,6945.9535480824325
gesundheitspolit,3312.019999999801
arzneimittel,3237.0199999999218
medikament,3185.0350471930565
apothek,2881.0199999998927
spend,2572.0199999999045
gesundheitsreform,2333.0199999997794
heim,2139.1515050282596
patientinn,2132.019999999925
gesundheitssyst,1874.0199999998317
zuzahl,1682.5493038306652
arzneimitteln,1639.0199999998686
roma,1577.019999999963
beitragssatz,1486.8168515643854
selbststand,1431.808858314437
selbstverwalt,1415.4204049425775
bundesgesundheitsamt,1345.2263880118019
interpellation,1325.2202250346545
organsp,1283.0199999999863
pandemi,1271.0199999999516
selbstbeteil,1226.0199999998363
klinik,1154.9189494551915
pharmaindustri,1151.0199999998194
kulturgut,1119.4912526364199
solidargemeinschaft,1097.5970757188188
arzneimittelgesetz,1057.1064685266683
gesundheitsausschuss,1032.6693284640505
gesundheitsversorg,1018.7138793361761
leistungserbring,947.4075892252487
sinti,941.0199999999736
zuruckweis,899.3063311664556
budgetier,880.6053755431959
zahnarzt,869.0199999996388
therapi,824.6837502517039
nebenwirk,816.0199999996698
kreb,807.1434971810714
zahnersatz,794.9592592700164
coronakris,741.019999999925
gesundheitsminist,727.6116009197224
kostenerstatt,726.2659384595976
virus,724.1960253564735
positivlist,713.019999999869
gesundheitssystem,699.2289315137003
gesundheitsforder,670.0199999998891
hausarzt,659.6085650289144
gesundheitsbereich,657.7853265170364
beitragszahl,648.274653596839
risikostrukturausgleich,619.0199999999157
arztinn,618.8464067471115
festbetrag,600.619354620796
ortskrankenkass,591.0199999998514
praparat,588.0199999999332
kostendampf,586.0199999997659
datenverarbeit,557.2496187723382
arzteschaft,523.401136395643
krankenhausbereich,511.0199999998726
pflegesatz,486.873458459284
heimgesetz,484.0199999999576
facharzt,476.12266144437007
taschengeld,473.71823507267936
vorsorgeuntersuch,469.019999999867
impfstoff,468.5972525383757
gesundheitsvorsorg,465.019999999705
bundesausschuss,461.5963313067482
leistungskatalog,455.20595648013335
beitragserhoh,452.3609411539031
wohlfahrtspfleg,447.1966448909768
coronapandemi,446.01999999993063
fruherkenn,446.01999999988044
arzneimittelversorg,435.0199999999154
ersatzkass,431.71371990920255
arzneimittelsich,416.0199999999591
praventionsgesetz,416.01999999991625
berufsverband,407.181222954455
widerspruchslos,406.01999999997366
krankenhausfinanzierungsgesetz,403.0258323598038
gesundheitsministerin,402.01999999980666
beratungszeit,395.0199999997856
fallpauschal,392.0199999999078
altenheim,387.01999999988504
krankenhausfinanzier,366.7001025181546
wirkstoff,354.45191714590743
bundesgesundheitsminist,354.06170417068336
prax,347.0199999998108
versicherungsschutz,343.019261340713
kassenarzt,336.01999999987504
dekad,331.8733680457535
heimbewohn,330.01999999995854
juristenausbild,330.01999999993217
versandhandel,330.0199999998693
eigenbeteil,323.9868781971942
arzneimittelrecht,319.01999999990636
krankenkassenbeitrag,318.1155614582916
diagnos,314.38962230967303
