,Word Value
leiharbeit,2307.002499999921
zeitarbeit,1542.0024999999584
arbeitsvertrag,1519.0024999998452
munition,909.8386219653327
verleih,639.662656063922
informationspolit,615.002499999776
arbeitnehmeruberlass,369.0024999999422
korrespondenz,333.0024999997129
arbeitnehmeruberlassungsgesetz,302.9780652459143
leiharbeitnehm,285.0024999999737
lohndumping,283.35647948177916
vorgesprach,265.5304309887012
implikation,234.10701350799732
stammbelegschaft,230.0024999999324
schleck,190.00249999996154
zeitnot,175.8457596965285
zeitarbeitnehm,174.00249999997777
tarifvertrag,153.7335931479427
entleih,136.00249999996447
gleichbehandlungsgrundsatz,130.61155688346406
normalburg,128.9461518481409
auftragsspitz,125.00249999994162
zeitarbeitsunternehm,123.00249999997709
zeitarbeitsbranch,116.89118897903106
umsatzsteuerbefrei,114.07941133345933
wahlversamml,113.59371745982413
zeitarbeitsfirm,105.00249999992597
gesamtwerk,103.43496219853888
tarifgemeinschaft,97.08816193082372
versorgungsbetrieb,91.87962473652121
leiharbeiterinn,89.0024999999446
leih,88.93338772857722
beschaftigungspotenzial,82.74722553763443
wirtschaftsbranch,79.95919867725587
regiebetrieb,79.00742702867674
tariffah,78.77211339120878
sonderumsatzsteu,74.49685097924623
leiharbeitsbranch,72.0024999999769
entschadigungspflicht,70.59285113410995
sprungbrett,70.02683990567932
dauerarbeitsverhaltnis,63.00249999992849
geschoss,62.534331102919175
einarbeitungszeit,59.89883336048267
schmuddeleck,57.47345338809148
leiharbeitnehmerinn,57.00249999996256
familienzulag,56.19961966867717
plattformbetreib,56.00249999988157
lehrstund,53.758572790139986
butterbrot,52.8618351481081
unmoral,52.35067761387452
einzelpruf,51.80511208140342
festangestellt,49.804770716368104
equal,49.00249999994094
eumitgliedstaat,48.80736382200331
zugpferd,45.625952334615945
eigenregi,45.39753534327244
warenangebot,45.00570018730186
berlinforder,44.82797117954232
umsatzsteuerfrei,44.650699688877665
klebeeffekt,44.0024999999401
zweitverwertungsrecht,42.00249999987326
lohnuntergrenz,41.29833145616834
zeitarbeitsfirma,39.00249999995257
kettenhund,38.95661278614456
unterweis,38.76180702829501
zeitarbeitsverhaltnis,38.00181395911091
amtshilferichtlini,37.002499999807014
meinungsmach,36.88552435680205
spendenaktion,36.84983454544903
hochstuberlassungsdau,36.00249999997797
christsozial,34.9777699038136
dienstleistungsgewerb,34.6473454140996
entleihbetrieb,34.002499999978866
lohngrenz,34.00249999982763
umsetzungsmassnahm,32.94764226359982
umsatzsteuervergunst,32.78667050621233
verleihunternehm,31.002499999966094
streichholz,30.893151695262475
gesamtanlag,30.84714404144804
facharbeitskraft,30.00249999970832
gummi,29.85464030381905
blutkonserv,29.55172248186732
leiharbeitsunternehm,29.002499999979204
hochangereichert,29.002499999878946
betriebsberat,28.495911752236992
kampfjet,28.39850571596089
bruttostundenverdien,26.280404196164856
zahlungseingang,26.002499999767405
arbeitsspitz,25.791348055381295
tarifbeding,25.7233104141332
susswass,25.577806104638324
auftragslag,25.437372228651093
beschaftigungsform,25.226551542584648
fraktionsberat,24.974150123745694
losungsangebot,24.961905797672937
abpress,24.85186808651997
unausweich,24.798952552830393
geringqualifiziert,23.687916461699555
tarifvertragsfrei,23.002499999838584
bundesauftrag,22.90109540804366
