,Word Value
hochschul,15634.004999999817
bafog,9549.004999999872
studier,5357.004999999882
studium,4576.953928141016
wissenschaftsrat,1718.9763474242636
ausbildungsforder,1652.3205502209473
studienplatz,1600.0488874122605
fachhochschul,1476.0049999998398
studiengebuhr,1401.0049999999155
hochschulpakt,1303.0982561329456
hochschulrahmengesetz,1139.8112132276408
studiengang,1004.004999999832
bundesausbildungsforderungsgesetz,802.8552009309888
nachwuchs,800.3306340596771
hochschulbau,769.7993296602488
freibetrag,759.570989981018
wissenschaftlerinn,732.316848850919
bedarfssatz,727.0049999999436
hochschullehr,722.654903092118
exzellenzinitiativ,656.0043315394948
forschungseinricht,617.9615151919049
student,604.6471109265059
hochschulbereich,577.0085233273946
pakt,554.3360223069171
fakultat,549.7446778091098
hochschulpolit,509.3920367465594
studentinn,493.0115464331615
studienreform,453.00499999988955
absolvent,452.7130145994257
studienanfang,445.6307441292166
studienzeit,418.17451685364495
studentenwerk,409.00499999990245
hochschulreform,406.85371161047584
wissenschaftssyst,336.0049999999285
lehrstuhl,335.84382657666885
personalstruktur,333.72845317414203
grundfinanzier,329.99589820107366
studienfinanzier,319.0049999999633
promotion,312.0049999998683
wissenschaftszeitvertragsgesetz,310.0049999999493
forschungsstandort,304.31830320518475
juniorprofessur,301.00499999989086
akadem,297.91412879196014
nachwuchswissenschaftl,292.99595994785653
deutschlandstipendium,286.00499999994696
hochschulrektorenkonferenz,278.00499999992735
wintersem,278.0049999998775
professur,276.93834702734915
auszubild,276.57801106766726
wissenschaftspolit,272.3259979770976
wissenschaftsbereich,266.32389873254226
bachelor,266.2141122126455
gesamthochschul,264.32924323921605
hochschulwes,260.13153960464865
regelstudienzeit,253.00499999994594
studienbeding,236.0049999999236
hochschulzugang,230.77271655608
wissenschaftsminist,228.49833327639888
diplom,218.69073150794543
begabtenforder,218.66613636836564
forschungsgemeinschaft,217.84718955106953
wissenschaftsfrei,215.92761461243683
wissenschaftsstandort,212.8101482385416
habilitation,208.79411504412408
hochschullandschaft,206.0049999998872
informat,205.09262295447496
gefordert,203.00499999983896
rektorenkonferenz,197.5593212944308
sem,196.11934741417966
wissenschaftsorganisation,193.49953884187227
bildungsweg,191.3073864032736
studienbewerb,191.0049999998968
wissenschaftseinricht,190.00499999980838
bundesbericht,183.66698948598736
mittelbau,182.24266265409554
hochschulsonderprogramm,182.0049999998227
fachricht,180.04044490479612
wissenschaftssystem,180.00499999995137
clust,170.77190805342067
wissenschaftsfreiheitsgesetz,170.00499999993121
hochschulstudium,168.10777699645655
nachwuchsforder,166.96641761629058
studentenzahl,165.66626409024198
bildungspolit,162.0040009127407
bildungsfinanzier,160.74854750632286
studentenwohnheim,158.8736632446531
rektor,156.06094690993623
karriereweg,156.00499999984225
elternhaus,154.50719709301038
hochschulsyst,151.00499999990856
professorinn,146.00499999980923
hochschulbauforderungsgesetz,145.0049999998734
stipendi,142.47443489275764
forderungshochstdau,140.00499999996578
internationalisier,138.0793672923258
hochschulgesetz,133.99652959467832
zulassungsbeschrank,129.9694852429018
drittmittel,128.95124819332278
tenur,128.00499999996882
hochschulabsolvent,127.82479926038141
