,Word Value
bildungspolit,4889.00599908701
bildungswes,2008.0049999998143
kultusminist,1699.9629839773188
bildungssyst,1583.4355065125171
schulerinn,1504.6332604367547
abitur,1301.30412611667
bildungsbereich,1271.3110949218785
ganztagsschul,1127.4369385615528
kultusministerkonferenz,1036.4174570929717
gesamtschul,986.0049999999347
bildungsplan,920.0049999998848
kooperationsverbot,877.0049999999162
abiturient,830.7212434500271
bildungschanc,826.1619645720984
bildungseinricht,822.0141530667034
bildungsbericht,793.0049999999079
bildungssystem,780.180104801175
lehrerinn,765.0049999998344
grundschul,760.9755992092342
schulwes,694.1589029283559
bildungsgesamtplan,641.0024632323824
begab,630.1125482510201
gymnasium,603.46960795955
schuljahr,592.577863102523
verwaltungsabkomm,528.400903404714
hauptschul,502.4675129052392
bildungsgipfel,497.00499999991615
durchlass,495.1967493741564
schulsyst,494.00499999987755
padagog,477.33254066869176
bildungsangebot,472.06517596230566
bildungsreform,451.0049999998203
bildungsweg,449.7026135965275
bildungsrat,428.0049999999347
chancengerecht,405.241430061565
akadem,403.60298781042036
lehrkraft,397.38237073010515
bildungsrepubl,370.989293748311
ganztagsschulprogramm,345.9942207571186
bundeskompetenz,339.2209725367821
schulabschluss,338.7689831698299
lehrplan,321.94240734608525
realschul,313.3144740114851
schulpolit,310.1796126588135
lehrerbild,306.0049999998451
fachschul,303.1924592491022
lehrerausbild,296.5209052515706
weiterbild,294.0635779760221
gymnasi,264.0049999998479
migrationshintergrund,263.33080809744575
bildungsausgab,259.8919914606397
schulform,258.0049999999076
bildungsabschluss,251.03528540790677
schulsystem,246.00499999982156
studium,228.65005958466193
bildungsgang,223.86262193282215
wissenschaftspolit,221.28254626334848
bildungsministerin,220.6996938940338
ingenieurschul,220.3792399465769
wissenschaftsforder,219.6389514530908
lehrerin,216.5748718561157
bildungsministerium,214.4012874980805
elternhaus,206.58616992153173
kleinstaaterei,206.1374876410971
schulbesuch,200.23309288959382
erwachsenenbild,198.6694797256599
schulpflicht,198.33759890386534
oberstuf,189.00499999985269
wissenschaftsrat,188.9572655416729
ausles,188.6055137746673
bundesbildungsministerin,186.82977777875692
bildungserfolg,182.00499999990953
bildungshaushalt,177.00499999982904
absolvent,171.5683389485029
sekundarstuf,171.00499999990566
inklusion,169.7160747238805
beschaftigungssyst,168.9538854446301
hochschulstudium,167.41364017443593
bildungsfrag,166.00499999981753
kmk,165.64631033158898
schulbereich,165.00499999976952
ausbildungsforder,161.8746962520393
bildungsfoderalismus,157.00499999992482
bildungsausschuss,150.3527540603647
kulturho,148.50158297677706
grundausstatt,146.7267692013286
volksschul,143.4381180490978
gleichwert,141.47367596676014
bildungsstandard,140.57584262375414
bildungsminist,136.98995144782782
bildungsmog,135.9337588597628
bildungsetat,134.98968827585222
schulausbild,133.56157607461554
lehrermangel,133.0049999999023
schulerin,130.26621038530632
bildungsforsch,129.97621362730612
studentenforder,126.30097744062135
hochschulwes,125.87846039518998
gebuhrenfrei,125.51290754811664
bildungssektor,119.87362858643804
