,Word Value
ausbildungsplatz,8012.004999999824
berufsausbild,4277.004999999714
auszubild,2297.4319889320955
berufsbild,2132.907505657623
jugendarbeitslos,1985.8827717681868
lehrstell,1549.0049999998098
lehrling,1388.4222964651715
berufsbildungsbericht,1082.0049999999446
ausbildungsstatt,1002.5927683568507
berufsbildungsgesetz,976.6135126950138
berufsschul,956.8504521979812
jugendarbeitsschutzgesetz,702.0049999999259
ausbildungsberuf,681.0049999998662
ausbildungsstell,633.0049999998733
ausbildungsordn,562.004999999892
warteschleif,536.0049999998253
ausbildungspakt,515.004999999889
ausbildungsvertrag,510.00499999992223
ausbildungsmarkt,495.0049999999023
ausbildungssyst,435.0049999997536
jump,427.0049999998825
ausbildungsvergut,425.222928443335
ausbildungsplatzabgab,425.0049999998223
bundesinstitut,411.95010820778725
ausbildungsplatzangebot,409.00499999992735
ausbildungsbetrieb,407.5774063572797
ausbildungsgang,404.129170580985
schulabgang,386.6504049662202
berufserfahr,356.32208371622187
berufswahl,353.61151838020373
ausbildungsjahr,348.9231416662089
weiterbild,345.5253194994567
madch,344.5618507045841
ausbildungsverhaltnis,337.00499999984896
benachteiligtenprogramm,320.00499999990114
jugendarbeitsschutz,311.0049999999123
umlagefinanzier,276.25216269786046
beschaftigungschanc,275.106921797442
ausbildungsmog,273.52442488334674
berufsbildungspolit,259.00499999993025
umlag,256.1953548980205
erstausbild,253.0523509990769
zahlenspiel,246.98557923885187
berufsfeld,244.316878350483
monstrum,235.0049999997419
ausbildungssituation,232.9316698101466
ausbildungskapazitat,225.64669104975187
ausbildungsleist,224.0456208989788
ausbildungschanc,221.37013207914026
fortbildungsmassnahm,217.00499999980022
ausbildungsbereitschaft,213.00499999992832
ausbildungsangebot,211.0049999997875
fachkraftemangel,209.97896950818307
sozialpartn,209.11726434290196
berufsberat,205.33729776583073
ausbildungsplatzsituation,194.0049999998852
frauenberuf,193.00499999986326
finanzierungsregel,190.83558478080138
arbeitsfeld,189.96407899757395
entwicklungstendenz,187.52229229349823
lernort,182.2669003279386
berufsforsch,181.19534433511828
ausbildungsquot,171.0049999999152
azubis,168.87605425155022
gestaltungsfrei,166.92243146685922
kommissionsmitglied,164.8308981855587
berufsanfang,162.99213420273682
einarbeit,160.81748657173767
berufschanc,160.79522401018923
uberbelast,156.00413933381532
ausbildungsbereich,152.41719384738556
lehrzeit,146.85028376029624
handwerksmeist,146.58861913919577
friseur,146.53515836758308
hauptschul,144.5424870945779
zukunftsang,143.6262131237688
ausbildungssystem,142.5634302609599
ausbildungsstellenmarkt,142.0049999999382
ausbildungsplatzforderungsgesetz,141.92617931352507
handwerkskamm,140.68898724278222
lehrstellenangebot,136.00499999994483
ausbildungskost,134.35673316545189
rekordzahl,134.0049999997567
vorwartskomm,132.74891235154985
zwangsabgab,132.1033808891001
stufenausbild,130.00499999995023
hauptausschuss,125.32499709310353
verantwortbar,124.41842505935941
lehrstellenmarkt,122.00499999992964
ausbildungsfah,118.00499999989876
bildungsniveau,116.80751608606951
horrorzahl,116.12683036413303
berufsvorbereit,115.902138898298
ausbildungsplatzumlag,114.00499999991735
lehrjahr,114.00499999985405
ausbildungsabgab,104.96032646153103
ungelernt,104.00499999978585
bewerberinn,103.88553075694439
bugwell,102.86556700866095
berufsbildungssyst,102.07481751050103
