,Word Value
forschungsforder,2326.4038421796995
grundlagenforsch,1831.0024999998584
forschungspolit,1804.0024999998489
forsch,1737.690239750372
forschungseinricht,1390.0066999977983
forschungsergebnis,1011.002499999725
technologiepolit,874.0024999998163
biotechnologi,858.2442268389643
forschungsvorhab,815.2831074758427
forschungsprogramm,805.444824352568
forschungsprojekt,773.7563107138108
bmbf,726.2149149742265
hightech,713.0024999998425
forschungsminist,685.0402969975947
forschungsgemeinschaft,622.7449595160264
forschungsbereich,565.0024999997416
forschungslandschaft,521.8769455181786
mikroelektron,507.2596785446649
projektforder,502.6696393736312
forschungsministerium,489.17759707676043
energieforsch,479.4521320383785
innovationskraft,448.42909460468695
gesundheitsforsch,423.00249999991587
innovationsfah,420.1887111850259
forschungsmittel,417.43781009509684
innovationspolit,414.0024999998434
forschungshaushalt,382.00249999985556
rahmenprogramm,381.2662722534028
forschungsarbeit,377.17033496392446
bmft,360.4890397755394
naturwissenschaft,320.784801727126
forschungsrahmenprogramm,317.0024999999388
hightechstrategi,313.0024999998963
sicherheitsforsch,309.92865531467004
exzellenz,308.37723811184236
spitzentechnologi,303.09615384636595
umweltforsch,293.4414389753989
forschungsausschuss,289.6115715668335
industrieforsch,273.65803072487086
leuchtturm,272.9574520607658
forschungsetat,255.984436669238
forschungsausgab,251.9716397851172
klimaforsch,242.13960570212637
innovationsforder,234.07379075722505
humanisier,216.92275811121297
geisteswissenschaft,213.17985979946263
nobelpreistrag,212.48874254847445
spitzenforsch,202.79617340107222
naturwissenschaftl,198.0141847936962
forschungsorganisation,195.68333115034932
forscherinn,190.00249999989865
technologietransf,189.84754604234678
wissenschaftlerinn,186.10584633654094
technologieforder,182.24523166388767
bundesforschungsminist,170.4495088406654
spitzenleist,168.8752251795708
forschungsministerin,165.00249999983467
forschungsprami,162.00249999995287
zukunftstechnologi,157.2861966947782
forschungsfeld,153.00249999984877
forschungsrat,143.83725302400842
innovationspotenzial,138.9825963358676
innovationsstandort,134.9007516828142
technologieentwickl,133.40073787017923
schwerpunktsetz,128.9140001356383
forschungsaufgab,127.69349183718184
forschungsanstreng,127.02111152291134
spitzenplatz,126.46849620952518
innovationsprozess,124.75728320515869
materialforsch,123.12421004347416
elektrotechn,121.89027552713856
sozialwissenschaft,117.35870808503104
zukunftsminist,116.87203047354248
kommunikationstechnologi,111.71621191514743
forschungsraum,110.57760714926684
umwelttechn,107.94784952530875
riesenhub,107.64640377093657
bundesforschungsbericht,107.00249999994244
physik,105.56819589024877
projektmittel,103.9987601019606
markteinfuhr,95.532565112762
umwelttechnologi,93.13414779119977
heimatdien,87.03720553291639
forschungsgebiet,85.95401260650677
entwicklungsausgab,84.33869942809419
laboratori,83.06780413721724
arbeitsforsch,83.00249999994209
bundesforschungsministerin,81.97782620214643
zukunftsbereich,81.76516314519431
forschungstat,81.74760486115794
forschungsansatz,79.96249568673717
aufbruchstimm,78.66330328618906
kmu,77.92951803915821
kernfusion,77.84666476855602
gesundheitsforschungsprogramm,77.00249999996254
genomforsch,77.00249999988289
eliteuniversitat,77.0024999997709
publikationsorgan,75.59784529937578
stifterverband,73.35119757743392
zukunftsministerium,71.76049799103447
