,Word Value
umweltpolit,5552.508902981514
stoff,5440.1407732902435
kernkraftwerk,3192.340468242194
entsorg,1937.6942152658917
endlag,1553.0074999999488
abfall,1248.8202697054023
endlager,1219.0074999999376
chemikali,992.0074999998641
sicherheitsstandard,987.0571827259419
atommull,851.007499999918
umweltbundesamt,823.2880436292322
brennelement,809.0074999999428
zwischenlag,787.0074999999478
umweltfrag,737.0074999997707
wiederaufarbeit,735.3870823064896
gorleb,724.0074999999432
umweltminist,669.1513693616367
sachzusammenhang,640.9515571855165
umweltbereich,633.9638010386279
umweltschad,608.4829958268161
lager,595.1631380932471
schacht,577.0203462525687
umweltproblem,551.3607449384581
erkund,551.007499999891
castor,480.00749999991456
atomgesetz,472.2459482591681
vergift,448.85785250890933
salzstock,429.0074999999577
gesundheitsschutz,421.1613473015569
bundesumweltminist,396.0997362382754
morsleb,390.007499999969
chemikaliengesetz,377.7564984541763
vorsorgeprinzip,364.981594949857
sicherheitsmassnahm,360.9134382939202
entsorgungskonzept,350.50131701546127
chemieindustri,335.0410555058854
mull,330.42837366252235
sicherheitsvorkehr,308.163669532655
schlussbericht,307.82137509122185
zwischenlager,293.0074999999483
sicherheitsfrag,288.0654196475872
untergrund,278.6456114481845
dioxin,273.87598232931833
chemiepolit,268.0074999999464
dos,266.7743638122881
zeitbomb,264.2894899593231
umweltministerin,256.98269534853745
forschungsreaktor,250.98093549301637
wiederaufbereitungsanlag,250.2220546466438
ruckuberweis,246.7763610666033
produktionsverfahr,246.29473899436962
sicherheitsgrund,234.23294678365107
umweltbelast,223.88770420610186
umweltbewusstsein,223.0957260454453
viertelstund,221.16039222790133
schadstoff,211.86453593046525
umweltschutzpolit,210.29968855340235
abfallstoff,207.00749999986093
kurort,206.77541642272374
umwelttechnologi,201.64945627564867
auswahlverfahr,181.75810228347245
endlagersuch,178.00749999995293
organismus,177.2190582258356
kausalitat,177.18831859438305
bundesumweltministerium,172.27595840108143
bauhaus,172.06084330549103
mantelch,168.91658738300507
allergi,168.80942835130116
realisierbar,164.2491132535743
storfallverordn,164.00749999994235
umweltvorsorg,162.73897756155455
sicherheitsaspekt,154.4611648687236
umwelthaushalt,147.1367479768022
verursacherprinzip,146.67204617457764
atomrecht,145.56011690824423
nationalstift,145.0472037188774
milligramm,143.41294753611527
gefahrstoffverordn,140.00749999992928
umweltprogramm,138.90825340585317
peitsch,134.8733166679867
untermauer,134.84479921433064
gefahrdungspotential,134.52851850523177
entsorgungszentrum,131.0684697194452
bmub,131.0074999998592
entsorgungsfrag,129.27912634894895
sicherheitsniveau,129.0373455152953
bundesumweltministerin,127.27539621725735
castortransport,127.20128759272967
abtransport,126.18694706568039
immissionsschutz,122.96765417279049
produktionsprozess,120.10946303028729
umweltzerstor,119.19882904019028
altstoff,119.00749999994827
ahaus,118.00749999993603
langzeitwirk,116.0671937594479
getrankeverpack,116.00749999989974
mullverbrennungsanlag,115.12561559512459
anderungsverordn,113.66869966797351
vorfestleg,112.00749999985065
nahrstoff,111.43851849788561
