,Word Value
fahrzeug,5518.751157798766
automobilindustri,2566.0024999998127
fahrverbot,1076.0024999999155
diesel,753.7236542968596
grenzwert,560.9256116881934
autoindustri,521.0024999998362
nachrust,512.1811529105225
autos,509.32917640542723
messung,438.0672429362547
pkw,418.58246737356654
mikrogramm,350.4301326256732
automobilherstell,280.00249999986937
krisch,264.7339840462664
dieselfahrzeug,264.0024999999381
verkehrsminist,233.3933920409246
umwelthilf,217.00249999993807
kraftfahrt,208.3647122260094
klamauk,206.96038576215
plakett,206.0024999998679
zulieferindustri,167.58543163385235
pkws,167.36797868738537
scheffel,163.60338877228304
messstell,156.77969449987697
dieselmotor,153.86195608293534
schlusselindustri,143.66133176941563
niederschrift,131.5411215999546
hardwarenachrust,130.0024999999823
abgaswert,128.7526907195499
messwert,126.2167599523384
autoherstell,126.00249999989232
umrust,117.03962585228666
no,110.05999622630473
luftqualitat,101.30152164559385
automobilwirtschaft,101.0083637579411
messstation,98.76946734088976
wertverlust,96.33511176560908
schadstoffausstoss,95.81324738354357
nutzfahrzeug,92.29423759981964
zwickmuhl,91.741201367968
co,90.89904094193191
fahrzeughalt,86.7842305089841
bundesverkehrsminist,85.8402930612315
messverfahr,85.19252079001087
updat,84.68400566276522
staatsversag,83.1244649530602
ruckruf,82.78974098343518
dieselfahr,82.00249999995128
diag,79.00249999991271
verkehrsministerium,73.59162086693328
automobilunternehm,68.00249999979978
stickoxid,67.2601096320577
weggabel,65.9575643534124
adac,63.57479550215731
abschalteinricht,63.002499999976834
testfeld,62.002499999841234
automobilwerk,60.76259340317711
untersuchungskommission,57.03041281042605
ressortverantwort,55.500372529286345
volksweis,54.1812011511937
ottomotor,53.999013453632266
verkehrsregeln,53.6068165734807
innenstadt,52.67305280936184
sudbay,50.94697408741592
umweltministerin,50.60912787490011
dieseltechnologi,50.002499999946046
aussenministerrat,45.591523670247774
mentalitatswandel,44.862850171105286
kba,44.00249999996653
umweltbundesamt,43.17032075401194
mobilitatspolit,42.86671513916862
ausstoss,42.60352281741279
gerauschkuliss,41.85254640248369
elektro,41.591404984756714
kleinwag,41.57568871462466
dieselfahrverbot,40.00249999995686
gesundheitsschutz,39.93144855213262
abgas,38.868152094869956
messergebnis,37.89889857893987
hauptstrass,37.76817886739939
plankommission,36.99426010923295
softwareupdat,35.99624117808572
bundesumweltministerin,34.17672914345681
verkehrsausschuss,33.84215406304974
aufguss,33.38240029527373
durchschnittsverbrauch,33.27551801097146
bundesverkehrsministerium,32.912077107526265
bmvi,31.554315879652883
stickoxidwert,30.00249999997678
typgenehm,29.002499999944156
staatsprogramm,28.88278137661339
strassenseit,28.34954632436992
verbrennungsmotor,27.238637107197874
stoppzeich,26.864252104719636
autofahrerinn,26.8103109127771
abgast,26.002499999903907
dieselgipfel,25.00249999997482
mandatstragerinn,24.94431246661476
staatsintervention,24.756234816513807
wiedergutmachungsberechtigt,23.997423798906265
schadstoffgrenzwert,23.97300150173125
