,Word Value
klimaschutz,10119.014999999788
naturschutz,8537.767839081082
reaktorsich,7126.0149999999685
technikfolgenabschatz,4302.014999999908
emission,4143.014999999779
klimawandel,3051.9193370067856
stadtentwickl,2697.303168763656
emissionshandel,2384.0149999999244
grenzwert,2379.823605029958
co,2327.380189161815
energieeffizienz,2237.366763345534
verbraucherschutz,1840.322598164151
meer,1833.65966286815
fluss,1764.0149999997152
gewass,1751.9393549746544
umlag,1369.6857277332585
tourismus,1364.7087612216799
trinkwass,1334.0149999998707
klimapolit,1302.014999999877
go,1269.7018661070822
schadstoff,1268.8255288872206
klimaschutzziel,1181.0149999998555
umweltministerium,1115.3829575660438
umweltausschuss,1010.1711256611304
gebaudesanier,988.536884700386
grundwass,981.0149999998777
zertifikat,967.094325728611
abwass,950.0149999998732
umweltminist,914.7908688930008
fischerei,913.1050047218516
klimaziel,865.0149999998831
waldsterb,864.9805128090806
pflanzenschutzmittel,863.0149999999528
umweltbelast,831.3358172672623
katalysator,808.0149999998187
ausstoss,764.049958774185
kohlekraftwerk,761.6497938733689
klimaschutzpolit,752.0149999998893
pflanzenschutzmitteln,750.0149999999448
wasserhaushaltsgesetz,748.01499999992
pestizid,692.0149999999257
zusatzpunktlist,685.6238727095707
klaranlag,682.014999999876
regenwald,650.0557566720848
luftreinhalt,646.7840406848164
gewasserschutz,640.0047712938302
abschatz,597.901476304331
verbandsklag,585.0149999998793
verschmutz,583.0149999998193
klimakonferenz,578.0149999998854
treibhausgas,578.01499999986
oko,565.0149999998381
anleit,551.186760598666
kohleausstieg,551.014999999907
verursacherprinzip,528.1638853423759
ordnungsrecht,524.0017738907273
energiew,519.2682394450159
buschhaus,516.0149999999429
reinhalt,502.5276221676298
stickoxid,490.7573903678795
ausgleichszahl,482.3211543224099
abwasserabgabengesetz,482.0149999999341
luftverschmutz,477.5537741224191
marktanreizprogramm,473.0149999998505
treibhausgasemission,472.01499999991313
pflanzenschutz,460.73337507930614
kraftwerk,454.127870229048
klimafond,439.9868462232415
kioto,432.1054755320608
wirkstoff,417.58308285400057
treibhauseffekt,407.8519269371515
zulassungsverfahr,406.003158891604
wasch,403.89937051182727
rahmengesetz,398.76096748036014
themenkomplex,394.0149999997847
erdatmosphar,390.4381855558866
gebaudesanierungsprogramm,385.77110397042173
trinkwasserversorg,379.7175507047987
energieverbrauch,374.28056917134086
klimaschutzgesetz,372.01499999994866
umweltverschmutz,351.3474140279533
warm,344.64397941798234
klimakatastroph,341.1725367069202
tropenwald,341.01499999988323
naturschutzgesetz,339.01499999991665
wasserwerk,337.73165492888063
bundesumweltminist,334.2281830601523
sonntagsarbeit,328.0149999998556
tagesord,322.45640015385027
tempolimit,320.6309343953916
schwellenland,315.5393519794707
naturschutzverband,314.4939136190325
zonenrandforder,314.01499999984173
klimaschutzprogramm,309.91009118119365
bundesumweltministerium,307.4510946949915
gebaudebereich,307.01499999986464
reduktion,305.80620278806094
pflanzenschutzgesetz,305.2393928160248
luftverunrein,301.7420126451635
klimaverander,301.70979034710615
