,Word Value
kernenergi,8599.009999999818
naturschutz,8537.76283908108
reaktorsich,7126.009999999969
technikfolgenabschatz,4302.009999999908
aussteig,4084.7647413800187
kraftwerk,3289.8971297707267
energieversorg,3166.6618752431636
atomkraftwerk,2801.0099999999084
atomenergi,2731.009999999853
stadtentwickl,2697.2981687636557
genehmigungsverfahr,2403.0099999998088
kernkraftwerk,2025.6770317576704
verbraucherschutz,1840.317598164151
reaktor,1651.009999999887
energieeinspar,1502.2191756403606
tourismus,1364.7037612216798
atomkraft,1355.0099999998845
go,1269.696866107082
brut,1121.0099999999243
energiequell,1023.5016499151735
atomgesetz,940.8641273804365
atomausstieg,928.605070489841
kohlekraftwerk,916.375206126453
energieverbrauch,863.1448931712565
energietrag,756.360338766261
kernkraft,745.0099999998306
plutonium,723.0099999999139
uran,722.3101047678025
inbetriebnahm,722.3031393787369
zusatzpunktlist,685.6188727095706
storfall,679.4283102185769
energieerzeug,665.9295525514182
laufzeitverlanger,659.0099999999248
genehmigungsbehord,632.6005875325384
stromerzeug,593.9336066146246
abschatz,566.1466015164933
brennstoff,559.1127525775187
wiederaufarbeitungsanlag,519.0099999999128
energiebedarf,500.26067385617193
wirkungsgrad,485.5153520370137
energieverwend,482.98191401463197
abschalt,473.00999999978944
hochtemperaturreaktor,472.0099999999351
strahlung,457.2016936620172
akw,457.0099999999464
atom,438.64269765130035
strahlenbelast,422.00999999991456
energiemix,416.5102338182399
weltraumforsch,415.0099999998187
strahlenschutz,389.3866973626106
kernbrennstoff,374.0099999999002
megawatt,354.2973244639149
atomstrom,349.0099999998006
energiespar,343.4590032099588
energieforsch,333.56036796145264
wasserkraft,328.97353538150855
atomwirtschaft,325.75440338003256
strom,323.8698028918398
tagesord,322.4514001538503
solarenergi,321.8369330332029
sicherheitsanforder,319.92821182244455
energienutz,315.83494857576073
atomindustri,313.7052496217666
sonnenenergi,300.0099999998488
restrisiko,299.9581757557042
verteidigungsausschuss,299.26986690037387
erdbeb,291.4336431007943
nachfolgerin,290.7712131133409
gau,289.453788541139
wiederaufbereit,285.39613139986045
atomanlag,274.00999999989455
ausstieg,273.98175068878874
strahl,272.03462294194316
snr,271.0099999999798
markteinfuhr,269.4463144199639
radioaktivitat,267.6685001647781
ausschussuberweis,260.915335424602
atompolit,258.2349058765927
kerntechn,253.48877462856672
geschaftsbericht,247.78298196820336
energieform,247.00999999984944
energiesektor,246.31175437497333
prototyp,244.67784694299175
biomass,235.47291827393525
energiegewinn,233.62483096468856
branntwein,232.24270531770742
bundesmonopolverwalt,231.00999999996327
atomlobby,230.0099999998951
physik,228.722448651322
reaktorsicherheitskommission,228.00999999984458
branntweinmonopol,221.1177299884506
stromversorg,220.2787763976115
strahlenschutzkommission,219.00999999987474
gaskraftwerk,215.1105168015838
zeithorizont,213.26850136849913
kernfusion,212.32580582850875
umweltminist,207.8875166337747
fukushima,207.5300038702007
entwicklungsarbeit,207.390462789067
leichtwasserreaktor,203.0099999999532
