,Word Value
ol,2511.107751187755
gas,2311.94974047841
lit,1873.371132451823
benzin,1708.2600951244706
erdgas,1131.9575188527124
tankstell,973.0049999999018
erdol,898.0049999998056
bergrecht,467.0049999999218
pipelin,460.3247022373393
fracking,427.0049999999563
benzinpreis,424.3680464888816
gesetzesbeschluss,396.0049999998376
spielzeug,375.9112355868669
elektrizitat,354.5666995559263
dieselkraftstoff,347.01234536817765
verhandlungsrund,312.56234084481036
kraftstoff,286.56809534812845
anrufungsbegehr,285.0049999999401
mineralolwirtschaft,280.9556018927604
asb,273.1309609602864
endverbrauch,261.9356492190445
diesel,238.28384570299056
kubikmet,228.21384842979285
vorkomm,228.16073345667564
anreizregulier,223.00499999991203
sprit,180.92564448003253
lagerstatt,180.06264852947157
mineralolkonzern,177.43318638486102
heruntergegang,169.6404325907071
kabinettsausschuss,163.11730771165344
flussig,160.17611498166613
mineralolgesellschaft,159.26073544006664
low,153.7303467229759
telefonwerb,147.9222404443843
familiennam,147.4222075172191
pvc,143.00499999994196
einigungsvorschlag,139.00499999989015
energiesich,135.72475627018468
mineralolindustri,133.1068800571277
gasversorg,132.00499999988415
ehenam,130.0049999999591
diversifizier,128.76134016957616
geschaftsprakt,126.52439397933921
inkasso,125.99433028623959
verrechtlich,123.57437210622692
erdgasforder,121.00499999997484
sparkommissar,119.83580883413664
reprasentantenhaus,118.19186530001937
namensrecht,115.52988608521723
siedlungspolit,113.7382190373924
aufsuch,109.80665665439355
telefonanruf,105.8870346025012
versorgungssich,105.40821014250818
reguli,105.03424395652259
bohrung,101.95546618705255
geschaftsbezieh,99.56041547973237
inkassounternehm,96.13374397668083
innenraum,94.84871267820398
serviceleist,92.57423883470152
mineralolsteuergesetz,90.73937300892942
forderland,87.00499999986832
bekanntenkreis,86.33730934773118
vergaserkraftstoff,85.00499999992952
aufsichtsratssitz,84.88802085645597
erzwing,80.79362365941736
koalitionskompromiss,80.51508638997036
mineralolpreis,80.26901195855201
geburtsnam,76.85292161632043
preisaufsicht,75.45614211597533
tauchstation,73.63072611375252
superbenzin,73.0049999999697
paukenschlag,72.6005379693937
chlorchemi,70.88277953988246
netzbetrieb,69.0049999998855
kompetenzfrag,68.15425887958457
zapfsaul,68.00499999985065
breitenkultur,67.00499999995883
rohstoffquell,66.28140050951288
gasnetz,66.0049999998979
bundesberggesetz,65.26283234015587
nukleart,64.00499999986687
namensander,62.62979056614014
substitution,61.38261904151596
teilgenehm,60.907218428616765
importabhang,60.68271647472974
energielieferant,60.00499999980118
weichmach,60.00220896924875
vertu,59.97263979995804
spreizung,59.928915074083015
unterhaltungswert,59.004999999759995
pilotfunktion,58.74629015864149
gestein,57.00499999989557
erdolpreis,56.38699085599857
werbeanruf,55.00499999996567
ankundigungsministerin,55.00499999976881
mittelklass,53.8047902639258
teststoppvertrag,53.16489917550806
teststopps,53.00499999982812
doppelnam,53.00315235686108
mehrwertsteueraufkomm,52.84755746664735
