,Word Value
landwirt,11454.017499999762
agrarpolit,8579.017499999814
tier,6634.017499999869
wald,6432.017499999849
lebensmittel,3764.017499999856
milch,3412.0174999997485
tierschutz,3035.017499999939
hektar,2427.0174999998176
getreid,2155.0174999998612
lebensmitteln,2032.3699096602536
kennzeichn,1998.017499999804
rechnungshof,1855.0174999998512
ha,1779.4970790622328
agrarbericht,1667.0174999999151
bauernverband,1640.017499999785
forstwirtschaft,1580.0174999997623
wirtschaftsjahr,1577.1283415999494
einfahr,1500.6178030619612
tierhalt,1464.0174999999035
hof,1412.078692391155
familienbetrieb,1386.6018635475461
agrarstruktur,1380.3395415872344
marktordn,1312.8696012784285
tierversuch,1291.017499999948
kuh,1269.2169514688017
zuck,1231.0174999998126
altershilf,1197.017499999907
nahrungsmittel,1186.1592421040882
landwirtschaftsminist,1171.1381076328282
ernahrungsausschuss,1162.0174999998671
bauerinn,1153.0174999998694
ernt,1125.799207858344
alterssicher,988.8119896479528
has,941.0174999997569
tierschutzgesetz,900.0174999999574
agrarmarkt,899.3614742736902
kustenschutz,876.4334903403794
landwirtschaftsgesetz,840.672377951848
antibiotika,751.0174999999132
preispolit,740.1277582141422
kiechl,733.6008848934044
vorratsstell,726.0174999999576
weiz,681.3717741103627
flurberein,661.7882038422008
stall,653.0174999998188
disparitat,607.2438993067647
ack,603.3474366833251
ernahrungswirtschaft,600.2489837645442
agrarreform,597.0174999998004
alterskass,582.0174999999651
agrar,581.8850539541663
landwirtschaftspolit,579.360211113042
biodiversitat,571.9432716508791
grenzausgleich,563.7563668999102
altersgeld,544.0174999999442
agrarhaushalt,538.5453536124027
agrarwirtschaft,535.4203745200156
medizinprodukt,532.35353678982
molkerei,531.9563360157122
futtermittel,524.5500235237428
artenvielfalt,515.7620747387103
untersuchungsergebnis,499.837471441967
landbau,495.7382073491934
waldbesitz,495.017499999952
parlamentsreform,486.38988593922164
agrarbereich,481.9238196959511
erzeugnis,476.18020076062146
kennzeichnungspflicht,467.0174999998835
kulturlandschaft,455.6819668341307
massentierhalt,454.01749999983076
milcherzeug,453.0174999999142
jagd,449.8742326278262
vollerwerbsbetrieb,447.01749999994763
agrarsozialpolit,447.0174999998672
milchpreis,441.64110667850713
agrarpreis,438.77217467901517
flachenstilleg,438.01749999991284
fett,426.0174999998061
uberproduktion,425.2983457763258
direktzahl,422.2630459969843
betriebsgross,417.7146979345764
futtermitteln,411.01749999982843
erzeugerpreis,406.8489416799449
einkommenssituation,399.7052577556044
milchwirtschaft,394.01749999981587
lebensmittelrecht,388.01749999985714
ausgleichszahl,387.3799448494482
vorsteuerpauschal,381.5089887579978
labor,380.06507763717354
einkommensentwickl,378.39737006432705
erganzungsgesetz,378.3615170185336
nahrungsmitteln,376.6752601844272
agrarprodukt,373.1899799099271
okolandbau,371.9502051291527
nebenerwerbsbetrieb,371.0174999999406
rogg,365.0174999999542
nutzflach,362.3053184973
interventionspreis,362.1777583213231
zinsverbill,349.830749897242
raubbau,347.7159914585361
