,Word Value
elektromobilitat,1093.004999999933
wasserstoff,733.0049999999026
kraftstoff,713.4076655803469
duldung,578.6289377844219
bonus,546.9147201159914
zukunftsprogramm,443.0049999998414
batteri,361.4443498465395
bleiberechtsregel,335.0049999999504
elektrofahrzeug,332.0049999999495
antrieb,330.00499999983913
elektroautos,305.00499999994906
fraktionsfuhr,288.0049999998394
lot,282.00499999976415
aufenthaltserlaubnis,273.6292486306538
verbrennungsmotor,268.7688628927165
aufenthaltsgesetz,226.00878718512502
bleiberecht,210.4441281002404
modellregion,190.417217335176
mag,189.4093726465532
haushaltssanier,175.4430746015124
herbstgutacht,166.0592823750442
ausrustungsinvestition,165.38814860925166
lichkeit,156.00499999968625
technologieoff,154.38295067492402
brei,153.66415373118528
herkulesaufgab,153.0049999997967
kettenduld,144.0049999999554
unterbewert,143.09249187333077
darm,139.7668884920757
weltmarktfuhr,138.0049999998161
weltmassstab,136.70534585868128
einzelvorschrift,134.71024958223506
konsolidierungsbeitrag,134.00499999978265
haushaltssanierungsgesetz,129.00499999991234
automobilbranch,127.00499999984274
aufruhr,126.4949860549269
magnetschwebebahn,126.00499999985279
ehrenvorsitz,123.00499999984133
sektion,122.36663763423451
uberbewert,121.05504272224903
industrieverband,118.27456652723542
taxi,114.98914760918423
zukunftskonzept,114.49063379276154
leitmarkt,113.89688965042815
elektroauto,113.00499999993751
okosteuerreform,112.80236144328197
wasserstoffstrategi,111.00499999992338
automobilbau,109.96186411214013
pflegekind,109.70314265272246
asylbewerberinn,109.60206293938593
carsharing,109.00499999995664
altfallregel,107.61938273353171
sanierungsbedarf,107.00499999982993
brennstoffzell,104.85853039594477
fachkommission,104.77449098515561
malus,104.00499999986164
unwort,102.99915813422017
teilwertabschreib,101.99148814109819
ladeinfrastruktur,101.00499999996835
basf,100.55026361273838
foli,91.00499999986995
traumerei,90.84255932948403
performanc,87.00499999983782
gesetzestechn,84.54164922380426
produktionsmethod,83.9823020943205
weitermach,82.96546339632815
kaufprami,82.22658331631496
konsolidierungskonzept,80.01698077656096
antriebstechnologi,80.00499999991149
geisterfahr,78.95868440428788
doppelbod,77.89022724298408
wertminder,76.71916712642759
schutzpatron,74.73125041128245
taxis,73.9528593517176
steuerentlastungsgesetz,73.52387106346232
verdienstgrenz,72.00499999985072
kooperationsvereinbar,72.0049999998404
fahrzeugbau,71.957942228141
leitkultur,71.7396870087323
anheiz,71.52738329436441
integrationsmassnahm,70.21334925099961
pflegeelt,69.2048982233149
wahrungsparitat,69.00499999979756
kompromissangebot,69.00499999978597
autobau,68.208084753214
arbeitsmarktzugang,67.34001013561604
rettungsaktion,66.30638396981274
realzins,65.3532027600307
familienforderungsgesetz,64.4641428624306
tesla,63.00499999993945
verbrenn,62.045994613970265
schwankungsbreit,61.67286683670899
lokalzeit,61.67098966361547
beschwerderecht,61.32559798486181
wasserhahn,60.920902597857435
beziehungsgeflecht,58.004999999791224
oppositionsentwurf,57.573951144921146
koordinierungsaufgab,55.538118045417214
firmenzusammenbruch,55.11930531029171
argusaug,55.004999999797484
