,Word Value
autobahn,4337.012499999846
auto,3907.0124999997956
km,3482.2968437213963
strassenbau,3420.0124999998234
strassenverkehr,3096.5916360144906
maut,2721.012499999945
lkw,2595.9527388850693
autos,2446.9195382091607
pkw,2245.4325326262065
bundesstrass,2073.012499999931
autofahr,1859.01249999978
personennahverkehr,1657.6031255700696
verkehrssich,1648.012499999885
verkehrsinfrastruktur,1330.2043849249635
opnv,1306.0124999999005
bundesfernstrass,1204.012499999845
wag,1104.6094865269752
zweckbind,1074.565181921145
verkehrspolit,1070.3114219672043
bundesautobahn,922.0124999999198
bundesverkehrsministerium,870.130227363158
verkehrsteilnehm,856.0124999998977
verkehrsmittel,843.1326501712372
fahrrad,809.6050371747671
unfall,790.6679148415881
bedarfsplan,723.0599139744864
siedlung,714.7139922818975
bus,687.4489375194138
strassennetz,678.6572511287418
kraftfahr,673.0124999998661
verkehrsausschuss,645.2694377985048
verkehrsunfall,637.5636334897165
bundesverkehrsminist,636.5235555107615
fuhrerschein,621.0124999998849
stau,597.3034302102167
verkehrsminist,590.5532409208706
landstrass,512.0124999998441
ortsumgeh,507.0193085121417
nahverkehr,504.53667863154544
individualverkehr,478.26058213492723
lkws,472.0124999998549
mineralolsteu,465.0289954679448
vierjahresplan,437.01249999991865
verkehrstot,434.01249999991137
radfahr,434.01249999984736
verkehrsverhaltnis,432.9003272185647
ausbauplan,427.48289721831947
verkehrshaushalt,418.7784744320376
vorfinanzier,372.9065280270529
fussgang,370.48778094448096
fahrzeug,365.2638422010542
strassenbaus,349.0821830402383
fahrerlaubnis,348.0124999999468
ortsdurchfahrt,344.012499999937
bundesfernstrassenbau,335.0124999998795
umsteig,333.03509838648927
automobil,328.67846234740495
umgehungsstrass,324.90434208850064
strassenverkehrsgesetz,319.90491597540193
radweg,308.01249999988215
verkehrsproblem,301.90038843485667
entzieh,294.173022904234
finanzierungsluck,294.1115581367481
strassenverkehrsordn,287.96713648971684
autoverkehr,285.01249999986123
hochstgeschwind,284.0124999998986
gemeindeverkehrsfinanzierungsgesetz,280.802876001277
radverkehr,272.9271996981848
kraftfahrzeug,270.3321263788582
staus,269.70541112818483
verkehrsmitteln,266.50879237045615
strassenbahn,265.5879753783788
verkehrsfinanzgesetz,255.6129815811686
weiterbau,254.08006041640928
abgabepflicht,253.7110548214381
instandsetz,252.32321131573596
sockelbetrag,249.40857336016745
nutzerfinanzier,246.0124999999746
motorisier,240.19783848122637
transportgewerb,239.01249999984492
fahrbahn,235.01249999989219
verkehrsweg,234.6961202741444
fernstrass,234.01249999985325
kraftverkehr,231.9561018480482
mauteinnahm,230.01249999994954
vignett,226.01249999993425
grossversuch,217.28728302207833
motorrad,216.00394947213354
verkehrsw,212.842762128664
strassenbaufinanzierungsgesetz,211.01249999995017
spediteur,208.84911220632972
strassenbauverwalt,205.01249999993263
ballungsraum,205.00461789505977
dringlichkeitsstuf,194.80519970954285
strassenbauplan,194.01249999991862
bundesfernstrassengesetz,193.45637334573982
soforthilfeabgab,192.0124999998558
mehraufkomm,187.06003083321238
zweckentfremd,186.01444602532823
strassenwes,186.01249999987428
