,Word Value
luftverkehr,1843.2690474314268
flugsicher,1243.0024999999446
flug,1076.002499999866
flughaf,1047.7071007878349
flugverkehr,820.6980600537123
luftraum,689.0024999999059
passagi,495.23859591550115
fluggesellschaft,430.459646079678
einfuhrungsgesetz,295.2940115341357
bundesschatzminist,292.26274087051974
luftfahrt,287.7377241841605
kommissionsbericht,252.74607529898506
luftverkehrsgesetz,225.0024999999302
fluglots,209.00249999992732
selbsttot,204.0024999999196
abschlagszahl,174.02639531388505
singl,170.85909117325454
pflichtverletz,146.32059546979687
flugbeweg,141.0024999999623
luftfahrzeug,140.62901119732962
flugplatz,140.12116480174365
flugsich,139.9544881029349
einsam,139.50656254628146
zolltarifgesetz,135.63794325929015
pilot,115.5306338993027
eurocontrol,101.00249999997229
kerosin,100.00249999987196
verkehrsausschuss,99.20314830818273
luftsich,98.7348463189209
bundesverkehrsminist,94.79830720320005
marktwert,91.32435738531406
flugbetrieb,89.92968901765586
staatshaft,88.59484606532648
zollfreiheit,87.69790344049517
tiergart,79.83620612775256
kapitalprivatisier,79.00249999992924
verbeamt,78.55174315882614
flugsicherungsorganisation,77.00249999999005
kreisverwalt,76.88907800812437
schnauz,76.40842953589608
flughoh,71.99265386814473
landung,71.10833924052876
zensor,66.00249999974443
verkehrsminist,65.94474044249353
staatshaftungsrecht,61.99622038633052
luftverkehrsverwalt,60.00249999997575
suizidbeihilf,58.00249999993129
zollbegunst,57.97444863835789
mindesthoh,57.03090971017018
beleih,55.72090900480193
kaprizi,54.72776273595776
regionalflughaf,52.00249999993235
steuerverschwend,51.00249999980073
sterbehilfeverein,50.0024999999377
flieg,48.365350806061315
flugverbind,48.00249999986884
entscheidungsho,47.995716450917364
transparency,44.964466447590915
erwartungsdruck,44.813663528148545
colleg,44.44813613813434
suizidpravention,44.00249999993469
kontrollverlust,43.877061673668486
uberbeleg,43.806383938409994
kleinkram,43.53910102270068
kasperletheat,41.86189619088506
stick,39.862737112501314
naturfreund,39.346578617769225
berufsethos,38.90377949820664
kostenuberschreit,37.95089614996205
oberstadtdirektor,36.55688914635775
basisdat,36.45871090526608
bundesaufsichtsamt,36.10269617857561
feindlich,35.811275964169994
anerkennenswert,35.44936053151745
luftraumblock,34.00249999997565
strafgeld,33.93167492356774
rigorositat,33.85027274735399
parteiverbotsverfahr,33.00249999990725
mitgliedsunternehm,32.00930611238673
rechnungsstell,31.870355244079466
lastenausgleichsrecht,31.619957741950643
amterpatronag,30.58731011967966
zeitkorridor,30.46406720059132
luftverkehrspolit,30.07960507204248
flugzeugbesatz,30.002499999882026
falschpark,30.002499999764293
ifr,29.85722571699173
strafrechtsprofessor,29.606024739556823
pflegerin,29.128919671265823
flugverkehrskontroll,29.002499999960943
luftfahrzeugfuhr,29.002499999945936
aquitain,27.96771832291925
schriftgut,27.908433734289748
trinkwasserrichtlini,27.00249999979115
krisenhaft,26.843002860463315
radarschirm,26.49776946494531
zollander,26.199844841733068
staatshaftungsgesetz,26.002499999908803
livestream,25.449405064265395
konnotation,25.259173485707258
