,Word Value
bahn,15358.004999999821
bundesbahn,14103.00499999977
schien,5539.004999999786
verkehrspolit,4202.706078032491
eisenbahn,3411.0049999997177
verkehrstrag,2942.8054116638295
bundesverkehrswegeplan,1888.0049999998782
verkehrsminist,1818.4023408764447
guterverkehr,1804.5160089627395
verkehrsausschuss,1577.207889584041
bundesverkehrsminist,1490.1246381164738
bahnhof,1487.5030349045753
binnenschiffahrt,980.7669116039253
bahnreform,904.9436622642446
schienenverkehr,880.9482058568158
verkehrsweg,855.8506206667015
personenverkehr,851.4308590064818
schienennetz,805.0049999998869
verkehrsprojekt,746.0049999997984
fahrgast,652.3753204278755
schienenweg,573.8239660075708
verkehrsbereich,566.4069858164454
fernverkehr,538.5199488612487
bundesbahngesetz,525.8242821515769
verkehrsinfrastruktur,525.8131150748095
ag,499.79056386915187
werkfernverkehr,478.00499999995066
guterfernverkehr,472.9851671069902
tarif,456.63943201619344
verkehrsunternehm,421.3388711165424
wasserstrass,421.0033422599203
verkehrswirtschaft,412.897085184458
nahverkehr,406.8264217039635
bundesverkehrsministerium,403.9776955290914
investitionsmittel,401.4853035514845
verkehrshaushalt,389.90449005590557
finanzierungsvereinbar,389.0049999999036
verkehrsmittel,350.2933239791528
verkehrswes,350.10280820709266
werkverkehr,349.00499999995174
verkehrsaufkomm,345.32307161144973
neubaustreck,344.09040596349024
beforderungsteu,343.94397399029106
verkehrsministerium,325.75278432243596
bahnstreck,312.08856185235425
verkehrsnetz,311.0670308084536
verkehrsleist,308.04101597176583
verkehrssystem,295.91897217310475
verkehrsmarkt,272.0049999998629
fahrweg,271.0049999998853
lastwag,266.68872507444974
bundesbahndirektion,265.00060904125445
hauptverwalt,261.440349676304
personenbeforderungsgesetz,254.3800389352871
fahrpreis,249.0229049889655
bahnpolit,246.00499999994096
berufsverkehr,242.986954268814
trassenpreis,241.00499999992107
verkehrsbedien,236.00499999992516
verkehrssyst,228.44816456325438
guterkraftverkehrsgesetz,226.64966180690098
logist,223.40578775203446
schienenstreck,214.00305669509976
ice,209.06021459697013
verkehrsinvestition,207.85589465404212
streckenstilleg,205.00499999989162
verkehrswegeplan,203.21943599393052
omnibuss,200.64525784793955
tariferhoh,199.19886586093904
schienenguterverkehr,196.0049999999368
hauptbahnhof,195.32849905197688
verkehrsfinanzgesetz,191.4045184187386
strassenguterverkehr,185.45313063297908
guterkraftverkehr,178.51482552712991
personennahverkehr,176.41437442972392
eisenbahnstreck,176.05942795169756
eisenbahnverkehr,172.64547754878774
ausbaumassnahm,172.45473520473382
wasserweg,167.96269884757774
bahnverkehr,167.8897901770426
strassenverkehr,165.42586398532927
streckennetz,164.687095595913
luckenschluss,162.95187467349672
schienenpersonennahverkehr,162.18058141100553
bahnvorstand,160.00499999994233
verwaltungsrat,159.5222083829952
wegekost,159.12591598029542
planungsbeschleun,157.26740656458335
waggon,157.2261845224216
schienenprojekt,157.00499999993409
omnibus,155.63085938734434
gvfg,155.00499999986258
bahnchef,154.00499999990663
tonnenkilomet,153.0432515061649
verkehrssektor,152.8558866726578
infrastrukturpolit,151.93611160462314
fahrzeit,148.09461802121817
gutertransport,148.03555209351472
verkehrsetat,146.99138845590085
binnenschifffahrt,146.7952148808134
