,Word Value
schiff,5365.007499999813
haf,2297.007499999864
kust,2227.9981877406863
see,2039.4184073744227
bord,1514.3281383869721
flagg,1224.0074999998008
reed,974.0074999999525
marin,892.7486146785272
pirateri,802.0074999999489
seeschiffahrt,795.9309888620069
mittelme,778.0074999998785
golf,758.0375309894523
inseln,603.1021742234803
seeleut,597.001535407747
schiffahrt,583.9446660396387
pirat,516.0074999999521
meer,491.3628371316177
kustenland,487.8888696450712
seehaf,486.0193016809618
zeichnung,464.0074999998776
kapitan,448.00749999987835
mittelmeerraum,422.9892969050609
reederei,388.0074999999267
koordinator,374.93841066357146
schlepp,370.6857687564955
schifffahrt,360.07029827589133
fregatt,349.72557727134136
besatz,327.89874119069594
seenotrett,320.00749999994497
seeweg,319.00749999989824
kustenwach,315.00749999994963
seerechtskonferenz,312.0074999999579
handelsflott,309.20932969963263
fahrwass,301.5474838911418
welternahrungsprogramm,292.4690755937144
fug,290.0074999997583
seeschifffahrt,288.1550339241787
flott,282.5504977491022
anrainerstaat,272.71210401202904
seeverkehr,259.19786336912887
unterred,259.03333304771496
putin,248.2082398862244
beleucht,247.9309050487556
fursprech,240.40254101710082
fracht,236.75426443970153
handelsschiff,227.00749999985996
ladung,226.82714501618244
kriegsschiff,223.0258745389024
havari,222.00749999991285
bundesmarin,219.6725824480373
schiffbruch,212.4535407964315
finanzbeitrag,205.63153733802505
charakterisier,204.85184154543734
strand,193.79724627629298
ozean,193.4374838474256
standortpolit,190.8287516833269
hamburg,189.9871778756917
schiffsverkehr,188.18962550457414
pallas,186.00749999997004
holstein,185.61420219652774
ausflagg,181.0365780615038
schwarzmal,180.00749999975153
halbinsel,179.9570700195167
existenzfrag,178.43165878220066
rout,169.4419784835343
seegebiet,166.00749999994042
kustenschutz,161.32201390098007
atalanta,160.78903304614028
seenot,158.0074999999415
festland,153.5878837298507
kommandant,153.467326504079
nordseekust,148.54279800733894
beilag,144.41961607089476
seeschiff,143.6819789145933
handelsweg,141.94991957424054
geleitzug,140.34198233750206
seemeil,139.00749999991822
seerechtsubereinkomm,136.17945116348093
neuverhandl,134.76403214900074
parlamentsgeschicht,131.9127733142488
seerecht,120.929834254947
verhandlungsdelegation,118.0189981870111
sondergericht,118.00749999987389
tiefseebergbau,116.0074999999805
mannschaft,113.89951711251595
transportweg,113.29343312199435
meeresbod,113.00749999990117
sturmflut,110.98687159046845
hauswirtschaft,110.9320136970615
gesprachskreis,110.83340775420008
seerechtskonvention,110.00749999997487
schiffssich,110.00749999992316
hineingehor,109.98299960052489
marschricht,108.97133240597337
seefahrt,108.0074999998736
konstant,107.18238116661102
besatzungsmitglied,106.00749999989783
seemannsgesetz,105.90467286043175
seearbeitsubereinkomm,103.00749999997826
milchpolit,103.00749999984605
