,Word Value
bundesgrenzschutz,2223.002499999915
grenzschutz,552.0024999999011
griech,433.9710929506887
bereitschaftspolizei,431.0024999999055
bmwi,374.002499999859
ministerprasidentin,294.0024999997955
wismut,253.00249999993213
landerpolizei,251.11102373339017
sicherheitskonzept,239.08206819169126
polizeivollzugsbeamt,202.00249999991675
kad,178.09277065162337
formation,175.3417667340583
bundesparlament,156.74824264402545
bundesgrenzschutzgesetz,153.00249999992954
pensionsfond,152.43095057027512
landespolizei,148.57075854536183
grenzpolizei,143.94318173333238
gesellschaftsvertrag,116.95919791304873
regionalplan,104.6101093529954
grenzschutzbeamt,103.00249999993524
wertefundament,97.98385185719025
kosteneffizienz,86.44551024571733
polizeitrupp,81.86093217126704
sanierungsarbeit,77.95118945817788
frauenerwerbsquot,75.00249999981142
zehnpunkteprogramm,74.51086311916806
wasserschutzpolizei,71.96016795789369
passkontrolldien,71.72014152600552
politikgestalt,71.00249999978509
hundertschaft,70.83545703148897
wohnbebau,69.95622026323512
grenzsicher,69.75790828701096
kampfinstrument,68.80987649152645
hubertus,68.00249999980102
opportunist,64.12982885950827
erfolgsprojekt,63.00249999983396
regierungskonstellation,63.002499999808386
einzeldien,60.00249999995605
abgeordnetenbezug,60.002499999921376
polizeiein,56.950883451437456
grenzbevolker,54.07798746635644
sanktnimmerlein,53.975004016736456
sicherheitskonzeption,52.82202172201773
projektmanagement,51.31710340088799
gard,50.925151083262236
unilateralismus,49.760099998458806
handbrems,49.47322835063626
stammtischparol,47.075542103046914
schuldenunion,46.00249999980041
bundesfinanzier,44.87956122970304
privatverbrauch,44.24001315217894
hubschraub,43.862799055403016
quantum,43.59678124369931
personalstrukturgesetz,43.166221727573955
sicherheitslag,41.71310367462649
borsenpreis,41.002499999840964
teilleist,41.00249999983573
reaktionsmog,40.467200359342364
einsatzabteil,40.00249999997285
passnachschau,39.00249999996489
polizeiaufgab,38.32792238365511
organleih,38.002499999893026
kaffeesatz,38.00249999979365
erdbod,37.45941495116698
nabeg,37.002499999896216
verkaufsprospekt,37.00249999985932
oceanic,36.00249999996362
bundesbedarfsplangesetz,36.002499999926684
finanzanlagenvermittl,36.002499999915564
kirchenvertret,35.93516812356821
polizeiho,35.559074584301314
sicherheitsverbund,34.96050876474032
grenzzwischenfall,34.41197156753231
differenzkost,34.00249999987058
polizeivollzugsdien,33.483240467258696
konditor,32.002499999869116
ruckverlager,31.80942480359493
versicherungsvermittl,30.56820481364168
verwaltungsabkomm,30.46668380458495
regulierungspolit,30.19284684314374
diatenfrag,28.99146572775883
sicherungsaufgab,28.595679956920353
verbandscharakt,28.002499999967213
wiederauffull,28.00249999993911
amrum,27.796363207193835
bundesexekutiv,27.778227943608076
teilungsgenehm,27.00249999989212
absprung,26.709006997712304
branchenvertret,25.97416607937932
biomasseanlag,25.79240354104709
einsatzfreud,25.022880760277054
neuwerk,25.002499999941612
cyberattack,24.662853100427714
verketz,24.400593687651906
sicherheitspotential,23.855744433403284
illusionar,23.823027910620578
verpackungsabgab,23.792436755409685
einsatzbereitschaft,23.569687693553334
demarkationslini,23.410955886369372
personalstruktur,23.18726282878463
