,Word Value
drog,2331.0024999999214
alkohol,1371.6704520628466
drogenpolit,634.0024999999611
therapi,422.91748802902976
drogenabhang,364.00249999994895
heroin,349.0024999999737
betaubungsmittelgesetz,327.0024999999111
kriminalitat,315.19066487632176
drogenhandel,314.15113437060916
rauschgift,251.61621441921636
aufklarungskampagn,241.79060406104034
abstinenz,227.41453517131202
verelend,217.72341880702368
drogenkonsum,217.00249999995225
drogenmissbrauch,195.99097188593805
verfassungsbestimm,180.54444428803313
wohnungseinbruch,173.00249999987722
rausch,167.211556644498
rauschgiftkriminalitat,165.3294462005236
therapieplatz,159.0024999999592
drogenkriminalitat,157.63104501842489
behandeln,151.4267314370301
entkriminalisier,150.37953900728328
verfassungsdebatt,146.71184061697258
haschisch,143.00249999997308
drogensucht,141.00249999991945
drogentot,140.00249999996797
evaluierungsbericht,138.97880307710918
methadon,134.0024999999815
beschaffungskriminalitat,128.00249999995285
rauschgifthandel,127.19928843886103
betaubungsmittelrecht,125.00249999991892
drogenbeauftragt,120.95118573079772
praventionsarbeit,117.94118814608137
legalisier,115.89871606693411
rauschmittel,112.00249999998124
vermogensstraf,100.6726881568528
alkoholismus,99.99125442304454
drogensz,99.00249999994851
erfolgserlebnis,97.82616048170591
drogenbekampf,95.47927907579334
kokain,95.00249999995893
advent,94.88417687970646
suchtkrank,92.89881928669053
drogenmafia,89.5223299292431
polizei,89.45864935245581
kindesalt,85.81762351568129
verfahrensschritt,82.59454853739798
drogenprobl,82.00249999995029
betaubungsmitteln,81.6852856325714
haftungsfond,76.00249999981129
taterinn,75.00249999980065
nikotin,66.56497813258329
fotografi,66.34000940181139
marihuana,64.0024999999758
rauschgiftbekampfungsplan,61.00249999997173
parlamentskolleg,60.00249999972943
substitution,58.723303881151715
tolerier,57.98681885563095
drogenberat,57.002499999877045
drogenproblem,56.00249999991965
gratuli,53.71604189057447
fettsteu,53.67754708432935
rauschgiftbekampf,53.0024999998424
bewahrungszeit,52.78702173424262
wohlstandsgesellschaft,51.75201340856904
anbau,49.98040435537173
diskussionslag,49.980382891403174
bezugsrecht,48.87727779632503
nacheil,48.002499999851096
handl,47.28909273983284
drogenberatungsstell,47.00249999996231
rauschgifthandl,47.002499999935864
jobvermittl,46.8293862744642
desorientier,46.82462324988263
rauschgiftdelikt,45.03234256145053
rauschmitteln,43.00249999995482
wasserglas,42.78184609705304
mafia,42.010482139800956
erstkonsument,42.00249999997861
bewahrungsstraf,41.969364880874835
langzeitfolg,41.448510050310276
aushalt,37.66431002355993
bindungslos,36.00249999956339
stehenzulass,35.81567542394282
scheinwelt,35.753911517428485
herausdrang,35.12948604043466
suchtpravention,35.118974108891805
erklarungsversuch,34.7005077282001
verbotspolit,34.25485001628459
hilfsangebot,34.190085813121065
disco,34.00249999987009
parteienstaat,33.930275261446106
bandenkriminalitat,33.47852832321433
vertragsgemeinschaft,33.002499999769576
wohnungseinbruchdiebstahl,31.00249999990473
knuppeln,31.002499999771672
geldwasch,30.412723433492587
suchtberat,30.396323167630758
aussteig,30.247758619587223
