,Word Value
mutt,12380.009999999793
vat,8558.0099999998
ehe,6872.009999999911
madch,4524.677764584418
familienpolit,2943.3573114024534
ehegatt,2823.009999999848
erziehungsgeld,2026.0099999998706
elternteil,1600.9695423600203
hausfrau,1577.497549900695
scheidung,1327.9671657245663
ehepartn,1167.009999999819
frauenhaus,1097.0099999999497
lebensgemeinschaft,1052.0099999998629
erwerbsarbeit,990.9727408913142
kindererzieh,964.0493477375941
erziehungsurlaub,942.0099999999464
ehen,894.0099999998708
erwerbsleb,831.4819969101645
versorgungsausgleich,768.0099999999535
flugplatz,764.663429686268
sorgerecht,734.0099999999394
familienrecht,688.0099999998685
familienbericht,605.0099999999028
einwill,545.1018555297775
eheleut,530.0047319133467
unterhaltsrecht,529.0099999999065
teilzeitarbeitsplatz,524.0099999997667
misshandl,496.35082875984835
erzieh,487.5485626794231
lebensform,483.71366018004636
unterhaltsanspruch,478.48965415721744
familiengeld,449.0099999998707
frauenpolit,437.8085492228623
grosselt,413.5605833508103
eheschliess,399.28195346278886
siegel,395.0099999998055
teilzeitarbeit,385.0525854014914
emanzipation,380.04421993585146
pornographi,365.00999999985385
lebensplan,354.34820534287775
geburtenrat,350.9940824098805
vaterschaft,346.0099999998226
geschwist,336.02139659803805
hilfsangebot,321.6455525196162
geborg,312.0774535921989
familienarbeit,310.3440936859992
familiengericht,309.00999999992996
baby,307.70653463013576
ehescheid,306.00999999991427
ehefrau,300.83848978307225
kinderbetreuungseinricht,299.149271299983
erziehungszeit,293.9866729923001
verkabel,288.0099999998723
grossmutt,286.9517245880253
eherecht,286.009999999909
mutterschaftsurlaub,278.91335635854716
abstamm,263.4297436825581
unterhaltspflicht,259.61938120258253
herd,258.8877753615781
grossvat,254.01307551418972
zerrutt,253.66390400514962
selbstverwirklich,250.6429780962727
kinderwunsch,249.9478074908688
hausarbeit,244.36625641482453
scheidungsrecht,238.00999999993283
zuhaus,232.44309925050365
mutterschaftsgeld,228.44836381507375
anfecht,227.45496123981363
kindeswohl,224.27475413308522
kindschaftsrecht,224.00999999988386
familienleb,217.9450639521184
geburtenruckgang,217.04671004275224
harteklausel,212.7754194719738
kabel,211.97781111847854
elternschaft,210.95790931889067
vormundschaftsgericht,210.20567866560918
kinderlos,207.7445480283506
heirat,205.56078891181474
mutterschaft,204.92367266081894
jugendamt,203.9146521020566
babyjahr,203.7443001110705
kupf,200.58604866670194
rollenverteil,194.12109765399714
frauenbild,193.21942802758602
geburtenzahl,188.8463970070843
einzelfallgerecht,183.87038899955346
freundin,183.6056747343713
glasfas,183.11478335543958
aufenthaltsort,181.77157045010162
kindererziehungszeit,180.88091797275715
frauenverband,177.80620323083534
unterhaltsleist,171.96115646851027
partnerin,171.70073758714156
babys,171.00999999971035
prugel,168.9453448024591
bevolkerungspolit,159.67787481028606
osterpaus,159.0099999997931
unterhaltsverpflicht,157.23812295855163
arbeitsmittel,157.00999999985223
frauenarbeitslos,149.0032989519793
