,Word Value
straftat,8640.00895742079
straf,6907.012499999671
strafrecht,5556.729649865846
kriminalitat,4540.003160952358
staatsanwaltschaft,4137.01249999977
strafgesetzbuch,3664.854537924086
rechtspolit,2663.1774913839877
stgb,2367.7308242959725
freiheitsstraf,2169.702898610627
ehrenamt,2075.4762789451775
strafverfolg,1869.5094877750248
strafverfahr,1827.6567072715254
straftatbestand,1819.0124999998025
strafprozessordn,1798.8732892331209
rechtsschutz,1765.3779730657577
verjahr,1754.0124999999516
ehefrau,1726.184010216749
vergewalt,1722.0124999998866
beschuld,1649.3961365947973
sicherungsverwahr,1637.012499999925
ermittlungsverfahr,1598.0124999998166
menschenhandel,1400.0124999999177
delikt,1384.0124999997372
strafbar,1354.5751605200192
sonderausschuss,1113.6954044321847
verjahrungsfrist,1096.9400286539824
angeklagt,1066.2548869241293
ehemann,1032.4585504447498
geldstraf,1014.012499999824
vernehm,911.9650487361619
kronzeugenregel,898.0124999998939
notig,869.0124999998139
strafvorschrift,860.2894919666719
strafrechtsreform,831.972865182054
kronzeug,824.96959347268
strafrahm,785.0124999998957
rechtsgut,781.7652523984582
hauptverhandl,763.0124999998924
strafverfolgungsbehord,745.3875827246604
opferschutz,744.4355276180368
rechtsstreit,744.2558250292382
rechtsfried,736.9668494622352
haftbefehl,689.0124999997746
vergeh,685.2527003043833
korperverletz,671.8193828892286
stpo,670.0124999998959
prostitution,663.0124999999199
polizei,658.2792896383944
untersuchungshaft,636.610443981788
rechtsmittel,613.094713396022
staatsanwalt,584.5161131343702
bundesjustizministerin,576.6494467638953
prostituiert,548.9320964499396
strafgesetz,547.9946023668563
aufwandsentschad,537.3223584656522
strafbestimm,504.63797174912975
zpo,503.01249999993917
strafandroh,502.9072499837535
strafmass,477.89884942194624
wirtschaftskriminalitat,468.8771371849261
rechtsbewusstsein,453.1060227962818
ermittlungsbehord,451.71795280839837
splitting,450.40484511113385
begeh,438.42481863194627
zivilrecht,436.237691460746
strafprozess,429.17161323131654
zuchthaus,425.88770697319353
streitwert,419.8561318582631
tatverdacht,419.73739181911003
zivilprozessordn,415.104009703707
jugendstrafrecht,406.63540892450237
verdacht,404.0725768227892
strafrechtsanderungsgesetz,403.33487036454676
sexualstrafrecht,396.0124999998438
kriminell,391.7604545430564
kriminalstatist,385.0659403842173
sexualstraftat,384.0124999999159
telefonuberwach,379.58396134670875
freispruch,370.0124999998042
schadensersatz,362.0130299001514
raub,348.0208259606135
zivilprozess,344.45803756947527
veranlag,343.89464205283247
diebstahl,339.6884326607281
haftgrund,320.0124999999273
engagi,317.9133266812556
exzess,317.01249999971185
strafrechtspfleg,313.01255601057807
strafdroh,306.85869777265
ubertret,301.4739559892766
kindesmissbrauch,300.68602853196586
beweismittel,296.92416213820354
strafaussetz,292.01249999992297
justizhaushalt,277.0124999998861
justizministerkonferenz,272.75484732119605
justizministerium,271.1657174786796
unschuldsvermut,264.59643383429136
heranwachs,264.5503647042531
gewaltkriminalitat,264.1608614042999
zwangsprostitution,263.01249999994064
