,Word Value
ehefrau,1726.1740102167487
vergewalt,1722.0024999998864
ehemann,1032.4485504447496
notig,869.0024999998138
splitting,450.39484511113386
veranlag,343.8846420528325
sexualitat,261.90946316988897
verfuhr,209.66998792571204
sexualstrafrecht,194.90701793551582
feinheit,187.80386934774108
unehr,181.31951803718857
gegenwehr,165.002499999762
atomabkomm,146.0024999999084
weiterarbeit,145.36211153816825
wahrheitsfind,140.28632687736444
kurzbeitrag,135.0024999998855
zusammenveranlag,133.00249999994347
einkommensbezieh,125.84524238802933
widerspruchsrecht,117.39296959687105
weltregion,114.68610066202355
strahlkraft,107.35393781473064
vortret,81.59471501918284
entschadigungsfrag,81.59083767567019
ganzheit,79.17112150084968
aushilf,77.87762889420927
marktverhaltnis,77.83103859053527
geschlechtsverkehr,75.4103820553648
extremsituation,64.48438765547579
hochschulbund,62.513460574721485
aufklarungspflicht,61.28498321686905
fernsehubertrag,60.94301438131803
bombenkrieg,59.2405779228444
videotechn,59.086064891126426
silvesternacht,58.103806235657146
akbp,57.756858746817954
bung,55.75533344259753
sicherheitsrichtlini,55.655202048725734
judikatur,54.91427997190496
abschlussgesetz,54.00249999982721
kindergelderganzungsgesetz,52.00249999987278
beweislag,51.80198707634731
dodd,51.00249999990398
organklag,51.00249999989982
frauenfeind,51.00249999981704
manipulationsmog,50.844935557378605
beischlaf,48.960101690477146
splittingverfahr,47.87800028465581
rudiment,45.557256948005175
antragsdelikt,45.00249999989844
konfliktminerali,43.74915995822545
verlagsgesellschaft,43.428534904710034
offizialdelikt,41.83727662912096
phantomdebatt,41.00249999975857
schutzlos,40.8761006606396
langzeitstudi,40.36243565920692
gewaltanwend,40.15273156811795
unreif,39.835508822421076
trampelpfad,39.70147001989274
wohlfahrtsrichtsatz,39.00249999990537
beileib,35.786198345139454
reformversuch,34.944877332269286
fachbeirat,33.93870787175139
volkstrauertag,33.935921204012836
mehrfachbelast,32.94540387342786
veranlagungsverfahr,32.79468130660696
expressis,31.984837507229877
allernot,31.96155896372548
einkommenbesteuer,31.85658426661352
konstruktivitat,31.799566374224728
zuruckgeb,31.333195977592183
witterungseinfluss,30.046616959713266
gemeinschaftsland,29.47007459534074
trauschein,29.340612955525582
versohnungsklausel,29.002499999991272
gebarfah,29.002499999834736
risikogemeinschaft,28.15034117733633
aggression,27.957205444992145
minutentakt,27.945580101733448
umriss,27.92793285104593
notigungsparagraph,27.38639511066761
hinsteu,27.001126181979945
entmenschlich,26.995226344026893
finanzkabinett,26.83360836544166
zangenbeweg,26.130446475320706
chefgesprach,26.097849378945902
medienpadagog,26.002499999812784
jcpoa,25.994875080177174
haushaltsausschussmitglied,25.579620634490606
gedenkstein,25.50635392590131
aussageverweigerungsrecht,25.231014677575008
steuerprogressionsbericht,25.00249999986206
ruhigstell,25.002499999725774
mehrsteu,24.944867770381805
kulturmittl,24.832994123780544
liquiditatsvorteil,23.925432775686584
aktenstuck,23.559878489372576
sachgeschadigt,23.002499999885487
penetration,23.001523165960457
nachkommenschaft,22.976521308470357
liebesmuh,22.821535419961005
