,Word Value
mindestlohn,9292.03249999991
mitbestimm,7068.032499999862
arbeitnehmerinn,6100.8331796426255
betriebsrat,5458.032499999885
tarifvertrag,5039.0324999997765
arbeitszeit,5026.815423776719
tarifpartn,2941.6992357907507
ig,2910.6858257983
schwarzarbeit,2866.032499999912
beschaftigungsverhaltnis,2785.032499999717
kinderbetreu,2777.0324999998656
kundigungsschutz,2671.032499999849
tarifautonomi,2540.0324999998134
metall,2387.5183417009
leiharbeit,2307.0324999999216
kurzarbeit,2219.0324999998584
betriebsverfassungsgesetz,2059.0324999998516
betreuungsgeld,2042.0324999999332
gewerkschaftsbund,1870.6588527520769
uberstund,1866.032499999788
fusion,1854.0324999998188
belegschaft,1843.9492810329282
arbeitszeitverkurz,1833.0324999997213
lohnfortzahl,1815.0324999999045
streik,1702.03249999979
sozialversicherungsbeitrag,1687.1461826699285
mitbestimmungsrecht,1597.0324999998297
zeitarbeit,1542.0324999999589
arbeitsvertrag,1519.0324999998456
tarifvertragspartei,1515.0324999997906
wahlfreiheit,1465.0949706733481
sozialpartn,1461.350879335334
arbeitgeberverband,1429.3060621837058
krankheitsfall,1286.032499999878
arbeitsbeschaffungsmassnahm,1285.9312742104971
kita,1194.032499999886
kurzarbeitergeld,1145.032499999902
elterngeld,1144.7086150711361
tarifpartei,1142.0324999997094
sozialabgab,1069.6146556050974
bundeskartellamt,1060.4192228884413
montan,1037.040358968478
arbeitnehmerschaft,1032.5032357244997
entsendegesetz,1028.1410723120996
kitas,1019.0324999998907
tarifverhandl,1018.8035512796174
personalrat,986.0324999999077
munition,909.8686219653332
arbeitskampf,900.0324999998954
minijob,871.0324999998417
konkur,863.1752852106379
niedriglohnsektor,850.0324999998372
sozialkass,820.0324999998357
kartellamt,801.0324999998869
sozialplan,798.9708095065031
kleinbetrieb,780.3977796177247
lohndumping,760.0677592042873
kindertagesstatt,758.0324999998289
wettbewerbsrecht,756.0324999998547
sozialausschuss,708.437905641668
kundigungsfrist,703.0324999999041
kapitalismus,701.5495273401873
kindergartenplatz,695.899754977931
tarifpolit,656.5254167668427
arbeiterschaft,650.232086162935
arbeitnehmerrecht,645.0324999998157
verfassungsvertrag,643.0324999998974
verleih,639.6926560639225
tarifabschluss,634.9402268028041
tarifbind,630.0270294935768
airbus,627.0324999998314
informationspolit,615.0324999997765
ordnungspolit,609.7350468866995
arbeitnehmervertret,604.0929563866473
streikrecht,596.7985443332971
kartellrecht,583.0324999998438
neueinstell,549.0324999997333
altersteilzeit,546.0689261346497
systemwechsel,532.1330202901809
betreuungsplatz,520.032499999946
arbeitszeitgesetz,519.9998728531913
nanotechnologi,519.0324999999149
fusionskontroll,518.0324999999274
familienpolit,515.8376416674928
marktmacht,512.0589518293124
aussperr,505.0324999999216
privathaushalt,500.28446414090365
tariflohn,499.61308530693077
humanisier,494.9391272651033
stundenlohn,490.90920376143197
monopolkommission,489.0324999998877
kitaplatz,487.0324999999192
familienministerin,485.7331576280592
betriebsverfass,453.03249999986986
personalvertret,437.0324999999189
niedriglohn,434.032499999854
alleinerzieh,432.20669116065613
arbeitsstund,428.0429474107475
osterreich,422.03249999979835
erzieh,421.55017397051125
