,Word Value
terrorismus,6982.002499999831
anschlag,4480.0024999997795
terrorist,3702.002499999855
terror,3409.795138399993
sicherheitsbehord,2079.366530594137
verdacht,1502.5742393787448
terroranschlag,955.0024999998258
attentat,844.0024999998104
terrorismusbekampf,808.6149427535989
sicherheitsarchitektur,470.10689841192936
nahrbod,440.1903138172055
besonn,365.7204730661334
vorverurteil,332.9301120786488
bedrohungslag,327.4138433046327
entfuhr,314.73985033729997
sicherheitslag,284.1770431040544
terrorgrupp,242.89842777233486
terrororganisation,235.85974504518003
terrorbekampf,232.0789393503265
extremist,225.87969433881497
ermord,180.28364484638115
terrorakt,178.6748799977947
generalbundesanwalt,162.53907438374296
gefahrdungslag,159.89521130716236
mordanschlag,157.4157881569913
sicherheitspaket,157.00249999984402
gefahrenlag,154.692723698094
irakkrieg,148.8882576299177
fernsprechbuch,143.0024999998866
kriminalitat,141.51687620831262
bomb,130.57875568663584
zell,124.36882002197926
rechtsterrorismus,122.0024999998781
sicherheitsabkomm,119.4776438582743
menschenmog,109.39637736971639
selbstmordattentat,107.25389573699687
terrorverdacht,104.73023649305712
antiterrorpaket,97.00104022704762
drahtzieh,95.45742188378973
ruckzugsraum,86.84920314844567
zahlungsfrist,85.57426825147782
kontaktsperregesetz,83.81500811468467
ergreif,83.29573255753398
antiterrorgesetz,81.64667885525843
wachsam,77.87448804250009
sympathiewerb,73.9750924893739
unternehmensstrafrecht,73.00249999976604
antiterrorkampf,72.26505394468222
druckschrift,71.42958108456773
komplizenschaft,68.86658405187616
sicherheitsbereich,63.80338139078047
sympathisant,60.09023826848727
sicherheitsinteress,59.77747367813719
zollkriminalinstitut,58.96169790456692
sicherheitsgesetz,58.68419678775515
geiseln,56.34010383607303
ruckreis,55.542608974277385
staatsterrorismus,55.00249999983127
terrornetzwerk,54.80375703231668
uberwachungsstaat,52.695777655265864
kriminell,51.69130215655313
aufdeck,51.59109651485949
deauvill,49.29218952962541
worterteil,47.73323465288307
osama,46.42647047671468
ermittlungsakt,45.59277014516004
brutalitat,45.14084223038582
denunziantentum,43.76863509238466
anheimgeb,41.54748820233339
hintermann,40.678104647532436
antiterrorkoalition,39.322260315428345
terrorcamps,39.00249999989754
helfershelf,38.88126920227789
terrorismusfinanzier,38.530631312176425
geissel,38.48604725597482
anschlagsplan,38.002499999934
inpol,37.85028058320323
sicherheitsbedurfnis,37.03290772686139
kofferbomb,36.84062652576483
resonanzbod,35.761242763194176
libertat,35.61323323718158
staatengemeinschaft,35.04016148518653
gewaltakt,33.35046291085665
waffenhandel,31.856118539753083
informationsaustausch,31.507150296301543
sicherheitsfrag,29.75529330972676
polizeiarbeit,29.476666088446702
ermittlungserfolg,29.16777303981426
solidarisier,28.85195341881709
reisezweck,26.002499999842698
hasspred,25.64935267493777
tatort,24.76970998947562
logist,24.62934367514485
salafist,24.36796328491245
trauerfei,24.006847326832933
mitwiss,22.91225462856034
flugzeugentfuhr,22.3604071633517
irakpolit,22.002499999830324
gesetzesverscharf,21.996652036398192
gepackkontroll,21.949439706293504
