,Word Value
steuerhinterzieh,2317.0049999999032
therapi,994.7272809552601
bafin,912.2317572785968
abgabenordn,897.0222423564917
informationsaustausch,844.8389950964078
steueroas,602.0049999998956
fiskus,582.0754540132688
selbstanzeig,553.0049999999726
steuergerecht,530.3078206174888
doppelbesteuerungsabkomm,486.0049999999166
finanzbehord,479.0285826135409
quellensteu,472.8208214386903
diagnos,466.546189937538
steuerpflicht,424.57389869358684
steuerbetrug,355.0049999999089
steuergestalt,349.00499999991814
lektion,336.95177457109975
bankgeheimnis,336.004999999924
steuergeheimnis,332.00499999992394
steuerehr,331.3708828780349
jugendfrag,323.5617302000986
sicherungsmassnahm,322.9110435816223
steuerflucht,302.0049999998578
finanzaufsicht,293.23627894893144
steuervermeid,292.00499999988233
kapitalertragsteu,285.2242131118978
steuerrecht,277.72105007663
prospekt,273.98898056085045
steuerabkomm,250.00499999991334
schweiz,244.00499999981727
steuerfahnd,221.44265892696922
kavaliersdelikt,214.73579510153613
momentaufnahm,199.00499999977418
steuerdumping,190.0049999998196
steuerwettbewerb,176.53165519734418
steuereinnahm,174.5868457405116
analphabetismus,168.37925877206374
steuerbehord,162.6801220279299
cd,159.09057873020734
geschaftemach,155.64496535229227
abgeltungsteu,154.60274911985428
verwasser,153.37825554296447
cds,151.00499999989327
warnhinweis,143.40497452756938
bruckenschlag,142.4146965358264
finanzdienstleistungsaufsicht,138.2684366528916
abdruck,135.00499999983012
knast,133.4513007062746
vermogensanlag,132.05213065098678
durchblick,132.00499999976591
zinsbesteuer,122.75326562158497
briefkastenfirm,122.4552942833507
funktionsweis,114.85740102731289
lappali,114.39030155837037
spritz,113.70324619467905
hinterzieh,110.00499999990554
einreiseverbot,109.65993153779
steuersatz,107.38476933298114
oberlehr,107.00499999981487
steuersund,106.69128202335169
morddroh,105.33600924082135
steuersach,105.03827967639748
grundausricht,101.87214313138305
anlagemog,100.99840169157144
kontrollverfahr,95.97214794000494
oas,95.41317914688678
bud,94.0049999998069
steuerverwalt,93.77086563317438
drogenhandl,88.77345358910486
betaubungsmittel,84.23460647925275
steuerburg,82.84347060743747
zinsrichtlini,78.00499999997032
bundeszentralamt,77.96811333553157
betrugsfall,77.95697328224125
bundessteuerverwalt,75.00499999989276
lenkungsmassnahm,74.53079943383669
kapitaleinkomm,74.27812391905618
schwerstabhang,74.00499999990794
wasserrahmenrichtlini,70.65953846378996
kinderhandel,70.20936365384262
finanzinstrument,70.05252845906548
kapitalflucht,69.45614656998572
schwarzgeld,69.00499999987693
steinbruck,68.7336617021103
strafsteu,68.45476129103582
dumm,68.11600151609544
idem,68.0710470227869
lohnabhang,67.00499999984498
marktbeobacht,66.94049741474778
aufdeck,66.73276825306901
doppelbesteuer,66.5548100274467
divid,66.47010500086343
steuerumgeh,66.35802067974204
steuerverkurz,66.299461725176
drogenproblemat,65.81625053002581
trust,65.61435761343361
visagebuhr,64.98678815936576
einkunft,64.6159911639619
bundesratsausschuss,63.7521289439256
aussensteuergesetz,63.40113750434745
