,Word Value
rent,30432.997301922154
rentenversicher,19667.009999999696
rentn,14099.00999999988
beitragszahl,3503.428798036169
rentenreform,2866.4174397869747
altersvorsorg,2839.233110500273
riest,2618.293148727769
rentnerinn,2597.009999999882
massenarbeitslos,2508.0099999996196
bundeszuschuss,2399.545358249342
beitragssatz,2308.492083390455
rucklag,2222.7951745304144
rentenversicherungstrag,1986.644661372541
altersarmut,1966.0484779647993
witw,1818.470683183744
alterssicher,1773.7795361080819
rentenanpass,1736.0099999998524
rentenpolit,1478.2590533301172
versich,1475.076451917308
rentenniveau,1413.0099999998645
rentenerhoh,1311.1764109603855
rentenrecht,1295.7785308577065
rentenanspruch,1275.725705526565
versicherungstrag,1257.0099999998806
grundsicher,1221.8981624722646
rentenkass,1093.5022967897544
angestelltenversicher,1068.4955969958578
abschlag,1047.5924356076152
sozialversicherungstrag,979.6203780400303
rentenanpassungsgesetz,938.0099999998755
krankenversicherungsbeitrag,916.0958545529325
beitragserhoh,882.8766359197165
kindererziehungszeit,866.0044353206192
rentensyst,838.0099999997806
wirtschaftsrat,826.3665881872645
sozialbeirat,812.0099999999073
bundesarbeitsminist,811.885957976521
rentenformel,809.0099999998233
sozialreform,804.4437341204663
erwerbsminderungsrent,779.9601406679844
renteneintrittsalt,778.0099999998317
lebenserwart,764.35918705443
sozialabbau,750.8734599618339
rentenkurz,720.8422924311988
erwerbsleb,713.1260071898506
betriebsrent,712.0099999997941
mindestrent,687.0099999997849
rentenversicherungsbeitrag,683.2375919923791
mutterrent,678.0099999998795
witwenrent,676.5246429560665
lebensleist,660.6077873972245
anpassungsgesetz,625.5852155252061
lohnentwickl,616.6110774664759
anwartschaft,611.634576369575
lebensarbeitszeit,604.6948975036465
generationenvertrag,573.548687012852
altersrent,567.5020956318685
rentenalt,546.7142087279628
beitragsleist,525.719623833801
rentenniveaus,509.00999999982747
steigerungsbetrag,496.0099999999017
reichsversicherungsordn,476.7567919187303
altersversorg,445.1864047531745
rentensystem,442.65078716324035
rentenbeitrag,440.2060508817639
versicherungsjahr,436.0099999998202
erwerbsunfah,430.99374532322327
uberleitungsgesetz,427.9760507130552
rentenfinanz,425.0099999998646
fruhverrent,423.9623211036264
rentenzahl,407.00999999964506
rentenpaket,405.84867266846226
hauptausschuss,402.7061534532209
rentenreformgesetz,393.99810840394883
invalidenversicher,386.0099999999492
rentenwert,382.99636921647533
altersruhegeld,377.0849610005074
rentenleist,375.2200800382156
schwankungsreserv,371.0099999998768
rentenempfang,367.9442335187417
arbeitnehmerinn,366.20932035703316
rentenberechn,362.9682721119168
grundrent,356.23980170595814
beitragsbemessungsgrenz,355.1328988304645
knappschaft,352.5503921371701
bruttolohn,348.8951493929014
vorschuss,347.7635797858682
bemessungsgrundlag,345.2825852252228
rentenanpassungsbericht,345.00999999995105
arbeiterrentenversicher,345.0099999998978
generationengerecht,344.46584873315993
berufsunfah,340.00999999981855
nettolohn,335.07096877206396
versicherungszeit,329.99000554229275
entgeltpunkt,329.0099999999479
monatsausgab,329.0099999999362
hinterbliebenenrent,328.9606605259084
nullrund,325.06921719750494
wais,323.6580575943806
landesversicherungsanstalt,315.00999999990165
