,Word Value
armut,9969.00749999973
sozialhilf,7913.007499999792
arbeitslosenhilf,2347.757723238192
regelsatz,2182.0074999999106
sozialhilfeempfang,2142.6503690298277
existenzminimum,1907.0645065339813
reichtum,1606.007499999735
bundessozialhilfegesetz,1108.564065040443
kinderarmut,1104.007499999916
weltbank,1054.2041229926356
erwerbslos,1041.007499999843
sozialamt,931.4662849329378
armutsbekampf,695.6997540641015
wohlfahrtsverband,594.3480305967812
reichtumsbericht,556.0074999999558
lebenslag,536.0756607132107
schuldenerlass,529.9731997654147
umweltzerstor,507.28230250681287
verschiebebahnhof,475.84182861709456
alg,454.33561246744586
sozialhilfetrag,426.44019994768036
gerechtigkeitsluck,413.4673558904529
familienministerium,406.8896271382291
zumutbar,385.77383772689655
hartz,337.82328552449525
wahrungsfond,332.750854532186
bshg,306.71765228815417
iter,298.0074999999525
uberschuld,296.2604546472149
regierungskommission,285.9307912775954
sozialhilferecht,270.6249997388653
schuldenkris,261.6685631788893
armutsgrenz,256.84612099265763
regelleist,256.2797564151541
strukturanpass,254.66524287401523
sozialverband,244.2254203110058
bevolkerungswachstum,243.4088094290246
schuldendien,239.16578975905244
sozialhilfeleist,234.11528227220342
ez,232.0074999998822
leistungskurz,226.84969588057766
schuldnerland,220.0074999999003
kindergrundsicher,216.38610339869683
sozialhilfesatz,215.10474754442734
erwerbseinkomm,208.3059692763233
armutsbericht,202.41144698650828
schuldenlast,198.3961839887167
verschuldungskris,193.00749999985428
sozialhilfegesetz,188.04527174946847
fusionsforsch,185.8411939608639
lohnabstandsgebot,184.00749999987704
empfangerinn,177.39534857741893
leerstell,177.35973180651953
mindestsicher,174.19488044652476
sauerei,169.4344845245227
langzeiterwerbslos,161.50418729750706
verbrauchsstichprob,160.00749999993974
finanzierungsvorbehalt,154.80345264622497
bezieherinn,152.00749999982764
lohngrupp,148.09710090912506
warenkorb,143.39513818465852
bundesfamilienministerin,140.3002136758587
unterernahr,137.50180294406965
sozialversicherungssyst,136.52796187774376
sozialabbau,130.1440400377241
anpassungsmassnahm,124.77621974674584
waschmaschin,122.01672482110277
sozialhilfereform,122.00749999994149
sozialhilfekost,122.00749999985445
lohnersatzleist,121.51219038126051
alleinsteh,119.82295092266226
finanzinstitution,117.93788953434284
grundtenor,117.63050158881062
entwicklungspartnerschaft,111.33036575716564
verelend,110.1622113893708
pflegegeld,109.06296282007689
weihnachtsbaum,106.99517675360458
kreditwurd,105.40423250510239
weltsozialgipfel,104.97100755292952
exporterlos,103.97757507202925
ausschussanhor,102.95536457395592
hilfesuch,102.61283612362855
mehrbedarf,102.21632961475365
fallmanag,99.78474781410632
sozialhilfeausgab,98.35381794196996
hilfeempfang,95.19410483978706
leistungsgewahr,94.88232771218664
einspareffekt,94.31443991824727
mdgs,94.00749999992476
dialogforum,94.00749999980297
haushaltseinkomm,93.96437376200201
vermogensverhaltnis,93.03509314743428
umschuld,92.79651664661039
steuerfreistell,92.11842863723811
kinderpolit,91.0074999997961
haushaltskass,90.54406315254474
entwicklungsstrategi,89.75000142476519
teilhabechanc,89.52587205112192
prestigeprojekt,87.0154330130927
sozialhilfebezieh,87.00749999990427
