,Word Value
kindergeld,9294.009999999847
alleinerzieh,2434.835808839156
einkommensgrenz,2284.009999999872
jugendhilf,2232.009999999936
kinderfreibetrag,1922.5480721902286
familienlastenausgleich,1865.0099999998074
freibetrag,1700.9998175085207
familienpolit,1375.8575469298357
jugendamt,1262.1053478978617
jugendarbeit,1229.0099999999056
jugendpolit,1159.009999999916
bundesjugendplan,856.009999999921
abwert,819.3262677243761
jugendbericht,799.0099999999509
kindergelderhoh,699.0099999998241
ehegattensplitting,685.356555907247
leistungsverbesser,685.1653470923152
kindergeldgesetz,680.4547281182391
jugendverband,668.0099999998831
kinderzuschlag,604.4445594538063
familienforder,590.4470580408367
existenzminimum,537.5635767248765
sozialarbeit,484.3370742012363
absetzbar,446.5796682400813
jugendorganisation,426.0099999998532
elternhaus,424.92976566086406
kindheit,416.0099999997696
kinderschutz,409.15807609070566
steuerfreibetrag,406.0755639934521
jugendhilfegesetz,396.0099999999328
bundeskindergeldgesetz,386.6881926939987
bruttoeinkomm,373.3318535966119
ausbildungsforderungsgesetz,362.91885128714284
jugendhilferecht,358.6396328273049
kinderbetreuungskost,358.0099999998663
familienleistungsausgleich,354.08557750472403
familieneinkomm,348.4496731950186
subjekt,309.40161168151565
grundforder,279.7662440241763
hypothes,277.3248398416693
kindergeldzuschlag,264.0099999998931
familienleist,257.728257848833
unterhaltsvorschuss,250.00999999991433
abgeordnetengesetz,248.34792798424496
jugendfursorg,245.00999999995318
lama,244.00999999996992
armutsrisiko,243.82301903008613
gesamtbetracht,242.00999999975446
dalai,237.00999999997197
schmutz,232.58540243787513
familienverband,230.7293685318974
blei,227.71257900466512
zweitkindergeld,225.00999999994895
bundesjugendring,225.00999999994326
unterhaltsvorschussgesetz,222.13803900922528
jugendwohlfahrtsgesetz,219.9713749303828
haushaltshilf,219.69126156086423
tollhaus,218.00999999975855
kinderzahl,217.79400569184818
ausbildungszulag,215.00999999994548
familienminist,214.79746737429068
grub,213.00999999983298
kindergeldgesetzgeb,202.00999999993905
kindergeldzahl,198.99504322323034
eim,197.81866183736577
jugendplan,197.0099999998815
lissabonstrategi,191.00999999984106
antragsrecht,190.41991472453816
schrifttum,189.20283612185668
indexier,188.8340975405987
orientierungslos,188.34735855991642
protokollnotiz,183.00999999977157
satir,182.91660339449896
industriearbeit,177.9550395394451
baukindergeld,176.80214183529242
reichsjugendwohlfahrtsgesetz,176.00999999994252
feldversuch,175.00999999984285
kappung,172.9082382414511
gesamtleist,172.29630265378745
freizeitgestalt,169.21147795070095
kindergeldregel,166.8913227668066
verwaltungsmass,165.4219221850423
ausbildungsforder,163.82475352677795
sozialpaket,162.65177376936575
jugendpfleg,158.77225330655415
elternteil,157.0504576398231
mehrkinderfamili,157.00999999992965
gerust,155.8111329027572
individualisier,155.3352719692604
jugendfrag,152.43857496729586
entlastungsbetrag,150.0099999998401
familienkass,150.00999999983193
kaufkraftverlust,148.57266634360258
haushaltsfreibetrag,146.45089722554215
selbstorganisation,145.77667675879493
kinderlastenausgleich,143.39879733599065
erzieh,141.26633091290634
tibet,139.71809782607784
arbeitseinsatz,138.28061946035493
schlussstein,134.6536935712048
