,Word Value
zusatzbeitrag,1040.0024999999557
burgerversicher,1023.7845810386424
gesundheitsfond,1018.0024999999277
praxisgebuhr,852.0024999999551
klientelpolit,683.0024999997834
kopfpauschal,676.0024999999484
psychotherapeut,470.00249999993815
sozialausgleich,361.00249999996737
finanzierungsgrundlag,305.2186848495955
psychotherapi,296.00249999992667
geringverdi,261.50715624588776
arbeitgeberbeitrag,247.40226242791883
therapeut,241.91192247532257
belastungsgrenz,199.0024999997318
standortentscheid,196.04616492238938
gutverdien,190.88214541180884
einfri,180.44226247061974
zielgross,172.59732195916715
ubergangszeitraum,172.00249999975748
einkommensschwach,170.94782428178107
unterdeck,164.90298085823335
versicherungsleist,164.77389781889025
arztbesuch,160.49279692906396
sparbeitrag,154.92751749297898
paritat,151.13503191352336
zusatzversicher,149.40962436439622
dienstverpflicht,143.56004052833816
vorkass,140.00249999992846
sonderbeitrag,126.90902748337763
steuerzuschuss,125.0024999998648
zuzahl,122.4731961691753
psychotherapeutengesetz,116.00249999994479
liquiditatsreserv,116.00249999987982
verordnungsvorschlag,106.00985429079603
turoffn,97.00249999974245
strukturgesetz,96.89021351713579
beitragsbemessungsgrenz,95.88503664376105
geringverdien,94.46360810371175
wechseln,90.9703283784391
milliardendefizit,85.69619393838104
zuruckweich,84.47801307526485
steuerungswirk,83.90307888157376
rosl,81.51173586872214
einheitsbeitrag,81.0024999998864
befehlsempfang,80.47862328260848
jubila,79.78505811848262
schutzbehaupt,79.62305282269867
lobbypolit,77.41656585338451
kopfprami,75.51581899713513
gutverdi,70.17989138940271
dreisatz,66.88865156991288
annahmestell,65.29889075720413
grundsatzabteil,64.96820695405665
sondermark,63.002499999951375
fachpolitikerinn,62.936600637559785
wartezimm,62.02514706712652
besserverdien,59.80811970087709
finanzloch,59.1890388799635
finanzreserv,56.13395848292891
jugendlichenpsychotherapeut,56.002499999978106
geldbors,55.11308080933446
gesundheitsprami,54.002499999920616
besserverdi,53.75743255251892
koalitionsfreund,53.442909219011774
behandlungsmog,52.59158639265669
unternehmensvorstand,51.65037992081082
komik,51.272499166244934
schmierentheat,51.002499999826284
managervergut,47.643238066712605
eilverordn,46.00249999982885
lebensrett,45.37460892453449
beitragsautonomi,42.00249999996435
abzockerei,41.8285274265153
diem,40.51887801496767
regierungskommission,39.10125730816091
gesundheitskost,38.9865195776609
heilungsprozess,36.91151272109448
mieteinnahm,36.18931982378633
wettbewerbsstarkungsgesetz,35.989696810514076
missklang,34.54053266458828
eintrittsgebuhr,34.001946068672446
regierungsbeamt,33.28446811014434
zuzahlungsregel,33.09894544723628
sachleistungsprinzips,31.00249999982676
psycho,30.979661381543487
meteorolog,29.802285771701953
ruckerstattungsanspruch,29.426435108270525
versicherungsbranch,29.148043400398972
zehnt,26.52866041556351
behandlungskost,25.170860634663622
insolvenzfah,25.00249999992911
kassenwettbewerb,24.915679589108706
wiederaufbaudarleh,24.906541164343686
belastungsobergrenz,24.86762163145006
krankengeldzahl,24.755993301356185
individualbeitrag,24.002499999913272
buchtitel,23.8128823878355
wahlanalys,23.789762218494012
gekniff,23.753217103951833
zentralkommission,22.970104967107932
