,Word Value
verbraucherschutz,8846.697401835832
verbraucherinn,4294.004999999924
verbraucherpolit,1212.004999999927
drohn,947.0049999999243
handl,841.1115486726538
verbraucherzentral,841.0049999999367
verbraucherinformationsgesetz,584.0049999999554
verbraucherverband,508.0049999998625
lebensmittelsich,506.0621437067413
supermarkt,398.85159695514227
vertragsabschluss,394.0799210111314
geschaftsbeding,355.38159327234484
risikobewert,324.7763191679583
verbraucherinformation,310.00499999989154
abzock,310.0049999997943
tuv,298.18921820946423
rechtsverstoss,293.3093599858358
bundesinstitut,272.3166780375382
wurst,271.70775179999356
lebensdau,265.0487967330768
verbraucherrecht,264.0783199267234
handys,232.70891922078923
verbraucherinteress,232.00499999983796
kundinn,231.0833597950535
marktwacht,226.0049999999666
politikum,215.52305055695138
verbraucheraufklar,212.8973833716652
informationskampagn,209.00499999975054
rechtsdurchsetz,207.35215584957805
kampfdrohn,207.00499999995338
formulierungsvorschlag,199.73946151205297
portal,192.60041840317788
einzelantrag,183.06269110896915
weitergelt,182.92552439426981
ersatzteil,173.05447722290938
lebensmittelskandal,160.00499999987784
agb,157.97658904151922
tell,157.05518699710566
marktgescheh,153.60019065354408
verbraucherorganisation,152.0049999998897
stiftungskapital,151.39658771496062
aign,149.4474970906471
verbraucherschutzpolit,144.00499999992817
vorbehaltserklar,142.00499999986795
elektro,133.75185397724263
nitrof,128.00499999997024
kaufentscheid,127.10213612474521
finanzberat,122.99249376199161
verbraucherschutzministerin,121.87401745275804
lebensmittelbuch,120.00499999996555
verbraucherschutzministerium,118.00499999988602
informationsanspruch,116.64557995443325
verbraucherberat,116.00499999989161
verbraucherin,114.94991365046235
futtermittelgesetzbuch,108.00499999994027
preisvergleich,107.03193866087864
finanzdienstleist,104.17848651207424
warent,102.76651287250735
energiesparlamp,100.88428390312357
recyclingquot,100.00499999985746
rezeptur,96.83709641744903
finanzmarktwacht,96.81635051997938
verbraucherverhalt,96.81415910951941
verbraucherschutzverband,95.95101190316933
totung,95.22552551480457
bedarfsgegenstand,94.8249464135046
emsland,93.51735064188664
bvl,93.17515982603538
gruppenverfahr,90.00499999996254
verbraucherministerin,88.32907448358127
verbraucherbild,85.00499999994203
ernahrungsbild,84.00499999990376
bmjv,83.6055999480676
informationspflicht,82.9440791662923
entgrenz,82.79103900864125
ramstein,80.52554777337711
markttransparenz,80.34188651226708
beacht,80.15366162065038
basiskonto,79.0049999999527
ressourceneffizienz,75.95030343072347
ubervorteil,75.892318303642
risikomanagement,75.60667016480447
ernahrungsindustri,74.95832008864988
hausturgeschaft,73.84919150766042
lebensmittelkontroll,73.49480947623833
ordnet,70.27736449099505
lebensmittelbereich,69.0836423835044
kostenfall,68.31247700996647
verbraucherministerium,67.00499999991429
kassiererin,65.99338835484681
versicherungsbereich,65.92570309799345
veterinarmedizin,65.78898547711114
solidarleist,65.78199457930553
informantenschutz,64.99343253745242
bundesratsbeschluss,63.81484490792303
drohneneinsatz,63.00499999995237
verbraucherfreund,62.80663209326374
verbraucherforsch,62.004999999911064
verbraucherfrag,62.0049999998473
telefonwerb,61.93813658544079
