,Word Value
mittelstand,12452.002499999671
existenzgrund,2193.002499999787
mittelstandl,1637.0024999997609
manag,1153.3146981286166
mittelstandspolit,1010.0024999998521
eigenkapital,821.6545122925465
freiberufl,621.3718559033822
neugrund,510.2974545541071
unternehmerinn,497.0024999997216
unternehmensgrund,479.2293384046385
mittelstandsforder,458.077128099248
grosskonzern,439.6701396707625
pleit,426.9510508018893
kleinunternehm,333.2070752609693
selbststand,287.44570094358824
unternehmertum,286.5342312337981
forderpolit,279.8925817016078
eigenkapitalhilfeprogramm,272.0024999998391
risikobereitschaft,268.6656526142584
managergehalt,260.02453115945616
wagniskapital,223.00249999984857
innovationsprogramm,222.77772521012236
eigenkapitalquot,221.47324005056643
eigenkapitalausstatt,213.87081981061021
ausgleichsbank,200.07563966568742
risikokapital,176.50103306859506
eigenkapitalbasis,176.25946471071933
unternehmensberat,172.17595416283015
technologieunternehm,140.9424880527509
erfolgsrezept,134.90416425047147
kapitalausstatt,132.13561537631614
forderbank,131.54456690325696
fremdkapital,128.63285547378447
wachstumsphas,122.34741951995962
eigenkapitalbild,115.30855752255334
grosswirtschaft,114.31694352394206
innovationskraft,113.67675910266762
wirtschaftsforschungsinstitut,109.81134018582613
verschlank,109.44815267966835
wachstumsprognos,107.10692158640398
handwerksbetrieb,105.59675234921698
hausbank,103.85081421850684
investitionsrucklag,100.0917474993927
innovationsoffensiv,95.9250437778341
kreditversorg,94.9631517708698
mittelbetrieb,92.08811422500646
eigenkapitaldeck,90.41677319815649
mittelstandsbank,88.37069419417759
innovationsfah,87.38751534866635
urwahl,86.00249999969925
weltspitz,84.37032512418638
mittelstandsbeauftragt,81.00249999989741
dienstleistungssektor,78.6221880748872
ertragskraft,77.2826374961664
scheinselbststand,76.73557949820457
handwerksunternehm,75.71975288704867
inv,74.92541205962124
handwerksmeist,74.20701353041606
bankkredit,73.66865649110765
zahlungsmoral,70.44410960031216
pleitewell,69.63951043784041
personengesellschaft,68.13317960702528
mittelstandsbericht,66.00249999995954
gemeinschaftsforsch,63.881292330361745
konkurs,62.01821723190484
mittelstandsdebatt,62.00249999990033
mittelstandsprogramm,61.59041298755333
mittelstandsoffensiv,61.002499999904515
mittelstandsforsch,59.97962697049549
jahresumsatz,59.19555191247796
dihk,58.388082303070114
dachfond,56.00249999984422
aktienoption,55.96225915105583
betriebsausgabenabzug,55.00249999974118
abschreibungsbeding,54.92397178938975
unternehmensfinanzier,53.105702552636906
aussenwirtschaftsforder,52.7125579355004
beteiligungskapital,51.33472156147583
finanzierungsbeding,51.19770208544718
risikokapitalmarkt,51.002499999884
boss,50.09583310761765
mittelstandsfinanzier,47.77728464198811
fremdfinanzier,47.70349205537255
firmenpleit,47.07752736195022
kapitalgesellschaft,47.03906957083751
unternehmensneugrund,44.939024042811404
marktchanc,44.002878316822965
eingangsteuersatz,43.850283666445144
unternehmensstruktur,43.70905033443269
auslandsmess,43.67025626948023
steuerstaat,43.512016010339586
burokratielast,43.39723436873111
wachstumsmarkt,42.772289542435914
kompetenzzentr,41.661764073339064
gewerbesteu,41.53623243200524
abschreibungsfrist,41.19230986412158
investitionskraft,40.41102765301534
finanzierungshilf,40.35063168704519
messeforder,39.84567639050853
wachstumskraft,39.601029380545114
