,Word Value
streitkraft,8592.499961626774
trupp,6045.18171714704
arme,3699.05027915754
kriegsgefang,1507.0049999999144
division,849.3195608442003
stab,761.5396938482776
wehrmacht,760.9185794313508
landesverteid,598.6528211633841
streitfrag,518.682885471378
embargo,408.00499999990313
geiseln,364.240813585649
kriegsgefangenschaft,343.5926439333734
kampfkraft,320.1163221231904
panz,319.9015097606198
hauptquarti,315.03338439202145
verteidigungsanstreng,310.7290377152475
brigad,303.5719720198164
korps,294.44882196858566
schlagkraft,276.99369201277375
bewaffn,269.9497392376128
wehrstruktur,265.00499999989813
verantwortungsgefuhl,264.7724032357808
verteidigungsbereitschaft,263.1532702982911
handelsbezieh,260.5941004450175
verteidigungsbeitrag,254.73636598068742
verteidigungsfah,250.3944223542651
stationier,248.12543082867717
heer,245.9104760585426
wehrverfass,239.13627083306235
vermiss,238.00499999975224
verteidigungskraft,233.71517541789652
luftstreitkraft,233.61578736324213
beerdig,223.00499999980374
bundnispartn,220.43199502473453
oberbefehlshab,217.07087261903825
bataillon,196.1251639518009
denkfehl,195.96056626718547
beschliess,194.9404982917587
wiederbewaffn,190.08183916986954
offizi,184.365339239943
verfugungsbereitschaft,184.00499999993082
kommando,183.16084798523963
auschuss,178.10352712032875
zivilperson,177.95210340943294
streitmacht,169.19108472415817
oberbefehl,167.00499999989603
gesamtumfang,161.94994759652394
vorneverteid,159.2724528259925
stenogramm,158.8841183710902
ausbildungsstand,158.23221343587184
befehlshab,155.27091471102122
verteidigungslast,144.08438993930721
nordatlantikvertrag,142.662702199987
verteidigungsfall,138.34135115973686
wahlred,138.00499999981227
wehrpolit,134.35959252127432
truppenreduzier,133.78145318409423
regulativ,128.92185072724445
turnus,127.88202043553878
aggression,126.71666584209672
abschreck,125.23352147860126
landstreitkraft,122.8693498528423
verteidigungsplan,120.94156132119025
reichswehr,118.72994939328024
truppenteil,118.69670456902263
admiral,115.58394500849411
kontingent,109.82255061109032
vernebel,108.61562004036713
verteidigungsorganisation,106.11603373498106
luftwaff,103.73851100536581
geisel,101.52399148761414
embargos,100.88312972829861
verteidigungswill,100.32523714481687
mobilmach,99.96158288867507
abwehrkraft,99.87975909178965
mbh,98.50916750693055
vorwarnzeit,97.18271352789631
finanzvertrag,96.98618490943925
wehrverwalt,95.65430026520526
kommandostruktur,92.67989822944726
devisenausgleich,92.4414126943338
kriegsschauplatz,92.19944777359515
kampfverband,91.80968965144864
uniform,88.81451139452257
einsatzbereitschaft,87.74627494341863
organisationsein,86.58392619628734
prasenzstark,86.00499999986373
verteidigungsaufgab,85.33855523502865
tiefflieg,84.98567864383112
nachschub,83.70470024924994
truppenstark,82.0939395557737
plural,80.77970104547269
bundnisverpflicht,80.37565916025243
reservist,77.43070838924382
auffull,76.61019260671557
kriegsteilnehm,75.89815888586718
waffengatt,75.78457646776549
durst,75.71179090087544
unterleg,74.8433005929589
kampftrupp,73.04987333576248
