,Word Value
abrust,6611.494792979768
pakt,4793.053320134713
atomwaff,4123.004999999911
rustungskontroll,2254.161441731461
bomb,1083.1137104993907
abschreck,1041.488007176798
nuklearwaff,923.8455395129494
massenvernichtungswaff,802.4413085483559
paritat,793.3254165907318
nichtverbreitungsvertrag,762.0049999999461
bewaffn,738.069634774127
kernwaff,735.0049999998865
atombomb,716.0049999998545
nichtverbreit,653.0049999999226
sicherheitsinteress,638.0148600590308
abrustungspolit,629.4025947441513
gipfelkonferenz,605.18019551659
vertrauensbild,590.4099158257363
atomwaffensperrvertrag,584.0049999998866
grossmacht,509.2604436298788
krafteverhaltnis,505.4422949619203
mbfr,492.54350798657606
atommacht,467.0049999998982
atomkrieg,455.0049999998912
salt,426.5575477974095
uberprufungskonferenz,417.65846345168035
verfugungsgewalt,412.40888135277777
vertragspartei,399.0279987825546
inspektion,390.928057794171
wettrust,390.4755280960165
selbstmord,386.70914887299824
iaeo,312.0049999999071
proliferation,304.75241432892875
dementi,288.0049999996811
abrustungsverhandl,285.4465492152266
schlachtfeld,272.0307746316233
kernwaffenstaat,271.00499999996657
weiterverbreit,268.83528464352656
verifikation,268.38597781753555
stutzpunkt,263.2215840673153
abrustungskonferenz,256.76125643994834
rustungsbegrenz,256.2424707262819
nuklearmacht,256.004999999895
aufrust,248.82752295387922
raketenabwehr,247.87527989869844
rustungskontrollpolit,241.90160535117033
ural,219.1162312721145
ratifizier,216.24752416630005
atomprogramm,205.6652460806706
leitartikel,203.94647357099885
atomt,202.0049999999061
teststopp,197.30505384317303
kriegsgefahr,196.9711054946761
sicherheitsgaranti,194.70281673823806
sowjet,186.19393434584492
nichtkernwaffenstaat,185.00499999996055
konfoderation,182.48053004993577
abrustungsschritt,182.21867602024244
exportkontroll,177.00499999977708
friedenswill,175.56155519077578
patriotismus,166.9391358867534
jahresabrustungsbericht,165.00499999994847
ultimatum,161.18905223905577
nuklear,159.8453831721627
anreicher,159.75050744599324
wasserstoffbomb,156.00499999992815
weltmacht,155.28132477284726
verteidigungsfah,152.40256436543876
atomwaffenstaat,148.00499999994216
abrustungsprozess,146.39689018206562
hiroshima,146.00499999989134
inspektor,145.13800722242308
atomsperrvertrag,143.78357507422797
nuklearprogramm,143.00499999980548
kriegfuhr,142.90318500686678
sowjetruss,138.05986925791143
bundnispartn,134.18761383420957
terminier,133.48889039973687
massenvernichtungsmittel,126.44427422897613
verhandlungsstand,122.91999039329198
abrustungsinitiativ,122.72333555903505
harmel,121.00499999987846
rustung,119.79119587355935
eiszeit,118.12778578328285
sicherheitsstruktur,117.40927458081374
nichtverbreitungsregim,117.00499999992334
weltfried,115.72884622777639
rustungswettlauf,113.645209482274
zivilbevolker,113.49697364529786
verifikationsabkomm,112.00499999994902
nationalfeiertag,111.00499999981604
sprengkraft,110.24402900999655
atomrust,107.93255463219195
macht,107.35862829774373
atomenergiebehord,106.1117863826165
entspann,102.72715810630308
nukleartechnologi,102.32154220393102
atomtod,102.00499999993289
abrustungsfrag,101.93557672981913
nichtverbreitungspolit,100.42656919424674
