,Word Value
hochschul,15634.027499999818
bafog,9549.027499999875
ausbildungsplatz,8012.027499999824
studier,5357.027499999879
film,5131.0274999999165
bildungspolit,5051.02749999975
studium,4805.621487725677
berufsausbild,4277.027499999714
kunstl,3406.0274999999237
auszubild,2574.0274999997628
forschungsforder,2358.0274999997955
berufsbild,2221.027499999729
bildungswes,2008.0274999998144
forschungseinricht,2007.9882151897032
jugendarbeitslos,1985.9052717681868
wissenschaftsrat,1907.9511129659368
grundlagenforsch,1831.0274999998585
ausbildungsforder,1814.212746472987
forschungspolit,1804.027499999849
forsch,1759.050450803932
kultusminist,1703.0274999997978
studienplatz,1617.0274999998328
bildungssyst,1613.0274999998128
schulerinn,1563.0274999998137
lehrstell,1549.0274999998098
fachhochschul,1476.02749999984
studiengebuhr,1401.0274999999158
hochschulpakt,1389.027499999911
lehrling,1388.4447964651715
abitur,1339.0274999997962
bildungsbereich,1316.027499999737
musik,1308.9208915283903
freiwilligendien,1185.8106876638963
hochschulrahmengesetz,1139.833713227641
ganztagsschul,1127.459438561553
kultusministerkonferenz,1089.5477483367545
ausbildungsstatt,1084.0274999997935
berufsbildungsbericht,1082.0274999999447
berufsschul,1057.0015355009277
publizist,1038.8873275455264
goeth,1019.0274999999291
forschungsergebnis,1011.0274999997251
studiengang,1004.0274999998322
gesamtschul,986.0274999999348
berufsbildungsgesetz,976.6360126950137
abiturient,924.1856488698545
bildungsplan,920.0274999998849
wissenschaftlerinn,918.44269518746
schriftstell,910.027499999752
bmbf,888.0274999998144
kooperationsverbot,877.0274999999165
technologiepolit,874.0274999998164
bildungschanc,869.8695238598168
biotechnologi,858.2692268389644
forschungsgemeinschaft,840.612149067096
nachwuchs,836.7021962668383
bildungseinricht,822.0366530667037
forschungsvorhab,815.3081074758428
bildungssystem,808.0274999998024
zensur,808.0274999997722
forschungsprogramm,805.4698243525681
bundesausbildungsforderungsgesetz,802.8777009309891
bildungsbericht,793.027499999908
forschungsprojekt,791.0274999997157
hochschulbau,769.8218296602489
lehrerinn,765.0274999998346
grundschul,760.9980992092345
freibetrag,759.5934899810184
bedarfssatz,727.027499999944
hochschullehr,722.6774030921182
auslandsschul,721.0274999999724
exzellenzinitiativ,718.0274999998734
absolvent,716.3330780192957
akadem,715.3123218812156
hightech,713.0274999998426
jugendarbeitsschutzgesetz,702.0274999999262
begab,697.0274999996232
hochschulbereich,694.5804397697599
schulwes,694.181402928356
kulturarbeit,689.0274999999214
forschungsminist,685.0652969975948
ausbildungsberuf,681.0274999998661
hauptschul,647.0274999998171
bildungsweg,641.0274999998012
bildungsgesamtplan,641.0249632323824
weiterbild,639.6063974754788
schuljahr,638.000511486323
ausbildungsstell,633.0274999998733
bundesfreiwilligendien,618.0274999999388
kulturforder,618.0274999998984
student,604.6696109265063
gymnasium,603.49210795955
kunstlerinn,598.0274999999654
filmwirtschaft,590.027499999972
forschungsbereich,565.0274999997417
ausbildungsordn,562.0274999998919
pakt,554.3585223069173
durchlass,554.0613736150137
forschungslandschaft,554.0274999998601
fakultat,549.76717780911
