,Word Value
mandat,10947.964047399244
soldat,5839.738240213834
export,5615.445582902514
mission,4927.512357099211
soldatinn,2940.3064783330306
liefer,2835.5037904774376
rustungsexport,2467.004999999919
ausfahr,1512.8307356647974
is,1497.9374654615322
saudi,1435.2808371697504
rustungsgut,1143.7493441573542
waff,1088.0851579324064
bundeswehr,1080.7956709466769
waffenliefer,945.0049999997887
panz,903.6901378322835
waffenexport,892.0049999998748
auslandseinsatz,882.9703365968008
jem,870.0049999998249
kriegswaff,716.9242838316179
aussenwirtschaftsgesetz,657.6264479055254
rustungsindustri,558.7475759431322
bundessicherheitsrat,536.9351331648652
bundeswehreinsatz,481.7904202203765
rustungsexportpolit,473.0049999999285
awacs,465.2780776865829
bundeswehrsoldat,452.05068831900587
exporteur,431.7115219377464
isaf,419.4721929740932
kriegswaffenkontrollgesetz,391.0049999999385
kleinwaff,381.4802392673195
streitkraft,368.6877914712722
ausbildungsmission,343.99160725615053
gewehr,340.1605564462781
sicherheitskraft,337.902735651669
peschmerga,332.00499999994884
sicherheitslag,320.78603214324744
kurd,316.61211243963385
rustungsexportbericht,285.0049999999766
irakkrieg,276.9710321167142
militareinsatz,274.8663362796001
bundnisfall,273.0049999998727
einsatzgebiet,271.9540896426369
dual,265.39807478514297
empfangerland,255.1677836892518
ausfuhrgenehm,246.64535187027494
mandatsverlanger,246.27366186473668
spannungsgebiet,246.00499999988315
emirat,245.00499999977495
waffenhandel,244.37886889154785
parlamentsbeteiligungsgesetz,237.00499999992056
waffenschmuggel,226.00499999988082
krisengebiet,214.6552479342985
kampfeinsatz,214.58926191100147
spezialkraft,208.1780161282495
kriminalitat,200.94241105938374
waffenembargo,196.7835377182691
exportforder,190.23751054733728
mandatier,188.00499999992317
sicherheitsinteress,186.10523819121747
rustungsgeschaft,181.902444084062
exportpolit,179.57063932967287
kontingent,174.71598890423425
kfor,174.00499999989813
selbstverteid,172.96870905772522
verteidigungsministerin,171.98143640600287
drittland,171.76518144950464
gesamtwert,171.2240711691548
parlamentsarme,161.6850889073634
rustungsexportkontroll,156.0049999999312
arme,149.00214805016543
ausrustungshilf,147.22146655374326
waffenembargos,145.04680350107145
exportgeschaft,142.38858221721785
genehmigungspraxis,142.11489076785062
rustungsexportrichtlini,141.0049999999574
dschihadist,140.683533409949
bundnissolidaritat,137.2334290934983
lagebild,136.94874709606157
exportland,136.29713315992603
einsatzkraft,133.9027413230399
parlamentsvorbehalt,132.3285543690995
tuareg,132.00499999993076
aussenwirtschaftsverordn,130.93503921249626
ertucht,130.31467094996
rustungskooperation,126.9413939509452
terror,125.81874493082456
lufttransport,124.57299281406961
sahelzon,123.37783044718813
jesid,122.39047433749225
fraktionsgeschaftsfuhr,120.67941920182204
islamist,120.18804879942101
drittstaat,119.01209733964625
terrormiliz,117.00499999980863
kriegswaffenexport,116.00499999997056
tieffluggebiet,115.85502180306024
miliz,115.57374604788546
kommando,114.9383815546382
sicherheitsstruktur,114.75919237955526
burgerkrieg,114.6638346784988
sahelregion,114.00499999996016
