,Word Value
digitalisier,4693.004999999855
liegenschaft,899.5122424040796
transformation,828.1485138979009
it,816.0049999998822
breitbandausbau,601.0049999999233
frequenz,480.00499999993065
tierarzt,467.613442041319
groko,389.00499999984953
versteiger,356.9518613024908
digitalpakt,309.00499999993644
intellektuell,300.9001335478167
merkblatt,293.07375920893503
vertragsentwurf,275.20706377429116
automatisier,256.55119689207265
sicherheitsluck,245.83768881606733
produktionsfaktor,243.09993436065
megabit,236.00499999995782
verschlussel,232.004999999903
sicherheitsgesetz,231.1999421630063
modernitat,230.00499999978965
veranderungsprozess,229.8409963290616
smartphon,226.15543690202767
weiterbeschaft,219.17108915208945
robot,210.51090623841145
breitbandversorg,203.00499999993104
pfing,198.00499999980488
aktivist,196.8157236933112
formali,196.1787375412815
arbeitspapi,185.0049999998797
breitscheidplatz,171.00499999987264
synergi,171.00499999982878
breitband,164.004999999922
hardwar,162.75346574151763
cebit,157.00369330667516
ortskraft,156.0341213913564
klost,149.57183264200725
algorithm,148.87136366292137
nachhinein,148.00499999977762
luftbruck,147.59495387649025
arbeitsverweiger,147.00499999979561
apps,142.9620022431249
zuhilfenahm,140.71470869100747
hauptberichterstatt,140.0049999997518
betret,139.58501613551323
hauptverhandlungshaft,138.00499999988412
breitbandanschluss,135.00499999995307
steinzeit,130.44802620838013
einweih,129.9678374630068
experimentierfeld,129.88986870720075
mbit,126.00499999996171
internetanschluss,121.00499999986876
vermeng,118.88812893927376
bestmog,117.9243459001795
leg,117.82241824553131
ausgrund,113.64434319667001
serviceopposition,112.00499999986178
unterwander,111.94428756800899
sensor,107.58035955392818
wahlzell,105.00499999995837
breitbandnetz,98.00499999988156
unentschloss,95.45431335337601
clan,95.14104266490038
triebkraft,93.65480884294165
jungdemokrat,93.58351744847619
verfahrensweg,93.348947845812
denkprozess,93.11689485339689
digitalpolit,93.0049999999473
bsi,90.00499999994224
zurucknehm,90.00499999980137
soziologi,89.24812277971562
weihnachtsmarkt,88.20995036238659
breitbandstrategi,88.00499999995215
funktionalitat,85.87678500074097
rohstoffsicher,85.21619612027717
fraktionschef,83.4318050876857
kaltlass,81.75181369493369
mobilfunk,80.79858666656078
auktion,79.40401416854188
divid,76.35107742537754
interaktion,73.92976034404622
stellvertreterin,73.00499999984663
staatsknet,72.00499999982041
aktivistinn,71.00499999983705
staatspolit,70.77123536213168
parlamentarisier,70.36245897916594
clankriminalitat,70.00499999994759
verbluff,69.87353704507925
haushaltausschuss,68.00499999982861
reim,68.00499999977507
begnad,67.81804255309288
lungenentzund,66.88816293231643
vertrauensleut,65.65795157711926
chronik,63.101516832167775
gehaus,62.80121005065018
steuerdebatt,61.91815556375005
beschuldigtenrecht,61.778229140947445
kordula,61.05457382989059
digitalisierungsstrategi,61.00499999995987
chung,59.24340764801615
logist,58.85940726798364
