,Word Value
fernseh,4741.212480899119
rundfunk,3818.0024999997927
anstalt,2185.906823530442
ratifizier,2132.0909345620307
sendung,1870.0024999998304
rundfunkanstalt,1027.0024999999255
radio,471.749692853134
bildschirm,426.0024999996816
send,396.718752589828
fernsehprogramm,380.0024999998791
ratifikation,366.0189049529824
ausstrahl,364.5754281360789
fernsehanstalt,301.3014290424581
intendant,278.0109894544345
hausangestellt,271.93913769780414
ratifizierungsgesetz,269.95741373834306
aufsichtsgremi,211.6149801235571
horfunk,209.6925976343615
massenmedi,203.20037958970545
ratifizierungsverfahr,182.20275822591964
fernsehs,172.90122925065612
ratifikationsgesetz,154.51723347320313
rundfunkgebuhr,148.00249999993346
werbefernseh,126.00249999994756
ratifikationsurkund,117.99124892533852
sendezeit,115.98408028955735
programmgestalt,113.33867063380899
reformvertrag,113.00249999985422
fernsehzuschau,99.45701591944533
beschwerdeverfahr,82.12982600275072
ratifizierungsprozess,81.25102790099794
medienpolit,80.46083945228906
bundesrundfunkgesetz,79.00249999994854
werbewirtschaft,75.33217472523093
grundrechtskatalog,66.19271329938103
kassel,61.43191509703162
werbesend,60.975839058447825
reparaturklausel,60.00249999994617
landesrundfunkanstalt,59.00249999994785
fernsehgebuhr,56.00249999988769
werbeeinnahm,49.919237481117996
langwell,49.00159619880377
ratifizi,48.99369313126553
sdaj,47.002499999867176
rundfunkrat,45.95512214141041
kulturho,45.591221588323336
frauenausschuss,43.00249999979346
praktizier,42.785143886460425
medium,42.58966785131948
interpretationserklar,41.90365844998155
gesetzgebungsbefugnis,41.773109945725025
rundfunkprogramm,40.002499999914896
sudwestfunk,39.03363492247535
landerbeteil,37.85281229345469
rundfunkfrei,37.35496450494683
rundfunkrecht,36.0024999999511
fernsehwerb,35.002499999852276
fernsehurteil,33.88205329835219
wirtschaftswerb,25.002499999895274
staatsfunk,25.002499999892134
fernsehproduktion,25.00249999978292
programmdirektor,24.002499999911592
aufsichtsorgan,23.407568412491017
rundfunkho,23.00249999995856
fernsehgesellschaft,22.00249999986397
einklagbar,21.932168923738057
wettbewerbsverhaltnis,20.699068963482404
rundfunkteilnehm,20.00249999992696
vorzensur,20.002499999835795
programmgrundsatz,19.002499999929743
unterhaltungssend,19.002499999900802
terrorsz,18.941662466157585
push,18.593097817062922
geschaftsklimaindex,18.002499999684492
medienlandschaft,17.74898334822185
proklamier,17.59065640871625
schleuserbekampf,17.002499999745233
promovi,17.00249999952251
onlinezugriff,16.952109910722047
verfahrensgaranti,16.58520022793404
glasfasertechnologi,16.002499999942387
auslandsfunk,15.002499999977053
sendelizenz,15.002499999872564
auftritt,14.974645281354656
individualbeschwerdeverfahr,14.970889376523774
kollektivverhandl,14.966896694365953
terroropf,14.907297133643672
dingf,14.833604757769761
werbetrag,14.264268763395533
designschutz,14.002499999919854
menschenrechtsschutzsystem,14.002499999760648
auslieferungsbegehr,14.002499999751425
tennisspiel,14.002499999691628
stehenlasst,13.89712533431942
landeranstalt,13.88402067145123
gewaltsz,13.82405968992906
gebuhreneinnahm,13.370363035952023
mediengefahr,13.002499999978557
werbetat,13.002499999902316
rheinzeit,13.002499999868872
