,Word Value
globalisier,3752.0024999997518
weltwirtschaft,2652.4039142484144
export,1596.5186623158988
welthandel,1536.1237249944384
protektionismus,1261.0294265570262
wechselkurs,669.761419854462
weltwirtschaftsgipfel,575.8147413797778
expo,550.0024999998858
direktinvestition,433.5188861723605
club,410.5555089979421
exportwirtschaft,406.69178770747527
aussenwirtschaft,391.5038220583434
zahlungsbilanz,355.6579658613081
exportnation,335.1390698299645
wahrungsfond,313.634795012615
wachstumskraft,302.2675170977032
gatt,296.2252656254111
lokomotiv,285.16794335707334
inszenier,269.439091016275
schwellenland,260.1393478501387
exportuberschuss,242.05103722132833
handelspartn,229.41797421589843
exportchanc,227.3740360185814
binnenwirtschaft,226.7713097257726
wechselkur,210.52281264229126
zufluss,196.01418060934697
heiligendamm,192.74122466051784
halbzeitbilanz,185.9842548876454
wachstumsprozess,184.80317314500175
anpassungsfah,176.21998329771728
wirtschaftsgipfel,167.90424227454753
gastgeb,162.81067985403135
weltkonjunktur,154.05234539586365
weltausstell,147.973870327185
standortwettbewerb,140.67871305785116
exporterfolg,136.40042823988094
sani,128.5726666623508
wettbewerbsdruck,124.14502915264369
weltwahrungssystem,121.25933451693042
partnerland,120.07738995862742
devisenmarkt,119.24616575790884
wirtschaftsnation,113.16954424739268
luftverkehrswirtschaft,112.56578112277909
zahlungsbilanzdefizit,112.19860710514321
exportanteil,109.91527833752428
wachstumsmotor,107.4631658963334
investitionsklima,106.1027165109919
sonderziehungsrecht,106.0024999999257
olland,105.00249999976462
olpreis,103.1477114506503
wachstumsstrategi,101.97124513575739
pulv,99.88712639502215
japan,97.59467928109144
verbraucherland,94.66065786915975
gutteil,93.60019033557454
wachstumslokomotiv,93.00249999971467
finanzund,88.44688450022113
tobinsteu,87.00249999991023
schuldenerleichter,86.76172314672664
handelshemmnis,86.55506027004785
dollarkur,86.0453081848861
wahrungsreserv,84.91075220064846
besucherzahl,84.27498316876482
handelsvolum,82.72625663245694
billiglohnland,78.28523707620732
energiesicherungsgesetz,77.22753240634744
weltwahrungssyst,75.00249999982343
investitionsgut,72.8984586333251
wahrungspolit,71.84918869983271
fernost,70.5487815461459
handelsschrank,69.74978574403343
paritat,69.64260283932602
finanzarchitektur,66.41420487400235
pavillon,63.79973593882627
olpreisexplosion,62.00256251978154
aluminiumindustri,61.62551993530985
wachstumskur,59.71908446983276
exporterlos,59.713291585682704
zahlungsbilanzproblem,59.002499999850194
wachstumsschub,58.35526498634811
schuldenproblem,58.147028979376
aussenbeitrag,57.307963777158484
yen,56.89781242805998
olrechn,56.88889576819796
solidaritatsfond,55.93288299170919
stimulier,55.468361152285375
krisengered,55.06781591273848
exportweltmeist,54.9346091484627
luftverkehrsteu,54.88237015755549
marktzugang,54.43513636294476
abschlusserklar,54.160638040064555
auslandsinvestition,53.138739556230476
exportkonjunktur,51.60657701983188
defizitland,50.97321307066453
verhandlungsrund,50.27555040281339
bardepot,49.94351260601341
wachstumserwart,49.934837229986506
quotenerhoh,49.82807454867318
handelsbeschrank,49.70171066973225
wahrungsordn,49.61500754238216
