,Word Value
freihandelsabkomm,1072.0024999999275
handelspolit,928.1796697050778
ttip,926.0024999999472
handelsabkomm,706.9711537974238
freihandel,646.0024999998947
schwerpunktsetz,632.0909998640551
wirtschaftsbezieh,606.9543718176553
wirtschaftssyst,540.8954548552019
abschott,510.5809496852986
zollunion,430.2576909336613
handelspartn,357.43768695832046
multilateralismus,336.0024999998577
atlant,305.9042579978229
gipfeltreff,297.9065255942401
wirtschaftssystem,235.92023375319573
regierungsstell,209.38629030042424
verhandlungsmandat,209.35111723180867
handelshemmnis,198.36745135724865
investitionsschutz,185.0024999999451
karib,183.56969940649287
handelsbezieh,180.29980998128366
warenaustausch,177.14849477072633
guerilla,171.0024999998717
wirtschaftspartnerschaftsabkomm,165.00249999995225
investitionshaushalt,162.80519725404022
kooperationspartn,155.2820881283558
akp,145.41141818264893
kostenvorteil,142.7727395006318
sonderfond,142.26449622606947
mercosur,139.00249999993844
dinosauri,124.00249999967494
tut,119.89308695358098
zeitenw,115.83529080843833
riesenchanc,111.60364383393755
negativbeispiel,109.79878685882139
ineffizienz,101.91584503108737
verteidigungshilf,97.31245977741894
anmahn,94.17029770606412
reinheitsgebot,91.95673263690917
handelskrieg,87.93198922976947
welthandel,86.80086803765751
schiedsverfahr,86.41352480151623
kernarbeitsnorm,86.40083923629486
ratsvorsitz,85.21767891897271
verhandlungsziel,84.29774280453934
erweiterungsrund,84.00249999984352
marktzugang,79.99292439971353
kooperationsprojekt,77.40989045722286
schwerpunktbereich,76.73506555264733
handelsnation,74.93669860124915
rahmenwerk,72.07460165618853
steuerungsfah,68.80591918131057
marktoffn,68.43462956586148
sofa,68.1274083733725
gebergemeinschaft,68.00249999981921
partnerschaftsabkomm,67.48995053648595
beschritt,66.95896869770536
projektarbeit,66.90441787595633
gemeinschaftsunternehm,66.29076411003464
grundthes,64.81408172960033
wissenschaftskooperation,64.00249999984784
abrustungshilf,64.0024999998237
blockbild,63.01278277355223
handelskonflikt,63.0024999998173
subkontinent,61.88903917234305
handelsminist,61.45436428737655
handelsbarri,61.00249999984487
eigentumsschutz,60.19843299979358
handelsfrag,60.00249999988927
pilotphas,58.00249999980983
investorenschutz,55.0024999999664
chlorhuhnch,54.002499999970695
dasteh,53.57558505479374
bilateral,53.359042552908356
entwicklungsanstreng,51.974836107005785
arbeitsmigrant,50.88807407635676
ernahrungssituation,49.57385327170021
hoffnungszeich,49.438722631324836
arbeitsnorm,48.146667767435495
sicherheitsbelang,47.78928981900351
schlusselfaktor,47.66616946135103
bolivi,47.00249999985286
ruckubernahm,46.8578140454496
selbstverpflichtungserklar,45.18544111138813
mikrokredit,44.41755321774043
weltordn,42.91306674509462
ceterum,41.92009812569436
mehrwertsteuereinnahm,41.09069628751865
herbsttag,40.16990297833434
sozialstandard,39.66984357955558
rechnerei,38.83272023997775
revisionskonferenz,38.05868491568394
mehr,37.86815474493244
genehmigungserfordernis,36.674698509420054
meistbegunst,36.12187649449423
unterrichtsmateriali,36.00249999972627
verbundfinanzier,35.96160465199782
vertragstext,33.925455940680834
wirtschaftspartnerschaft,33.801686694240715
festung,33.58625429007738
