,Word Value
entwicklungsland,13965.004999999916
entwicklungspolit,7842.004999999865
entwicklungshilf,6022.004999999788
entwicklungszusammenarbeit,5672.004999999884
hung,3075.004999999651
partnerland,1463.173381455771
nichtregierungsorganisation,1407.212792903697
kinderarbeit,1072.004999999867
us,1069.0049999997077
schwellenland,941.8063595795634
armutsbekampf,717.3127459357555
weltbevolker,654.8677522520157
weltbank,646.8083770071585
regierungsfuhr,549.0554086772707
weltwirtschaftsordn,490.5258714324303
geberland,460.34750283731137
kleinbau,451.75160941168446
bruttosozialprodukt,436.3716602520571
budgethilf,435.0049999999465
entwicklungsfond,417.03638066627366
koharenz,413.4189940251683
kapitalhilf,409.02141051257314
entwicklungsprozess,408.03845165406443
planet,399.054635985468
entwicklungsminist,399.0049999998205
lomé,390.99359762232035
nahrungsmittelhilf,389.94158943569937
afrikan,382.40823307278725
grundbedurfnis,328.9732701669823
entwicklungsprojekt,308.9167112946213
entwicklungsbank,308.86929932528716
nahrungsmitteln,301.8820234594509
entwicklungsministerium,289.0049999997807
hungersnot,288.45319560644043
lieferkett,280.1432067721812
klimawandel,275.87660328411374
millenniumsziel,273.00499999993207
durchfuhrungsorganisation,271.00499999993485
ernahrungssicher,267.31317725981006
oda,256.0049999999209
nahrungsmittel,252.4882051605032
hungernd,249.45846140707914
giz,229.00499999988378
rohstoffpolit,224.00499999979482
entwicklungshaushalt,216.00499999986062
empfangerland,205.22932725447924
welthandelsorganisation,203.5472481464576
weltgemeinschaft,197.9094640634241
finanzierungsinstrument,183.485186682969
entwicklungsziel,183.35782736798802
unctad,182.00499999989876
toilett,181.57042924297537
sondergeneralversamml,179.41543413020455
bevolkerungswachstum,177.19475611000604
akp,175.11623871611127
rohstoffpreis,171.22079469598475
millenniumsentwicklungsziel,170.00499999993917
sonderinitiativ,164.0049999999526
privatinvestition,163.54987943359214
eigenanstreng,156.66188646806125
bruttonationaleinkomm,155.45402497394193
kindersterb,155.34916134627179
entwicklungsorganisation,154.0049999998452
entwicklungsetat,152.0049999998336
rohstoffabkomm,151.741365170228
entwicklungsgeld,149.00499999987127
unterentwickl,147.63763020978752
entwicklungsfinanzier,147.0049999998749
barmittel,146.54618600475868
entwicklungsarbeit,143.75495920845992
grundbild,143.4177082967052
staudamm,141.8493218444449
agrarsubvention,141.51756016768365
friedensdien,136.67429292666665
entwicklungshilfeleist,134.00499999989358
weltgipfel,131.15561725237205
entwicklungsausschuss,130.00499999990086
sanitarversorg,125.00499999993963
landreform,124.00418687870847
staatengemeinschaft,122.22108047969925
doha,121.66285770220269
weltinnenpolit,120.06012888512437
friedenspolit,118.69576340668118
entwicklungshilfepolit,117.95606324372723
ruckfluss,116.06083844483167
ernahrungssich,110.17929146706892
nothilf,109.91436911735474
mangelernahr,109.00499999982652
entschuldungsinitiativ,108.99044061098871
exportsubvention,107.44078771337696
entwicklungsministerin,106.00499999984497
lieferbind,105.96501539049667
burgerkrieg,102.47181048590446
entwicklungsgesellschaft,102.00499999978837
wasserversorg,101.01888376826935
strukturanpassungsprogramm,99.37074941710772
entwicklungsprogramm,99.05227726221707
sozialstandard,97.5514275673613
entwicklungshilfeminist,95.8141595589377
afrikapolit,95.17624615653519
