,Word Value
wahrungsunion,4672.002499999845
europapolit,2403.0024999997836
nationalstaat,1422.050314557894
vertief,1255.3565489556483
brit,1248.622113289134
regierungskonferenz,1173.0024999999237
einigungsprozess,908.8371522591146
subsidiaritatsprinzip,617.1428673541958
integrationsprozess,512.5191081102924
europaausschuss,475.002499999906
kommissionsprasident,422.0024999998523
wirtschaftsunion,387.14073181288495
konvergenz,369.8747607548888
populist,352.0024999997127
mehrheitsentscheid,303.4729884546597
haushaltsdisziplin,296.32383003400685
strukturfond,292.5162925951456
dreieck,288.0957694809541
parallelitat,287.6598080518195
burgernah,278.23493025889394
renationalisier,276.69309553453974
nettozahl,266.9367082459452
europawahl,260.53005961683743
stabilitatskriteri,250.36079240639313
bundesverwaltungsamt,240.52378722151556
wahrungspolit,234.35185144615045
demokratiedefizit,231.41542682037758
ratifizier,230.2279514918932
subsidiaritatsprinzips,224.4371709809018
erfolgskontroll,212.7155189167801
einigungswerk,206.78169479644242
konvergenzkriteri,199.9990331378238
referendum,198.83306853703118
beitrittsverhandl,190.26762006278702
erweiterungsprozess,183.0024999998841
ratsprasident,182.8960878910027
mitentscheid,171.08469174381233
wirtschaftsmacht,165.49583987855118
premierminist,155.87707896680018
europadebatt,150.00249999980701
vertragsander,144.49737019579123
beitritt,142.27815307584916
reformstaat,141.9845794835775
kohasionsfond,141.00249999988597
refer,132.0024999998545
friedensprojekt,131.0024999998021
sondergipfel,127.52250617539802
stabilitatspakt,117.49613094222842
vergemeinschaft,108.61988562234427
wertegemeinschaft,107.69432489335416
stabilitatsgemeinschaft,104.97320501494599
partnerland,103.46152829708905
vorausschau,102.82363722087071
regelungswut,96.06549139105621
desintegration,94.89847117874463
wahrungsinstitut,91.00249999990835
mitentscheidungsrecht,82.67990415244279
radikalenerlass,80.69388033402892
einzelstaat,78.227184789252
leitwahr,74.97179198548208
freihandelszon,72.48115466779294
integrationsschritt,71.98725771674192
endstuf,70.317126568107
maastricht,69.97002714551257
steuerharmonisier,69.89291457274884
gipfeltreff,68.35321282261805
stasiakt,68.00249999976651
vertragsentwurf,67.93936896891024
stimmengewicht,67.51377319200287
stabilitatspolit,63.43134086105581
regionalfond,62.98919128338013
aussengrenz,62.95468883217423
gemeinschaftshaushalt,60.2987333018024
glucksfall,59.81692957260666
einstimmigkeitsprinzip,59.69623686469665
aufbauwerk,57.62437103461778
grundervat,56.61905448070481
europafrag,55.11907185281074
stasiunterlagenbehord,55.00249999984849
ratifikation,54.873438249588084
sozialfond,52.71684736333448
europaparlament,52.566389005125465
antieuropa,50.00249999980029
paritatsander,49.97638875474785
wahrungsraum,47.315048143131534
mitsprach,47.27936347653684
souveranitatsrecht,45.1565759449598
gemeinschaftswahr,44.999569983384426
lira,44.40584614040193
maastrichtvertrag,43.0024999997308
aussenund,42.83218035526721
selbstbehaupt,42.612474311073925
kollegenkreis,42.38579715001163
spitzenkandidat,41.58038839488647
klonier,40.91502356525677
debattendau,39.96225764918267
staatsmann,39.79386200204628
ratifikationsverfahr,38.83473329218565
regionalausschuss,38.00249999991786
einbett,37.76023987008136
